series,peak_uA,rise_time_10_90_us,fall_time_90_10_us,peak_error_pct,rise_time_error_pct,fall_time_error_pct
COMSOL,7.774844686897438,161.38274417894178,25955.538948157973,,,
Elmer single-pixel optimized mesh (serial),7.700595811959934,168.99218771159596,27144.504330582266,-0.9549885293867348,4.715153141910144,4.580777092700945
