series,peak_uA,rise_time_10_90_us,fall_time_90_10_us,peak_error_pct,rise_time_error_pct,fall_time_error_pct
COMSOL,7.774844661505125,161.38279519999847,25955.542503440287,,,
Elmer single-pixel optimized mesh (serial),7.700595803490932,168.99191208344067,27144.391719757914,-0.9549883148381658,4.714949244752126,4.5803289072461135
