time_from_pulse_us,comsol_current_drop_uA,direct_current_drop_uA,mpi_current_drop_uA,direct_minus_comsol_uA,mpi_minus_comsol_uA
-20.0,nan,nan,nan,nan,nan
-19.75,3.7125738652666476e-07,0.0003343777853848171,-3.480155685255663e-05,0.0003340065279982904,-3.517281423908329e-05
-19.5,3.532082125699655e-07,0.0003342317308067031,-6.536652218749135e-06,0.00033387852259413313,-6.889860431319101e-06
-19.25,3.351594114986417e-07,0.0003339853429400112,2.005936664235797e-05,0.00033365018352851254,1.9724207230859327e-05
-19.0,3.171109833242546e-07,0.0003336361970457874,4.494493863097414e-05,0.00033331908606246314,4.462782764764989e-05
-18.75,2.9906292805836556e-07,0.0003331818683850777,6.807850264730885e-05,0.00033288280545701933,6.777943971925048e-05
-18.5,2.810152457125357e-07,0.00033261993221892833,8.94184975915715e-05,0.0003323389169732158,8.913748234585897e-05
-18.25,2.6296793629832634e-07,0.0003319479638083853,0.00010892336236397162,0.00033168499587208695,0.0001086603944276733
-18.0,2.4492099982729864e-07,0.00033116353841449467,0.00012655153586471865,0.0003309186174146674,0.00012630661486489136
-17.75,2.2687443631101392e-07,0.0003302642312983026,0.000142261456994022,0.0003300373568619916,0.00014203458255771098
-17.5,2.0882824576103336e-07,0.00032924761772085506,0.00015601156465209118,0.000329038789475094,0.00015580273640633014
-17.25,1.907824281889183e-07,0.0003281112729431983,0.0001677602977391356,0.00032792049051500935,0.00016756951531094667
-17.0,1.7273698360622986e-07,0.00032685277222637825,0.00017746609515536485,0.000326680035242772,0.00017729335817175863
-16.75,1.5469191202452938e-07,0.0003254696908314411,0.0001850873958009882,0.0003253149989194166,0.00018493270388896365
-16.5,1.3664721345537804e-07,0.0003239596040194328,0.00019058263857621522,0.0003238229568059774,0.00019044599136275984
-16.25,1.1860288791033711e-07,0.00032232008705139963,0.00019391026238125533,0.0003222014841634893,0.000193791659493345
-16.0,1.0055893540096784e-07,0.00032054871518838755,0.00019502870611631806,0.0003204481562529866,0.00019492814718091709
-15.75,8.251535172598658e-08,0.0003186430636914427,0.0001928182068050647,0.00031856054833971674,0.0001927356914533387
-15.5,6.447213377464951e-08,0.00031660070782161116,0.00018656474021070752,0.0003165362356878365,0.00018650026807693286
-15.25,4.6429283194327946e-08,0.00031441922283993897,0.00017683535334323444,0.0003143727935567446,0.00017678892406004012
-15.0,2.8386801632393138e-08,0.0003120961840074722,0.0001641970932126334,0.0003120677972058398,0.000164168706411001
-14.75,1.0344690736216338e-08,0.000309629166585257,0.00014921700682889231,0.00030961882189452076,0.0001492066621381561
-14.5,-7.697047846831207e-09,0.0003070157458343395,0.00013246214120199917,0.00030702344288218635,0.000132469838249846
-14.25,-2.5738412469378246e-08,0.00030425349701576566,0.00011449954334194189,0.00030427923542823503,0.00011452528175441127
-14.0,-4.377940148405352e-08,0.0003013399953905816,9.58962602587084e-05,0.0003013837747920657,9.594003966019245e-05
