probe_version,workload_id,outer_iteration,schur_solve,iterations,initial_residual,final_residual,reached_tolerance,hit_maxiter,breakdown,nonfinite,k_actions_total,k_actions_primal_block_solve,k_actions_matrix_free_schur,k_actions_full_upper_correction,k_actions_setup_rebuild,elapsed_wall_seconds_per_call,elapsed_wall_seconds_cumulative,k_apply_seconds_per_call,k_apply_seconds_cumulative,schur_action_seconds_per_call,schur_action_seconds_cumulative,gpu_synchronized
phase20-v2,case_p20_hypre_block_lower_cpu_probe,19,19,30, 6.9071619032762665E-010, 1.6952488698090947E-012,F,T,F,F,32,0,32,0,0, 1.1610000000000014E+000, 2.9180000000000000E+001, 1.0380000000000003E+000, 2.6920999999999975E+001, 1.1610000000000014E+000, 2.6022999999999971E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,20,20,30, 1.4422186877298887E-010, 1.3869903630483529E-013,F,T,F,F,32,0,32,0,0, 1.1479999999999997E+000, 3.0373999999999999E+001, 1.0350000000000072E+000, 2.7989999999999981E+001, 1.1479999999999997E+000, 2.7057999999999979E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,21,21,30, 1.9228698911847920E-010, 2.6342711794822941E-013,F,T,F,F,32,0,32,0,0, 1.0890000000000022E+000, 3.1510000000000002E+001, 9.8000000000000043E-001, 2.9004999999999981E+001, 1.0860000000000021E+000, 2.8037999999999979E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,22,22,30, 1.2527512212428851E-010, 1.0018199304842967E-013,F,T,F,F,32,0,32,0,0, 9.3499999999999872E-001, 3.2485999999999997E+001, 8.4400000000000475E-001, 2.9877999999999986E+001, 9.3499999999999872E-001, 2.8881999999999984E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,23,23,30, 7.9236918849370166E-011, 2.1437488011563300E-013,F,T,F,F,32,0,32,0,0, 9.2199999999999704E-001, 3.3442999999999998E+001, 8.2100000000000506E-001, 3.0723999999999990E+001, 9.2000000000000171E-001, 2.9702999999999989E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,24,24,30, 3.3465190836546149E-010, 2.5546470091800356E-013,F,T,F,F,32,0,32,0,0, 8.8900000000000290E-001, 3.4366000000000000E+001, 7.9400000000000404E-001, 3.1543999999999990E+001, 8.8800000000000523E-001, 3.0496999999999993E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,25,25,30, 7.7482636896435670E-009, 2.1785106145780756E-011,F,T,F,F,32,0,32,0,0, 8.8199999999999790E-001, 3.5281999999999996E+001, 7.9300000000000637E-001, 3.2362000000000002E+001, 8.8099999999999312E-001, 3.1289999999999999E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,26,26,30, 1.0739567086236754E-009, 8.1048864545407863E-013,F,T,F,F,32,0,32,0,0, 8.8500000000000512E-001, 3.6200000000000003E+001, 7.8800000000001091E-001, 3.3175000000000018E+001, 8.8300000000000978E-001, 3.2078000000000010E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,27,27,30, 2.6276432910822258E-007, 7.2646487581885286E-010,F,T,F,F,32,0,32,0,0, 9.5499999999999829E-001, 3.7189000000000000E+001, 8.4999999999999432E-001, 3.4050000000000011E+001, 9.5400000000000063E-001, 3.2928000000000004E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,28,28,30, 2.6409081110224769E-010, 2.0073722432241046E-013,F,T,F,F,32,0,32,0,0, 8.8199999999999790E-001, 3.8104999999999997E+001, 7.8700000000000614E-001, 3.4863000000000021E+001, 8.7899999999999068E-001, 3.3715000000000011E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,29,29,30, 1.5428708109840210E-008, 4.0474982188760254E-011,F,T,F,F,32,0,32,0,0, 1.0009999999999977E+000, 3.9143999999999998E+001, 9.0400000000002478E-001, 3.5796000000000042E+001, 1.0009999999999977E+000, 3.4619000000000035E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,30,30,30, 1.0106684345367689E-010, 8.4464788232265891E-014,F,T,F,F,32,0,32,0,0, 9.3599999999999994E-001, 4.0118000000000002E+001, 8.3899999999998442E-001, 3.6664000000000023E+001, 9.3200000000000216E-001, 3.5458000000000020E+001,missing
