probe_version,workload_id,outer_iteration,schur_solve,iterations,initial_residual,final_residual,reached_tolerance,hit_maxiter,breakdown,nonfinite,k_actions_total,k_actions_primal_block_solve,k_actions_matrix_free_schur,k_actions_full_upper_correction,k_actions_setup_rebuild,elapsed_wall_seconds_per_call,elapsed_wall_seconds_cumulative,k_apply_seconds_per_call,k_apply_seconds_cumulative,schur_action_seconds_per_call,schur_action_seconds_cumulative,gpu_synchronized
phase20-v2,case_p20_hypre_block_full_cpu_probe,11,11,30, 3.9960210889865938E-012, 7.4600647851044885E-013,F,T,F,F,32,0,32,0,0, 9.6600000000000108E-001, 2.2544000000000000E+001, 8.5500000000001464E-001, 2.1176000000000005E+001, 9.6499999999999986E-001, 1.9912000000000006E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,12,12,30, 2.1132705585556404E-012, 5.0696023140811676E-014,F,T,F,F,32,0,32,0,0, 9.7299999999999898E-001, 2.3584000000000000E+001, 8.7000000000001165E-001, 2.2097000000000019E+001, 9.6900000000000119E-001, 2.0782000000000018E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,13,13,30, 1.1001244685248321E-011, 2.3490942800521636E-012,F,T,F,F,32,0,32,0,0, 9.6099999999999852E-001, 2.4614999999999998E+001, 8.5899999999999110E-001, 2.3008000000000013E+001, 9.6000000000000085E-001, 2.1641000000000009E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,14,14,30, 2.0743912420912304E-012, 5.0062501693454099E-014,F,T,F,F,32,0,32,0,0, 9.9399999999999977E-001, 2.5675999999999998E+001, 9.0399999999999991E-001, 2.3964000000000013E+001, 9.9399999999999977E-001, 2.2545000000000009E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,15,15,30, 9.5543975543312186E-012, 1.7001649975009536E-012,F,T,F,F,32,0,32,0,0, 9.8300000000000054E-001, 2.6727000000000000E+001, 8.7999999999999545E-001, 2.4902000000000005E+001, 9.7999999999999687E-001, 2.3425000000000004E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,16,16,30, 2.0528904058233107E-012, 4.9912393459802457E-014,F,T,F,F,32,0,32,0,0, 1.0589999999999975E+000, 2.7853999999999999E+001, 9.5400000000001128E-001, 2.5914000000000016E+001, 1.0569999999999986E+000, 2.4379000000000016E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,17,17,30, 5.0923603952593182E-012, 1.1795115567062569E-012,F,T,F,F,32,0,32,0,0, 1.1640000000000015E+000, 2.9117000000000001E+001, 1.0510000000000019E+000, 2.7044000000000022E+001, 1.1630000000000003E+000, 2.5430000000000017E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,18,18,30, 2.0684062447241434E-012, 4.9966296855182270E-014,F,T,F,F,32,0,32,0,0, 1.1370000000000005E+000, 3.0327000000000002E+001, 1.0360000000000049E+000, 2.8144000000000027E+001, 1.1340000000000039E+000, 2.6466000000000022E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,19,19,30, 6.3185921598467754E-012, 1.0995718365438808E-012,F,T,F,F,32,0,32,0,0, 9.9900000000000233E-001, 3.1393000000000001E+001, 8.9900000000000446E-001, 2.9098000000000031E+001, 9.9800000000000111E-001, 2.7365000000000027E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,20,20,30, 2.0686543451986925E-012, 4.9968192616982633E-014,F,T,F,F,32,0,32,0,0, 1.1640000000000015E+000, 3.2633000000000003E+001, 1.0500000000000043E+000, 3.0212000000000032E+001, 1.1620000000000061E+000, 2.8415000000000031E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,21,21,30, 4.1362306359121125E-012, 9.9361135224222412E-013,F,T,F,F,32,0,32,0,0, 1.1200000000000045E+000, 3.3828000000000003E+001, 1.0100000000000193E+000, 3.1287000000000056E+001, 1.1170000000000115E+000, 2.9425000000000050E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,22,22,30, 2.0684803655562388E-012, 4.9967244537900350E-014,F,T,F,F,32,0,32,0,0, 1.0640000000000001E+000, 3.4969000000000001E+001, 9.5900000000003160E-001, 3.2312000000000090E+001, 1.0620000000000047E+000, 3.0384000000000082E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,23,23,30, 5.7244282590505057E-012, 9.9654559239995896E-013,F,T,F,F,32,0,32,0,0, 9.7800000000000153E-001, 3.6015000000000001E+001, 8.8299999999999557E-001, 3.3252000000000088E+001, 9.7500000000000142E-001, 3.1267000000000078E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,24,24,30, 2.0684841411546165E-012, 4.9967273388306550E-014,F,T,F,F,32,0,32,0,0, 1.0789999999999935E+000, 3.7156999999999996E+001, 9.6899999999999409E-001, 3.4273000000000081E+001, 1.0759999999999863E+000, 3.2236000000000068E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,25,25,30, 4.1494151243500064E-012, 9.9619008477857101E-013,F,T,F,F,32,0,32,0,0, 1.2409999999999997E+000, 3.8473999999999997E+001, 1.1279999999999930E+000, 3.5463000000000072E+001, 1.2399999999999949E+000, 3.3364000000000061E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,26,26,30, 2.0684814919055786E-012, 4.9967258998297476E-014,F,T,F,F,32,0,32,0,0, 1.1020000000000039E+000, 3.9642000000000003E+001, 9.9700000000003541E-001, 3.6518000000000114E+001, 1.1009999999999991E+000, 3.4361000000000097E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,27,27,30, 5.7320238270597575E-012, 9.9778639400663912E-013,F,T,F,F,32,0,32,0,0, 9.4699999999999562E-001, 4.0652999999999999E+001, 8.5200000000001808E-001, 3.7424000000000127E+001, 9.4599999999999795E-001, 3.5213000000000115E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,28,28,30, 2.0684815467497151E-012, 4.9967259417403157E-014,F,T,F,F,32,0,32,0,0, 9.6500000000000341E-001, 4.1682000000000002E+001, 8.6399999999998300E-001, 3.8344000000000115E+001, 9.6400000000000574E-001, 3.6077000000000098E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,29,29,30, 4.1463993049479713E-012, 9.9559464640470375E-013,F,T,F,F,32,0,32,0,0, 9.7800000000000153E-001, 4.2728999999999999E+001, 8.7900000000001199E-001, 3.9281000000000127E+001, 9.7599999999999909E-001, 3.6956000000000110E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,30,30,30, 2.0684815082681567E-012, 4.9967259208456534E-014,F,T,F,F,32,0,32,0,0, 9.5799999999999841E-001, 4.3756999999999998E+001, 8.5900000000000887E-001, 4.0201000000000128E+001, 9.5699999999999363E-001, 3.7815000000000119E+001,missing
