time_after_pulse_ms,reference_left_normalized,simulation_left_normalized,reference_right_normalized,simulation_right_normalized,left_residual,right_residual,region
0,0.248838156359,0.168502128509,0.017679334599,0.000838253849817,-0.0803360278501,-0.0168410807492,rise
0.01,0.269123318052,0.188352326595,0.0176209771202,0.000865338229933,-0.0807709914569,-0.0167556388903,rise
0.02,0.289699060633,0.209689930437,0.01753011242,0.000894412447802,-0.0800091301966,-0.0166356999721,rise
0.03,0.310385077518,0.232499617169,0.0174082202008,0.000925495745192,-0.0778854603497,-0.0164827244556,rise
0.04,0.331000389152,0.256736288599,0.0172585122966,0.00095857639486,-0.0742641005526,-0.0162999359018,rise
0.05,0.351371322693,0.282318607964,0.0170855403422,0.000993606289327,-0.0690527147295,-0.0160919340528,rise
0.06,0.37133790266,0.30912185677,0.0168943101812,0.00103050269316,-0.0622160458905,-0.0158638074881,rise
0.07,0.390758279136,0.336971924966,0.0166891265665,0.00106916051607,-0.0537863541696,-0.0156199660504,rise
0.08,0.40951118535,0.365644708406,0.0164724828031,0.00110947130639,-0.0438664769445,-0.0153630114967,rise
0.09,0.427496680089,0.394874135205,0.0162443696217,0.00115134408286,-0.0326225448837,-0.0150930255389,rise
0.1,0.444635729648,0.424366935288,0.0160022708082,0.00119472459692,-0.0202687943594,-0.0148075462113,rise
0.11,0.460869165764,0.453819259476,0.0157417831037,0.00123961044598,-0.00704990628866,-0.0145021726577,rise
0.12,0.476156282838,0.482931607101,0.015457540325,0.00128606139898,0.00677532426272,-0.014171478926,rise
0.13,0.490473194423,0.511420741732,0.0151440902105,0.00133420603742,0.0209475473084,-0.0138098841731,rise
0.14,0.503810999631,0.539028041061,0.0147964711303,0.00138424625436,0.0352170414304,-0.0134122248759,rise
0.15,0.516173698909,0.565523878543,0.0144104550668,0.00143645965282,0.049350179634,-0.0129739954139,rise
0.16,0.527575866176,0.590709202393,0.013982707954,0.00149119941832,0.0631333362165,-0.0124915085357,rise
0.17,0.538040374737,0.614416580129,0.0135111830696,0.00154889311164,0.0763762053918,-0.0119622899579,rise
0.18,0.54759656211,0.636511217415,0.0129957985809,0.00161004177564,0.0889146553049,-0.0113857568053,rise
0.19,0.556278928117,0.656891047833,0.0124391350666,0.00167521900671,0.100612119716,-0.0107639160599,rise
0.2,0.564126246911,0.675485637759,0.0118468372428,0.00174506946965,0.111359390848,-0.0101017677731,rise
0.21,0.571180962742,0.692254207481,0.0112276007423,0.00182030685075,0.121073244739,-0.00940729389156,rise
0.22,0.577488613667,0.707183055154,0.0105927827066,0.0019017110964,0.129694441486,-0.00869107161017,rise
0.23,0.583096980222,0.720282622359,0.00995572332566,0.00199012474847,0.137185642137,-0.00796559857718,rise
0.24,0.588054937847,0.731584388704,0.00933091531279,0.00208644888732,0.143529450858,-0.00724446642547,rise
0.25,0.592411219412,0.741137738212,0.00873316274387,0.00219163931239,0.1487265188,-0.00654152343148,rise
0.26,0.596213254963,0.749006903666,0.00817679680007,0.00230670230786,0.152793648702,-0.00587009449222,rise
0.27,0.599506246316,0.755268065227,0.00767494700735,0.00243268897735,0.155761818911,-0.00524225803,rise
0.28,0.602332655965,0.760006654701,0.0072388345149,0.00257068853531,0.157673998736,-0.00466814597959,rise
0.29,0.604732089178,0.763314896604,0.00687705827571,0.00272182184421,0.158582807425,-0.0041552364315,rise
0.3,0.60674132728,0.7652896026,0.00659491145355,0.00288723566299,0.15854827532,-0.00370767579056,rise
0.31,0.608394395194,0.766030225059,0.00639387666934,0.00306809673973,0.157635829865,-0.00332577992961,rise
0.32,0.609722753613,0.765637165992,0.00627151110107,0.00326558497649,0.155914412379,-0.00300592612457,rise
0.33,0.610755556496,0.764210331429,0.00622184776385,0.00348088616922,0.153454774933,-0.00274096159463,rise
0.34,0.611519789054,0.76184791817,0.00623630155408,0.00371518489987,0.150328129116,-0.00252111665421,rise
0.35,0.612040350925,0.758645416483,0.00630499303859,0.00396965667164,0.146605065557,-0.00233533636694,rise
0.36,0.612340238596,0.754694809394,0.00641827436024,0.00424545829695,0.142354570798,-0.00217281606329,rise
0.37,0.612440777028,0.750083948068,0.00656810928981,0.00454371762738,0.137643171039,-0.00202439166244,rise
0.38,0.612361850022,0.7448960833,0.00674900850002,0.00486552461964,0.132534233278,-0.00188348388038,rise
0.39,0.612122163373,0.739209534857,0.00695836058869,0.005211924537,0.127087371485,-0.00174643605169,rise
0.4,0.611739436089,0.733097481338,0.00719613975023,0.00558391304995,0.121358045249,-0.00161222670028,rise
0.41,0.611230379954,0.726627853239,0.00746413668533,0.00598243226673,0.115397473286,-0.0014817044186,rise
0.42,0.610610571971,0.719863313343,0.00776499069606,0.00640836633919,0.109252741372,-0.00135662435688,rise
0.43,0.609894394462,0.712861310813,0.0081013340398,0.0068625363689,0.102966916351,-0.00123879767089,rise
0.44,0.60909498422,0.705674195807,0.00847526937648,0.00734569526169,0.0965792115864,-0.00112957411479,rise
