time_after_pulse_ms,reference_left_normalized,simulation_left_normalized,reference_right_normalized,simulation_right_normalized,left_residual,right_residual,region
0,0.156705213629,0.000722740840837,0.176704758825,0.15857598434,-0.155982472788,-0.0181287744856,rise
0.01,0.157808811514,0.000758506681696,0.179289598413,0.177772859271,-0.157050304832,-0.00151673914192,rise
0.02,0.158887459189,0.000800790112904,0.18191301232,0.198486481975,-0.158086669076,0.0165734696546,rise
0.03,0.159941545361,0.000850445093893,0.184568143065,0.220719747019,-0.159091100267,0.0361516039535,rise
0.04,0.160973810323,0.000908403127576,0.187247924663,0.244449370173,-0.160065407195,0.0572014455094,rise
0.05,0.161989209027,0.000975675664345,0.189945158384,0.269619925394,-0.161013533362,0.0796747670098,rise
0.06,0.162994449274,0.00105335457073,0.19265274904,0.296136997798,-0.161941094703,0.103484248758,rise
0.07,0.16399752334,0.00114260993949,0.195363578346,0.323859355628,-0.1628549134,0.128495777282,rise
0.08,0.165007196502,0.00124469111997,0.198069705594,0.352590636981,-0.163762505382,0.154520931387,rise
0.09,0.166032395681,0.00136093916173,0.200761194376,0.382074051478,-0.16467145652,0.181312857102,rise
0.1,0.167081571516,0.00149281025536,0.203425201655,0.411996923988,-0.165588761261,0.208571722333,rise
0.11,0.168161944645,0.00164190293017,0.206045756298,0.442008096647,-0.166520041715,0.235962340349,rise
0.12,0.169278605707,0.00180998220667,0.208604339356,0.471742287529,-0.167468623501,0.263137948173,rise
0.13,0.170433823844,0.00199899730959,0.211081200481,0.500842982419,-0.168434826535,0.289761781939,rise
0.14,0.17162689208,0.00221109278135,0.213457160133,0.528979866741,-0.169415799299,0.315522706608,rise
0.15,0.172854462636,0.00244861318887,0.215715531408,0.555860232589,-0.170405849447,0.340144701181,rise
0.16,0.174111256789,0.00271410120436,0.217843842053,0.581234699732,-0.171397155585,0.363390857679,rise
0.17,0.175391081667,0.00301029000944,0.219835117911,0.604898787508,-0.172380791658,0.385063669597,rise
0.18,0.176687839001,0.00334009129644,0.221688593583,0.626692740439,-0.173347747705,0.405004146856,rise
0.19,0.177996123084,0.00370657867293,0.223409846395,0.646500678556,-0.174289544411,0.423090832161,rise
0.2,0.179311394183,0.00411296570626,0.22501040099,0.664248692467,-0.175198428477,0.439238291477,rise
0.21,0.180629921001,0.00456257871601,0.226506796912,0.679901718304,-0.176067342285,0.453394921392,rise
0.22,0.181948481447,0.00505882463249,0.227919146592,0.693459541073,-0.176889656815,0.46554039448,rise
0.23,0.183263892096,0.00560515371929,0.229269483259,0.704952323422,-0.177658738376,0.475682840163,rise
0.24,0.184572708527,0.00620501763421,0.230580295345,0.714435971286,-0.178367690892,0.483855675941,rise
0.25,0.185871235457,0.00686182486823,0.231873320057,0.721987563015,-0.179009410589,0.490114242958,rise
