time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00261324131625,-0.399212970777,rise
0.01,left,0.404656076826,0.00272652000176,-0.401929556825,rise
0.02,left,0.407421963803,0.00286144565556,-0.404560518148,rise
0.03,left,0.410124869749,0.00302095874022,-0.407103911008,rise
0.04,left,0.412771821372,0.00320828079428,-0.409563540578,rise
0.05,left,0.415375524245,0.00342692588692,-0.411948598358,rise
0.06,left,0.417953178627,0.00368070968701,-0.41427246894,rise
0.07,left,0.420525278452,0.0039737512311,-0.416551527221,rise
0.08,left,0.423114299792,0.00431046466204,-0.41880383513,rise
0.09,left,0.425743133213,0.00469556311593,-0.421047570097,rise
0.1,left,0.428433447989,0.0051341056655,-0.423299342324,rise
0.11,left,0.431203759402,0.00563158574984,-0.425572173652,rise
0.12,left,0.434067120962,0.00619403377685,-0.427873087185,rise
0.13,left,0.437029351237,0.00682810823808,-0.430201242999,rise
0.14,left,0.440088637389,0.00754116253035,-0.432547474858,rise
0.15,left,0.443236394985,0.00834128688108,-0.434895108104,rise
0.16,left,0.446459088234,0.00923732610473,-0.43722176213,rise
0.17,left,0.449740837264,0.0102388723625,-0.439501964902,rise
0.18,left,0.453066004789,0.011356236507,-0.441709768282,rise
0.19,left,0.456420729405,0.0126004028178,-0.443820326587,rise
0.2,left,0.459793370247,0.0139829663952,-0.445810403852,rise
0.21,left,0.463174359458,0.0155160503337,-0.447658309125,rise
0.22,left,0.466555434901,0.0172122030829,-0.449343231818,rise
0.23,left,0.469928433578,0.0190842771939,-0.450844156384,rise
0.24,left,0.473284523248,0.0211452886914,-0.452139234557,rise
0.25,left,0.476614228403,0.0234082588599,-0.453205969543,rise
0.26,left,0.479907844747,0.0258860461381,-0.454021798609,rise
0.27,left,0.483156025737,0.0285911764559,-0.454564849281,rise
0.28,left,0.486350355681,0.0315356761276,-0.454814679553,rise
0.29,left,0.489483343265,0.0347309091456,-0.454752434119,rise
0.3,left,0.49254771076,0.0381874218906,-0.45436028887,rise
0.31,left,0.495535680909,0.041914798738,-0.453620882171,rise
0.32,left,0.498438695776,0.0459215304031,-0.452517165373,rise
0.33,left,0.501247367872,0.0502148965857,-0.451032471286,rise
0.34,left,0.503951855124,0.0548008662709,-0.449150988853,rise
0.35,left,0.506543111618,0.059684019745,-0.446859091873,rise
0.36,left,0.509014536314,0.064867494611,-0.444147041703,rise
0.37,left,0.511363245116,0.0703529561179,-0.441010288998,rise
