time_after_pulse_ms,reference_left_normalized,simulation_left_normalized,reference_right_normalized,simulation_right_normalized,left_residual,right_residual,region
0,0.248838156359,0.15857598434,0.017679334599,0.000722740840837,-0.0902621720199,-0.0169565937582,rise
0.01,0.269123318052,0.177772859271,0.0176209771202,0.000758506681696,-0.0913504587808,-0.0168624704385,rise
0.02,0.289699060633,0.198486481975,0.01753011242,0.000800790112904,-0.0912125786585,-0.016729322307,rise
0.03,0.310385077518,0.220719747019,0.0174082202008,0.000850445093893,-0.0896653304996,-0.0165577751069,rise
0.04,0.331000389152,0.244449370173,0.0172585122966,0.000908403127576,-0.0865510189791,-0.0163501091691,rise
0.05,0.351371322693,0.269619925394,0.0170855403422,0.000975675664345,-0.0817513972989,-0.0161098646778,rise
0.06,0.37133790266,0.296136997798,0.0168943101812,0.00105335457073,-0.0752009048618,-0.0158409556105,rise
0.07,0.390758279136,0.323859355628,0.0166891265665,0.00114260993949,-0.0668989235073,-0.015546516627,rise
0.08,0.40951118535,0.352590636981,0.0164724828031,0.00124469111997,-0.0569205483694,-0.0152277916831,rise
0.09,0.427496680089,0.382074051478,0.0162443696217,0.00136093916173,-0.0454226286106,-0.01488343046,rise
0.1,0.444635729648,0.411996923988,0.0160022708082,0.00149281025536,-0.0326388056593,-0.0145094605528,rise
0.11,0.460869165764,0.442008096647,0.0157417831037,0.00164190293017,-0.0188610691175,-0.0140998801735,rise
0.12,0.476156282838,0.471742287529,0.015457540325,0.00180998220667,-0.00441399530946,-0.0136475581183,rise
0.13,0.490473194423,0.500842982419,0.0151440902105,0.00199899730959,0.0103697879961,-0.0131450929009,rise
0.14,0.503810999631,0.528979866741,0.0147964711303,0.00221109278135,0.0251688671102,-0.012585378349,rise
0.15,0.516173698909,0.555860232589,0.0144104550668,0.00244861318887,0.03968653368,-0.0119618418779,rise
0.16,0.527575866176,0.581234699732,0.013982707954,0.00271410120436,0.0536588335559,-0.0112686067497,rise
0.17,0.538040374737,0.604898787508,0.0135111830696,0.00301029000944,0.0668584127708,-0.0105008930601,rise
0.18,0.54759656211,0.626692740439,0.0129957985809,0.00334009129644,0.0790961783288,-0.0096557072845,rise
0.19,0.556278928117,0.646500678556,0.0124391350666,0.00370657867293,0.0902217504384,-0.00873255639367,rise
0.2,0.564126246911,0.664248692467,0.0118468372428,0.00411296570626,0.100122445556,-0.00773387153649,rise
0.21,0.571180962742,0.679901718304,0.0112276007423,0.00456257871601,0.108720755562,-0.0066650220263,rise
0.22,0.577488613667,0.693459541073,0.0105927827066,0.00505882463249,0.115970927405,-0.00553395807409,rise
0.23,0.583096980222,0.704952323422,0.00995572332566,0.00560515371929,0.1218553432,-0.00435056960637,rise
0.24,0.588054937847,0.714435971286,0.00933091531279,0.00620501763421,0.126381033439,-0.00312589767857,rise
0.25,0.592411219412,0.721987563015,0.00873316274387,0.00686182486823,0.129576343603,-0.00187133787564,rise
0.26,0.596213254963,0.727700999122,0.00817679680007,0.00757889577151,0.131487744159,-0.000597901028566,rise
0.27,0.599506246316,0.731682975382,0.00767494700735,0.008359418257,0.132176729066,0.000684471249658,rise
0.28,0.602332655965,0.734049339908,0.0072388345149,0.0092064046707,0.131716683944,0.0019675701558,rise
0.29,0.604732089178,0.734921863632,0.00687705827571,0.0101226506275,0.130189774454,0.00324559235176,rise
0.3,0.60674132728,0.73442543101,0.00659491145355,0.0111106967357,0.12768410373,0.00451578528217,rise
0.31,0.608394395194,0.732685641045,0.00639387666934,0.0121727936984,0.124291245851,0.00577891702909,rise
0.32,0.609722753613,0.729826797289,0.00627151110107,0.0133108712049,0.120104043676,0.00703936010379,rise
0.33,0.610755556496,0.725970259219,0.00622184776385,0.0145265115025,0.115214702723,0.00830466373862,rise
0.34,0.611519789054,0.721233123436,0.00623630155408,0.015820928725,0.109713334381,0.0095846271709,rise
0.35,0.612040350925,0.715727200665,0.00630499303859,0.0171949545824,0.10368684974,0.0108899615438,rise
0.36,0.612340238596,0.709558254159,0.00641827436024,0.0186490304957,0.0972180155628,0.0122307561355,rise
0.37,0.612440777028,0.702825466002,0.00656810928981,0.020183205966,0.0903846889736,0.0136150966762,rise
0.38,0.612361850022,0.695621099354,0.00674900850002,0.0217971426272,0.083259249332,0.0150481341272,rise
0.39,0.612122163373,0.688030326819,0.00695836058869,0.0234901231849,0.0759081634463,0.0165317625962,rise
0.4,0.611739436089,0.680131197907,0.00719613975023,0.0252610644242,0.0683917618175,0.0180649246739,rise
0.41,0.611230379954,0.671994721042,0.00746413668533,0.027108533558,0.0607643410884,0.0196443968727,rise
0.42,0.610610571971,0.663685037607,0.00776499069606,0.0290307673922,0.0530744656364,0.0212657766961,rise
0.43,0.609894394462,0.655259668054,0.0081013340398,0.0310256939591,0.0453652735927,0.0229243599193,rise
0.44,0.60909498422,0.646769812985,0.00847526937648,0.0330909564707,0.0376748287643,0.0246156870942,rise
0.45,0.608224096647,0.638260694335,0.00888821913978,0.0352239398057,0.0300365976875,0.0263357206659,rise
0.46,0.607291992374,0.629771923873,0.00934098604157,0.037421798968,0.0224799314985,0.0280808129264,rise
0.47,0.606307393556,0.62133788824,0.0098337572663,0.0396814879087,0.0150304946844,0.0298477306424,rise
0.48,0.605277402624,0.612988141262,0.0103659310521,0.041999788029,0.00771073863783,0.0316338569768,rise
0.49,0.604207440989,0.604747795827,0.0109359281056,0.0443733364604,0.000540354838724,0.0334374083548,rise
0.5,0.603101376921,0.596637909688,0.0115411943182,0.0467986533051,-0.00646346723233,0.0352574589869,rise
0.51,0.601961821793,0.588675860963,0.0121784135843,0.0492721667946,-0.0132859608304,0.0370937532102,rise
0.52,0.60079051057,0.580875709991,0.0128438465964,0.0517902364901,-0.0199148005788,0.0389463898936,rise
0.53,0.599588791554,0.573248545047,0.0135336879708,0.0543491756512,-0.0263402465068,0.0408154876804,rise
0.54,0.598358148554,0.565802809868,0.0142442500008,0.0569452738501,-0.0325553386861,0.0427010238493,rise
0.55,0.597100549988,0.558544611081,0.014971767603,0.0595748197095,-0.0385559389078,0.0446030521065,rise
0.56,0.595818606898,0.551478003997,0.0157118076207,0.062234122605,-0.0443406029007,0.0465223149842,rise
0.57,0.5945156672,0.544605256277,0.0164584980955,0.0649195326525,-0.0499104109233,0.048461034557,rise
0.58,0.593195811212,0.537927090244,0.0172038895832,0.0676274588391,-0.0552687209679,0.0504235692559,rise
0.59,0.591863643613,0.53144290476,0.0179377446772,0.0703543846705,-0.0604207388534,0.0524166399933,rise
0.6,0.590523958146,0.525150976834,0.0186479269932,0.0730968809271,-0.0653729813117,0.0544489539339,rise
0.61,0.589181399444,0.519048643679,0.0193213248911,0.075851616163,-0.0701327557647,0.0565302912718,rise
0.62,0.587840122595,0.51313246664,0.0199450595163,0.0786153657171,-0.074707655955,0.0586703062008,rise
0.63,0.586503535328,0.507398378077,0.0205076727241,0.0813850195556,-0.0791051572513,0.0608773468316,rise
0.64,0.585174311221,0.501841811784,0.0209999827307,0.0841575890257,-0.0833324994366,0.0631576062949,rise
0.65,0.58385462128,0.496457817471,0.0214153595017,0.0869302123909,-0.0873968038095,0.0655148528892,rise
0.66,0.582546359378,0.491241160201,0.0217493934845,0.0897001590532,-0.0913051991768,0.0679507655688,rise
0.67,0.581251292793,0.486186406453,0.0219991781085,0.0924648325046,-0.0950648863402,0.0704656543961,rise
0.68,0.579971125457,0.481287998547,0.0221625116188,0.0952217722851,-0.0986831269099,0.0730592606663,rise
0.69,0.578707370505,0.476540318507,0.0222372597402,0.0979686552968,-0.102167051998,0.0757313955566,rise
0.7,0.57746105122,0.471937742451,0.0222210165456,0.100703296127,-0.105523308769,0.0784822795813,rise
0.71,0.576232445673,0.467474686955,0.0221111505119,0.103423645616,-0.108757758718,0.0813124951038,rise
0.72,0.575020983651,0.463145648057,0.0219052995155,0.106127787611,-0.111875335594,0.0842224880955,rise
0.73,0.573825211779,0.458945232988,0.0216022424563,0.108813934665,-0.114879978791,0.0872116922091,rise
0.74,0.572642851506,0.45486818537,0.0212028938124,0.111480423502,-0.117774666135,0.0902775296894,rise
0.75,0.571471073075,0.450909404947,0.0207111360297,0.114125710669,-0.120561668129,0.0934145746394,rise
0.76,0.57030689183,0.447063962543,0.0201343080421,0.116748368701,-0.123242929288,0.0966140606584,rise
0.77,0.569147518209,0.443327110689,0.0194833566468,0.119347083069,-0.12582040752,0.0998637264223,rise
0.78,0.567990651535,0.439694290423,0.018772823849,0.121920649538,-0.128296361111,0.103147825689,rise
0.79,0.566834644134,0.436161135279,0.0180207516717,0.12446797117,-0.130673508856,0.106447219499,rise
0.8,0.565678390212,0.432723473427,0.0172483634141,0.126988054971,-0.132954916784,0.109739691557,rise
0.81,0.564521013356,0.429377327929,0.0164793465622,0.129480008367,-0.135143685428,0.113000661805,rise
0.82,0.563361550578,0.426118914675,0.0157386913274,0.131943035332,-0.137242635904,0.116204344005,rise
0.83,0.562198730253,0.422944638492,0.0150511853754,0.134376431939,-0.139254091761,0.119325246563,rise
0.84,0.561030944603,0.41985108794,0.0144397880704,0.13677958128,-0.141179856663,0.12233979321,rise
0.85,0.559856531338,0.416835028915,0.0139241718013,0.139151948227,-0.143021502423,0.125227776426,rise
0.86,0.558674245634,0.413893397531,0.0135196769909,0.141493074734,-0.144780848103,0.127973397743,rise
0.87,0.557483636426,0.411023293153,0.0132368356033,0.143802576111,-0.146460343273,0.130565740508,rise
0.88,0.556285231116,0.408221971671,0.0130815435672,0.146080138098,-0.148063259445,0.132998594531,rise
0.89,0.555080601627,0.405486838502,0.0130558160928,0.148325514003,-0.149593763125,0.13526969791,rise
0.9,0.553872248188,0.40281544112,0.0131588609271,0.150538521069,-0.151056807067,0.137379660141,rise
0.91,0.552663209005,0.400205461281,0.0133881444902,0.15271903587,-0.152457747724,0.13933089138,rise
0.92,0.551456571869,0.397654707134,0.0137402072115,0.154866989412,-0.153801864735,0.1411267822,rise
0.93,0.550255106754,0.395161105569,0.0142110506275,0.156982362733,-0.155094001185,0.142771312105,rise
0.94,0.54906100928,0.392722695241,0.0147960187661,0.159065183216,-0.156338314039,0.14426916445,rise
0.95,0.547875746726,0.390337620558,0.0154893234969,0.161115521048,-0.157538126168,0.145626197551,rise
0.96,0.546700080639,0.388004126313,0.0162835159602,0.163133485272,-0.158695954326,0.146849969311,rise
0.97,0.545534194357,0.385720552706,0.0171691652369,0.165119219665,-0.159813641651,0.147950054428,rise
0.98,0.544377805442,0.383485330645,0.0181349062954,0.16707289899,-0.160892474797,0.148937992695,rise
0.99,0.543230309482,0.381296976903,0.0191679044058,0.168994725614,-0.161933332579,0.149826821208,rise
1,0.542091004271,0.379154088707,0.0202546360534,0.170884926257,-0.162936915564,0.150630290203,rise
1.01,0.540959276117,0.377055338071,0.0213817742464,0.172743748986,-0.163903938046,0.15136197474,rise
1.02,0.539834679816,0.374999466489,0.0225369642625,0.174571460608,-0.164835213326,0.152034496346,rise
1.03,0.538717042613,0.372985280044,0.0237093438613,0.176368344269,-0.165731762568,0.152659000407,rise
