case,P_fraction,Q_bath_reaction_W,SaveScalars_bath_diffusive_flux_W,relative_difference,note
historical,0.95,3.0428581202480873e-10,3.042858120244e-10,-1.3432588374939769e-12,SaveScalars flux is element-gradient based (not a reaction); agreement is a cross-check only
historical,1.0,3.2030083811788885e-10,3.203008381178e-10,-2.774447338538266e-13,SaveScalars flux is element-gradient based (not a reaction); agreement is a cross-check only
historical,1.05,3.3631586416261427e-10,3.363158641628e-10,5.522249324485529e-13,SaveScalars flux is element-gradient based (not a reaction); agreement is a cross-check only
best_phase24,0.95,3.042749756728347e-10,3.044021805045e-10,0.0004180588015296749,SaveScalars flux is element-gradient based (not a reaction); agreement is a cross-check only
best_phase24,1.0,3.202899473858936e-10,3.204238474174e-10,0.00041805880140555196,SaveScalars flux is element-gradient based (not a reaction); agreement is a cross-check only
best_phase24,1.05,3.36304919079155e-10,3.364455143131e-10,0.0004180588090414439,SaveScalars flux is element-gradient based (not a reaction); agreement is a cross-check only
refined_parent,0.95,3.042865012392802e-10,3.043594688349e-10,0.000239798989842388,SaveScalars flux is element-gradient based (not a reaction); agreement is a cross-check only
refined_parent,1.0,3.203015295979542e-10,3.203783375817e-10,0.0002397989914133536,SaveScalars flux is element-gradient based (not a reaction); agreement is a cross-check only
refined_parent,1.05,3.3631655791456364e-10,3.363972062849e-10,0.0002397989882996221,SaveScalars flux is element-gradient based (not a reaction); agreement is a cross-check only
