case,operator,mode,s_bin_um,trace_nodes,input_mean,reaction_W_per_K,reaction_density_W_per_K_m2,area_m2,energy_W_per_K,normalized_response_W_per_K_m2,energy_K_per_W,TES_mean_response_K_per_W,net_source_W
best_phase24,TES_Membrane_local_operator,linear_x,50-100,20,-0.006952146107317175,-6.828144621696538e-09,-0.19505140869033002,3.500689724593132e-08,,,,,
best_phase24,TES_Membrane_local_operator,linear_x,100-150,28,0.005026819255556006,7.476131226849153e-09,0.15423515107049526,4.84722916595847e-08,,,,,
best_phase24,TES_Membrane_local_operator,linear_x,150-200,35,-0.00800814779626054,-1.3632030644268475e-08,-0.23273288060419084,5.8573720261953405e-08,,,,,
best_phase24,TES_Membrane_local_operator,linear_x,200-225,44,0.006887986138604565,1.2716697276607172e-08,0.19397215377885282,6.555939617552242e-08,,,,,
best_phase24,TES_Membrane_local_operator,linear_x,225-240,0,,0.0,,0.0,,,,,
best_phase24,TES_Membrane_local_operator,linear_x,240-250,48,-0.002244175742951786,-5.0055635146800175e-09,-0.14886289914502057,3.3625326010906545e-08,,,,,
best_phase24,TES_Membrane_local_operator,linear_y,0-50,5,0.005795467303293097,1.3991496567975192e-09,0.1596771048225641,8.762368646101632e-09,,,,,
best_phase24,TES_Membrane_local_operator,linear_y,50-100,20,0.03745765785599433,3.7059588926877056e-08,1.058636778533245,3.500689724593132e-08,,,,,
best_phase24,TES_Membrane_local_operator,linear_y,100-150,28,-0.035931855352198165,-4.904920553386887e-08,-1.0119019310730297,4.84722916595847e-08,,,,,
best_phase24,TES_Membrane_local_operator,linear_y,150-200,35,-0.0067250204499773305,-1.0890485444168513e-08,-0.1859278426479329,5.8573720261953405e-08,,,,,
best_phase24,TES_Membrane_local_operator,linear_y,200-225,44,0.004905225789836712,9.063734577634322e-09,0.13825225835466742,6.555939617552242e-08,,,,,
best_phase24,TES_Membrane_local_operator,linear_y,225-240,0,,0.0,,0.0,,,,,
best_phase24,TES_Membrane_local_operator,linear_y,240-250,48,0.01344126143002534,8.37427071972547e-09,0.24904652870902225,3.3625326010906545e-08,,,,,
best_phase24,TES_Membrane_local_operator,radial_quadratic,0-50,5,0.022161422482973113,8.550919093055793e-09,0.9758684481804001,8.762368646101632e-09,,,,,
best_phase24,TES_Membrane_local_operator,radial_quadratic,50-100,20,0.14261493563087943,1.531520955781011e-07,4.374912020970417,3.500689724593132e-08,,,,,
best_phase24,TES_Membrane_local_operator,radial_quadratic,100-150,28,0.36322973194294417,5.136220491912467e-07,10.596199016096763,4.84722916595847e-08,,,,,
best_phase24,TES_Membrane_local_operator,radial_quadratic,150-200,35,0.6406090721879645,1.0816300614262937e-06,18.466132193567823,5.8573720261953405e-08,,,,,
best_phase24,TES_Membrane_local_operator,radial_quadratic,200-225,44,0.9841795904271926,1.8404016666633967e-06,28.072279093847694,6.555939617552242e-08,,,,,
best_phase24,TES_Membrane_local_operator,radial_quadratic,225-240,0,,0.0,,0.0,,,,,
best_phase24,TES_Membrane_local_operator,radial_quadratic,240-250,48,1.3012217012308265,2.006793198912287e-06,59.68100348711485,3.3625326010906545e-08,,,,,
best_phase24,TES_Membrane_local_operator,constant,TOTAL,180,,7.686507331736775e-06,,,7.686507331736775e-06,30.746029326947095,,,
best_phase24,TES_Membrane_local_operator,linear_x,TOTAL,180,,-2.7121469178413067e-09,,,2.777124691844768e-06,32.94310386104106,,,
best_phase24,TES_Membrane_local_operator,linear_y,TOTAL,180,,-4.042947097002979e-09,,,2.7836696366678123e-06,33.02423889766343,,,
best_phase24,TES_Membrane_local_operator,radial_quadratic,TOTAL,180,,5.604149990864381e-06,,,5.678146491517798e-06,35.374727059413885,,,
best_phase24,TES_side_native_NtD,constant,TOTAL,,,,,,,,51027847.37170648,51026736.85811155,1.0
best_phase24,TES_side_native_NtD,linear_x,TOTAL,,,,,,,,3077.83460497771,21.19736342190341,-1.6871226637960035e-13
best_phase24,TES_side_native_NtD,linear_y,TOTAL,,,,,,,,3092.580571781935,-69.98206923958278,1.1263212584822213e-13
best_phase24,TES_side_native_NtD,radial_quadratic,TOTAL,,,,,,,,23180608.371570636,34391960.39689226,0.6740148025492422
refined_parent,TES_Membrane_local_operator,constant,0-50,5,1.0,2.476184407899952e-07,28.25930416659203,8.762368646101632e-09,,,,,
refined_parent,TES_Membrane_local_operator,constant,50-100,20,1.0,9.892790957414965e-07,28.25930416659205,3.500719939562473e-08,,,,,
refined_parent,TES_Membrane_local_operator,constant,100-150,28,1.0,1.3712743131762834e-06,28.25930416659201,4.8524701991685846e-08,,,,,
refined_parent,TES_Membrane_local_operator,constant,150-200,34,1.0,1.6428047256419682e-06,28.259304166592003,5.813323342844666e-08,,,,,
refined_parent,TES_Membrane_local_operator,constant,200-225,44,1.0,1.86324691339681e-06,28.25930416659202,6.593392754516331e-08,,,,,
refined_parent,TES_Membrane_local_operator,constant,225-240,0,,0.0,,0.0,,,,,
refined_parent,TES_Membrane_local_operator,constant,240-250,48,1.0,1.6014583159531672e-06,47.60780151758172,3.3638568992977825e-08,,,,,
refined_parent,TES_Membrane_local_operator,linear_x,0-50,5,0.010575628210784538,2.61825734479027e-09,0.29880702930196046,8.762368646101632e-09,,,,,
refined_parent,TES_Membrane_local_operator,linear_x,50-100,20,-0.006954640316731174,-6.88161226778008e-09,-0.19657705805052653,3.500719939562473e-08,,,,,
refined_parent,TES_Membrane_local_operator,linear_x,100-150,28,0.004440241734342025,5.852254522355458e-09,0.1206036159347908,4.8524701991685846e-08,,,,,
refined_parent,TES_Membrane_local_operator,linear_x,150-200,34,-0.0019036387314514361,-4.2878622217422315e-09,-0.07375922460979141,5.813323342844666e-08,,,,,
refined_parent,TES_Membrane_local_operator,linear_x,200-225,44,0.002427507364958987,5.199125237395647e-09,0.07885356493945184,6.593392754516331e-08,,,,,
refined_parent,TES_Membrane_local_operator,linear_x,225-240,0,,0.0,,0.0,,,,,
refined_parent,TES_Membrane_local_operator,linear_x,240-250,48,-0.0033906584934040767,-7.155644114957241e-09,-0.21272141857315655,3.3638568992977825e-08,,,,,
refined_parent,TES_Membrane_local_operator,linear_y,0-50,5,0.0057954673032930846,1.4359274225697508e-09,0.16387434500471437,8.762368646101632e-09,,,,,
refined_parent,TES_Membrane_local_operator,linear_y,50-100,20,0.03745614249828838,3.705483520797334e-08,1.0584918487539603,3.500719939562473e-08,,,,,
refined_parent,TES_Membrane_local_operator,linear_y,100-150,28,-0.03640675640611643,-4.9953191334131974e-08,-1.02943839495791,4.8524701991685846e-08,,,,,
refined_parent,TES_Membrane_local_operator,linear_y,150-200,34,-0.0006432924418031524,-1.6176637182166234e-09,-0.027826831965363258,5.813323342844666e-08,,,,,
