case,constraint_row_local,classification,coefficient_count,support_node_count,side_a_node_count,side_b_node_count,coefficient_l1,coefficient_l2,coefficient_max_abs,support_x_span_m,support_y_span_m
historical,39,Stycast_to_substrate,15,15,5,10,1.191277942240289e-10,4.8076818612329356e-11,3.131671836412811e-11,3.93830910784e-05,2.321512277699998e-05
historical,40,Stycast_to_substrate,22,22,8,14,2.920214302693527e-10,1.0648586834017877e-10,7.300535756733814e-11,3.7284559845210004e-05,3.684411763100006e-05
historical,41,Stycast_to_substrate,17,17,6,11,1.535456131462576e-10,5.8180908885260544e-11,3.838640328656439e-11,3.24762314363e-05,3.209713317900008e-05
historical,42,Stycast_to_substrate,20,20,7,13,2.3093094364296987e-10,8.901042848571532e-11,5.773273591074243e-11,3.529843500972e-05,4.005449043600006e-05
historical,43,Stycast_to_substrate,14,14,5,9,1.2833858034027194e-10,5.289527047676926e-11,3.635876440050259e-11,3.096134247575e-05,3.131341929900008e-05
historical,44,Stycast_to_substrate,24,24,8,16,2.9113921000158946e-10,1.0445770372039001e-10,7.27848025003972e-11,3.593705262368e-05,4.5747959790999994e-05
historical,45,Stycast_to_substrate,24,24,8,16,3.2398144179358664e-10,1.1299224099241997e-10,8.10031047793353e-11,3.9003149483100003e-05,4.515946269199997e-05
historical,46,Stycast_to_substrate,17,17,5,12,1.6311993953327755e-10,6.202266456355724e-11,4.078522152069075e-11,3.358408114119998e-05,3.065880532900002e-05
historical,47,Stycast_to_substrate,17,17,6,11,2.2439431464237221e-10,8.303492636028562e-11,5.6105510661278374e-11,2.9620611860900004e-05,3.2613265543000045e-05
historical,48,Stycast_to_substrate,17,17,6,11,1.3963268833236323e-10,5.3271873499735295e-11,3.490817208309074e-11,3.6119105218900003e-05,3.8035631456000076e-05
historical,49,Stycast_to_substrate,18,18,6,12,1.961776740429171e-10,7.448209632943274e-11,4.9044418510729276e-11,3.30726565958e-05,3.4927735899000075e-05
historical,50,Stycast_to_substrate,16,16,6,10,1.5925171793122323e-10,6.200862583567695e-11,3.981292948280579e-11,3.2932122626e-05,2.5885422316e-05
historical,51,Stycast_to_substrate,20,20,8,12,2.7799338381911677e-10,1.026217516429401e-10,6.949835796267096e-11,3.74260096465e-05,3.451429587700001e-05
historical,52,Stycast_to_substrate,15,15,5,10,1.3683860944565036e-10,5.238306451058774e-11,3.420965236141255e-11,3.096421099380001e-05,2.993118440399996e-05
historical,53,Stycast_to_substrate,24,24,8,16,3.142135965391351e-10,1.1272433006251908e-10,7.856676748053244e-11,4.0102162714699994e-05,4.501684768000002e-05
historical,54,Stycast_to_substrate,21,21,8,13,2.666981992347115e-10,9.726478451278727e-11,6.667454980867786e-11,3.93350555557e-05,3.682859000100002e-05
historical,55,Stycast_to_substrate,16,16,6,10,1.7637672204018154e-10,6.85437190678792e-11,4.409418051004532e-11,3.1743942135200005e-05,3.0327124396000034e-05
historical,56,Stycast_to_substrate,17,17,5,12,1.1093411797639229e-10,4.2459961341076776e-11,2.7733547460817046e-11,3.7645063027999984e-05,2.9173180047000055e-05
historical,57,Stycast_to_substrate,19,19,6,13,2.178669591369924e-10,8.091625212347825e-11,5.446673978424806e-11,3.8556950531699996e-05,3.292355322099996e-05
historical,58,Stycast_to_substrate,22,22,8,14,2.4897155907634473e-10,9.300104361894988e-11,6.225629994684551e-11,4.1433902555e-05,3.211341251199999e-05
historical,59,Stycast_to_substrate,23,23,8,15,3.084948694156103e-10,1.1083042023440801e-10,7.712371735390256e-11,3.7913714358e-05,4.274861054499998e-05
historical,60,Stycast_to_substrate,22,22,8,14,3.065542847608524e-10,1.1369604556318082e-10,7.664005643010273e-11,4.0472519232619995e-05,3.504191473000006e-05
historical,61,Stycast_to_substrate,22,22,8,14,3.041055426083674e-10,1.0700034844869589e-10,7.602638565209191e-11,3.861790255395e-05,3.937020900899994e-05
historical,62,Stycast_to_substrate,16,16,5,11,1.1734146050557534e-10,4.5337855749045026e-11,2.9341766933905256e-11,3.424837024300001e-05,2.9432030963999945e-05
historical,63,Stycast_to_substrate,20,20,7,13,2.1800851752542887e-10,8.224699646921606e-11,5.450614974104294e-11,4.30800576503e-05,3.165405387099999e-05
historical,64,Stycast_to_substrate,21,21,7,14,2.9383193460942304e-10,1.0581877772719976e-10,7.345798365235566e-11,3.3678627389799995e-05,4.273339795499999e-05
historical,65,Stycast_to_substrate,23,23,9,14,3.422112906352337e-10,1.1830993813907337e-10,8.555282265880824e-11,4.287834103800001e-05,3.3877087708000016e-05
historical,66,Stycast_to_substrate,15,15,6,9,1.4456064026428177e-10,5.874785692756248e-11,3.964509834346232e-11,2.6022012796100004e-05,3.3103130571999974e-05
historical,67,Stycast_to_substrate,20,20,7,13,2.4908374215776995e-10,9.510566571287773e-11,6.228442672804135e-11,3.92268456339e-05,3.5999262514999964e-05
historical,68,Stycast_to_substrate,18,18,6,12,2.0078911684575818e-10,7.829973611284224e-11,5.019730067994707e-11,3.53230538059e-05,3.5999262514999964e-05
historical,69,Stycast_to_substrate,23,23,8,15,3.1485816249791925e-10,1.1128382348524133e-10,7.871454062447979e-11,3.88966173954e-05,4.168589441399997e-05
historical,70,Stycast_to_substrate,25,25,9,16,3.91294644684316e-10,1.365003984992756e-10,9.783182542747125e-11,4.341593107299999e-05,4.3555128087999976e-05
historical,71,Stycast_to_substrate,16,16,6,10,1.6329733440507512e-10,6.384063182322224e-11,4.082762483852586e-11,2.73688190038e-05,3.504191473000006e-05
historical,72,Stycast_to_substrate,16,16,5,11,1.1602163270955323e-10,4.6359438259241965e-11,2.9989628933568935e-11,3.535091687e-05,2.6803926326999963e-05
historical,73,Stycast_to_substrate,17,17,6,11,1.9812617777282727e-10,7.391122273810577e-11,4.954019624140997e-11,3.096421099380001e-05,2.9432030963999945e-05
historical,74,Stycast_to_substrate,15,15,5,10,1.2761604755633572e-10,4.995503274739397e-11,3.1904011889083846e-11,3.4777777063499995e-05,2.5476138864000022e-05
historical,75,Stycast_to_substrate,21,21,7,14,2.4149863444884104e-10,8.809959491888077e-11,6.037690876242327e-11,3.8707497297199995e-05,3.398527996e-05
historical,76,Stycast_to_substrate,19,19,7,12,2.6360890555517366e-10,9.633983771990248e-11,6.59022263887933e-11,3.243123176628e-05,4.1744350293000036e-05
historical,77,Stycast_to_substrate,21,21,8,13,2.6932916006212826e-10,9.634184091624761e-11,6.734183074926739e-11,3.922580862540001e-05,3.237489930599995e-05
historical,78,Stycast_to_substrate,16,16,5,11,1.2874504355341936e-10,5.146059308111741e-11,3.2186260888354774e-11,3.435531693300002e-05,2.549242625800004e-05
historical,79,Stycast_to_substrate,18,18,6,12,1.7414928978715129e-10,6.383304425605756e-11,4.348165920593445e-11,3.7645063027999984e-05,2.6803926326999963e-05
historical,80,Stycast_to_substrate,17,17,6,11,1.5160722839803415e-10,5.857847660014821e-11,3.7901807099508563e-11,3.6515989179399997e-05,2.5851768470000003e-05
historical,81,Stycast_to_substrate,20,20,7,13,2.3399945142951746e-10,9.02717432465463e-11,5.985169150826915e-11,4.69673242463e-05,3.207787720600004e-05
historical,82,Stycast_to_substrate,23,23,8,15,3.383728820529626e-10,1.2061720398423102e-10,8.459322051324069e-11,4.23566643368e-05,3.459648035200006e-05
historical,83,Stycast_to_substrate,20,20,7,13,2.040780842219984e-10,7.463731916369943e-11,5.087517359484495e-11,3.59675146642e-05,3.7516474767999896e-05
historical,84,Stycast_to_substrate,22,22,8,14,2.8977082416937845e-10,1.0446108445389347e-10,7.236349277521098e-11,3.6883433481e-05,3.812126947300002e-05
historical,85,Stycast_to_substrate,16,16,6,10,1.658540018174325e-10,6.695111014837403e-11,4.5219345631941376e-11,3.33778674392e-05,3.3573959154e-05
historical,86,Stycast_to_substrate,18,18,7,11,2.2024110267211117e-10,8.042858554607982e-11,5.5069534540530134e-11,3.375989802159e-05,3.6476391077000015e-05
historical,87,Stycast_to_substrate,15,15,5,10,1.2721247795831027e-10,4.963975841581103e-11,3.18031194895775e-11,3.902267655600002e-05,3.0132160943000018e-05
historical,88,Stycast_to_substrate,19,19,7,12,2.5757467308485785e-10,9.590699620493972e-11,6.439366827121453e-11,3.13888296856e-05,4.337145791500003e-05
historical,89,Stycast_to_substrate,18,18,6,12,1.8931167785721859e-10,7.366282776779321e-11,4.7327919464304595e-11,2.8267601213000004e-05,3.932924123599998e-05
historical,90,Stycast_to_substrate,19,19,7,12,2.1700637037536838e-10,8.554308169227172e-11,5.866330621223972e-11,3.168734883109999e-05,4.0787175959e-05
historical,91,Stycast_to_substrate,20,20,6,14,1.5577524592448106e-10,5.938239518439676e-11,3.894381148112016e-11,3.59672389924e-05,3.5629751770000005e-05
historical,92,Stycast_to_substrate,21,21,8,13,2.975883208633617e-10,1.0355234247040691e-10,7.439589941731283e-11,3.197377090900001e-05,3.5711742895000085e-05
historical,93,Stycast_to_substrate,22,22,8,14,3.0961438656747487e-10,1.1114722142455138e-10,7.741125761015054e-11,4.330438997030001e-05,3.306370710000003e-05
historical,94,Stycast_to_substrate,18,18,6,12,1.5078740014568778e-10,5.805765240405544e-11,3.769685003642189e-11,3.39100758207e-05,3.416559348700006e-05
