time_from_pulse_us,comsol_current_drop_uA,mpi_current_drop_uA,mpi_minus_comsol_uA
1615.0,7.084011985021481,7.113017850902473,0.02900586588099241
1616.0,7.083418045300716,7.1124278625975235,0.029009817296807405
1617.0,7.082824154722334,7.111837935031976,0.029013780309641746
1618.0,7.082230313286687,7.11124806657378,0.029017753287092773
1619.0,7.081636520994126,7.110658255590881,0.029021734596755167
1620.0,7.081042777845,7.110068500451226,0.029025722606226267
1621.0,7.0804490838180945,7.109478799522765,0.029029715704670167
1622.0,7.07985543889223,7.108889151173441,0.029033712281210988
1623.0,7.079261843067809,7.108299553771205,0.029037710703395447
1624.0,7.078668296345227,7.107710005684001,0.029041709338773813
1625.0,7.07807479872489,7.107120505279776,0.029045706554886586
1626.0,7.077481350207195,7.10653105092648,0.02904970071928492
1627.0,7.0768879507925435,7.105941640992059,0.029053690199515536
1628.0,7.076294600481337,7.105352273844459,0.029057673363121594
1629.0,7.075701299273975,7.104762947851628,0.029061648577653365
1630.0,7.075108047170859,7.104173661381513,0.02906561421065401
1631.0,7.074514844150721,7.103584412802061,0.029069568651340028
1632.0,7.073921690192304,7.102995200481218,0.029073510288914584
1633.0,7.073328585296029,7.102406022786933,0.029077437490903968
1634.0,7.072735529462312,7.101816878087153,0.029081348624840686
1635.0,7.0721425226915775,7.101227764749822,0.02908524205824481
1636.0,7.071549564984242,7.100638681142892,0.02908911615865062
1637.0,7.070956656340722,7.100049625634308,0.02909296929358618
1638.0,7.070363796761442,7.099460596592016,0.029096799830574227
1639.0,7.069770986246818,7.098871592383964,0.02910060613714638
1640.0,7.0691782247972705,7.098282611378098,0.029104386580827146
1641.0,7.068585512391518,7.097693651942368,0.0291081395508499
1642.0,7.067992849008289,7.097104712444718,0.029111863436429353
1643.0,7.067400234648009,7.096515791253096,0.029115556605087356
1644.0,7.066807669311103,7.09592688673545,0.029119217424346644
1645.0,7.066215152998002,7.095337997259728,0.02912284426172551
1646.0,7.065622685709131,7.094749121193875,0.02912643548474403
1647.0,7.065030267444915,7.094160256905837,0.02912998946092138
1648.0,7.064437898205786,7.093571402763565,0.029133504557778522
1649.0,7.063845577992166,7.092982557135003,0.029136979142837305
1650.0,7.063253306804485,7.092393718388099,0.029140411583613357
1651.0,7.062661084621537,7.091804880387021,0.029143795765484093
1652.0,7.062068911422089,7.091216039580433,0.029147128158344415
1653.0,7.061476787206524,7.090627198213025,0.029150411006501287
1654.0,7.060884711975224,7.0900383585294895,0.029153646554265222
1655.0,7.060292685728574,7.089449522774516,0.029156837045942297
1656.0,7.059700708466956,7.088860693192798,0.029159984725842136
1657.0,7.059108780190751,7.088271872029021,0.029163091838269928
1658.0,7.0585169009003454,7.0876830615278825,0.029166160627537074
1659.0,7.057925070596121,7.087094263934071,0.02916919333794965
1660.0,7.057333289278461,7.086505481492276,0.029172192213815507
1661.0,7.056741556926251,7.08591671644719,0.029175159520939076
1662.0,7.056149873518362,7.085327971043505,0.029178097525142555
1663.0,7.05555823905515,7.08473924752591,0.02918100847075955
1664.0,7.054966653536973,7.084150548139096,0.029183894602122784
1665.0,7.054375116964188,7.083561875127757,0.029186758163569415
1666.0,7.05378362933715,7.082973230736582,0.029189601399432163
1667.0,7.053192190656218,7.082384617210262,0.02919242655404375
1668.0,7.052600800921749,7.081796036793487,0.02919523587173778
1669.0,7.052009460134098,7.08120749173095,0.029198031596852303
1670.0,7.0514181682936234,7.080618984267341,0.029200815973717376
1671.0,7.050826925379295,7.080030516647351,0.029203591268056606
1672.0,7.050235731370061,7.079442091115672,0.029206359745610477
1673.0,7.049644586266248,7.078853709916994,0.02920912365074635
1674.0,7.049053490068185,7.0782653752960085,0.029211885227823586
1675.0,7.048462442776198,7.077677089497407,0.029214646721209547
1676.0,7.047871444390614,7.077088854765879,0.029217410375265374
1677.0,7.04728049491176,7.076500673346117,0.029220178434356647
1678.0,7.046689594339964,7.075912547482812,0.029222953142848063
1679.0,7.046098742675552,7.075324479420653,0.02922573674510076
1680.0,7.045507939918851,7.074736471404334,0.02922853148548299
1681.0,7.044917186048879,7.074148525678544,0.029231339629665065
1682.0,7.044326481044648,7.073560644487976,0.029234163443327965
1683.0,7.043735824906484,7.072972830077319,0.029237005170834607
1684.0,7.043145217634707,7.072385084691264,0.029239867056557678
1685.0,7.042554659229638,7.071797410574503,0.029242751344865425
1686.0,7.0419641496916014,7.071209809971728,0.029245660280126984
