time_after_pulse_ms,reference_normalized,simulation_normalized,residual,region
0,-2.17197711582e-11,7.7792777379e-06,7.77929945767e-06,rise
0.000492076730609,-4.5732873967e-09,7.78069354116e-06,7.78526682856e-06,rise
0.000984153461218,-9.12672591899e-09,7.78210934442e-06,7.79123607034e-06,rise
0.00147623019183,-1.36803605682e-08,7.78352514768e-06,7.79720550825e-06,rise
0.00196830692244,-1.82338373303e-08,7.78494095094e-06,7.80317478827e-06,rise
0.00246038365304,-2.27871663817e-08,7.7863567542e-06,7.80914392058e-06,rise
0.00295246038365,-2.73402934689e-08,7.78777255746e-06,7.81511285093e-06,rise
0.00344453711426,-3.18896314888e-08,7.78918836072e-06,7.82107799221e-06,rise
0.00393661384487,-3.64049028732e-08,7.79060416398e-06,7.82700906685e-06,rise
0.00442869057548,-4.0725344522e-08,7.79201996724e-06,7.83274531176e-06,rise
0.00492076730609,-3.64690525571e-08,7.7934357705e-06,7.82990482306e-06,rise
0.0054128440367,7.08830127866e-08,7.79485157376e-06,7.72396856097e-06,rise
0.00590492076731,1.13681249612e-06,7.79626737702e-06,6.6594548809e-06,rise
0.00639699749791,2.20274197945e-06,7.79768318028e-06,5.59494120083e-06,rise
0.00688907422852,5.05350107126e-06,7.79909898354e-06,2.74559791228e-06,rise
0.00738115095913,1.03737479518e-05,7.8005147868e-06,-2.57323316503e-06,rise
0.00787322768974,1.56939948324e-05,7.80193059006e-06,-7.89206424233e-06,rise
0.00836530442035,2.89450671794e-05,7.80334639332e-06,-2.11417207861e-05,rise
0.00885738115096,4.49483894599e-05,7.80476219658e-06,-3.71436272634e-05,rise
0.00934945788157,6.20979397626e-05,7.80617799984e-06,-5.42917617627e-05,rise
0.00984153461218,9.56782002006e-05,7.8075938031e-06,-8.78706063975e-05,rise
0.0103336113428,0.000129258460639,7.80900960636e-06,-0.000121449451032,rise
0.0108256880734,0.000172667224921,7.81042540962e-06,-0.000164856799511,rise
0.011317764804,0.000223872034103,7.81184121288e-06,-0.00021606019289,rise
0.0118098415346,0.000292020450681,7.81325701614e-06,-0.000284207193665,rise
0.0123019182652,0.000375396119894,7.8146728194e-06,-0.000367581447075,rise
0.0127939949958,0.000471891595367,7.81608862266e-06,-0.000464075506745,rise
0.0132860717264,0.000603029430832,7.81750442591e-06,-0.000595211926406,rise
0.013778148457,0.000734167266296,7.81892022917e-06,-0.000726348346067,rise
0.0142702251877,0.000867923428092,7.82033603243e-06,-0.00086010309206,rise
0.0147623019183,0.00105116998089,7.82175183569e-06,-0.00104334822906,rise
0.0152543786489,0.00124821438536,7.82316763895e-06,-0.00124039121772,rise
0.0157464553795,0.00148304235354,7.82458344221e-06,-0.0014752177701,rise
0.0162385321101,0.00176768068744,7.82599924547e-06,-0.0017598546882,rise
0.0167306088407,0.00210526430519,7.82741504873e-06,-0.00209743689014,rise
0.0172226855713,0.00244284792293,7.82883085199e-06,-0.00243501909208,rise
0.0177147623019,0.00278043154068,7.83024665525e-06,-0.00277260129402,rise
0.0182068390325,0.00323216832889,7.33328701049e-06,-0.00322483504188,rise
0.0186989157631,0.00369393350449,6.14905154618e-06,-0.00368778445294,rise
0.0191909924937,0.00422949210874,4.96481608188e-06,-0.00422452729265,rise
0.0196830692244,0.00480699567379,3.78058061757e-06,-0.00480321509317,rise
0.020175145955,0.00545211268347,2.59634515326e-06,-0.00544951633831,rise
0.0206672226856,0.00621957783103,1.41210968895e-06,-0.00621816572134,rise
0.0211592994162,0.00698704297859,2.27874224645e-07,-0.00698681510436,rise
0.0216513761468,0.00775450812615,-9.56361239662e-07,-0.00775546448739,rise
0.0221434528774,0.00857745936049,-1.06562082606e-06,-0.00857852498132,rise
0.022635529608,0.00953525468946,1.43756096571e-06,-0.00953381712849,rise
0.0231276063386,0.0105291023124,3.94074275747e-06,-0.0105251615696,rise
0.0236196830692,0.0116259228271,6.44392454924e-06,-0.0116194789026,rise
0.0241117597998,0.0127557488438,8.94710634101e-06,-0.0127468017375,rise
0.0246038365304,0.013997892091,1.14502881328e-05,-0.0139864418029,rise
0.025095913261,0.0152691789768,1.39534699245e-05,-0.0152552255069,rise
0.0255879899917,0.0166608417614,1.64566517163e-05,-0.0166443851097,rise
0.0260800667223,0.0180772445327,1.85534429025e-05,-0.0180586910898,rise
0.0265721434529,0.0196209551527,1.85590157636e-05,-0.0196023961369,rise
0.0270642201835,0.0211846494229,1.85645886247e-05,-0.0211660848343,rise
0.0275562969141,0.0228814815194,1.85701614857e-05,-0.0228629113579,rise
0.0280483736447,0.0245933438125,1.85757343468e-05,-0.0245747680781,rise
0.0285404503753,0.026443069288,1.85813072079e-05,-0.0264244879808,rise
0.0290325271059,0.0283052277505,1.8586880069e-05,-0.0282866408705,rise
0.0295246038365,0.0303430420035,1.85924529301e-05,-0.0303244495506,rise
0.0300166805671,0.0323808562565,1.85932659895e-05,-0.0323622629905,rise
0.0305087572977,0.0344225913961,1.8458424701e-05,-0.0344041329714,rise
0.0310008340284,0.0366807221357,1.83235834125e-05,-0.0366623985523,rise
0.031492910759,0.0389388528753,1.8188742124e-05,-0.0389206641332,rise
0.0319849874896,0.041196983615,1.80539008355e-05,-0.0411789297141,rise
0.0324770642202,0.043660434819,1.79190595469e-05,-0.0436425157594,rise
0.0329691409508,0.0461303471565,1.77842182584e-05,-0.0461125629382,rise
0.0334612176814,0.048600259494,1.76493769699e-05,-0.048582610117,rise
