candidate_id,objective,waveform_objective,normalized_rmse,normalized_rmse_no_shift,best_shift_ms,g0_factor,factors
baseline,0.008266363563051748,0.005674363563051732,0.014315204756892725,0.11178263791513887,0.036000000000000115,0.598042550408797,{}
pb_cp_p20,0.010812263368920884,0.00550670009775587,0.01466433607933336,0.11078951951365418,0.036000000000000115,0.598042550408797,"{""pb_cp"": 1.2}"
tes_cp_p20,0.010886899109411126,0.0057233358382461135,0.014556751311858818,0.10812648695239575,0.035000000000000114,0.598042550408797,"{""tes_cp"": 1.2}"
tes_cp_m20,0.01265101341805266,0.00584827509208388,0.014535930753615782,0.11550504689158674,0.037000000000000116,0.598042550408797,"{""tes_cp"": 0.8}"
pb_cp_m20,0.0137076517177187,0.006904913391749921,0.014097114267123522,0.11342604757372785,0.037000000000000116,0.598042550408797,"{""pb_cp"": 0.8}"
