case,G_eff_W_per_K,G_secant_W_per_K,historical_ratio,power_points,solver_status,residual_source
membrane_substrate_intermediate,nan,nan,nan,not run: mesh gate failed,NOT RUN; invalid controlled mesh,pre-solver gate
refined_mortar_parent,2.029899315e-08,nan,1.0807141033876306,0.95/1.00/1.05 P0 (existing audited capture),existing ALL DONE / exit 0; CPU native HeatSolve MUMPS,existing audited capture
membrane_substrate_control,1.959713948e-08,nan,1.0433475623932875,0.95/1.00/1.05 P0 (existing audited capture),existing ALL DONE / exit 0; CPU native HeatSolve MUMPS,existing audited capture
