time_from_pulse_us,elmer_current_drop_uA,comsol_current_drop_uA,elmer_minus_comsol_uA
5.0,-0.10925693462723984,-1.3695184070281886e-06,-0.10925556510883282
10.0,2.534296511647284,0.0004875640414821474,2.533808947605802
15.000000000000002,2.934344224698151,0.006842545552542913,2.927501679145608
20.0,2.9720472071392123,0.03656172534113518,2.9354854817980773
25.0,2.9690821729937227,0.1120447108814374,2.8570374621122854
30.0,2.973078420735476,0.24681231197927594,2.7262661087562
35.00000000000001,2.9884297350454574,0.43927903735243595,2.5491506976930216
40.0,3.013629537886544,0.6814178759451764,2.3322116619413675
45.0,3.0466130088054797,0.9614393485288002,2.0851736602766797
50.0,3.0855611924847324,1.2652541684487328,1.8203070240359995
55.0,3.1289729637222194,1.5839189561354665,1.545054007586753
60.0,3.175616790869128,1.9105122899347848,1.2651045009343433
65.00000000000001,3.2244568038559294,2.2371495962949095,0.9873072075610199
70.00000000000001,3.2746613600247656,2.559011446078966,0.7156499139457995
75.0,3.3255421084731154,2.8712065343641586,0.45433557410895675
80.0,3.376542477472981,3.1734807534502947,0.20306172402268619
85.0,3.4272202679668737,3.461676918700471,-0.03445665073359727
90.0,3.4772022709157397,3.736889848202616,-0.2596875772868761
95.0,3.5261957659924406,3.9987319948348756,-0.47253622884243507
100.0,3.573983995327154,4.247100063704594,-0.67311606837744
105.0,3.620381478720873,4.479922072449347,-0.8595405937284744
110.0,3.6652483276005796,4.69975563838843,-1.0345073107878502
115.0,3.7084926106012404,4.907006671954788,-1.1985140613535474
120.0,3.750045722119552,5.102144514764395,-1.352098792644843
125.0,3.789861007766632,5.283832862618342,-1.4939718548517105
130.00000000000003,3.827912445231817,5.454602630805557,-1.6266901855737395
135.00000000000003,3.864193729354753,5.614993304996717,-1.750799575641964
140.00000000000003,3.8987227206038426,5.765540096361503,-1.8668173757576607
145.00000000000006,3.931502718960161,5.9052996818557455,-1.9737969628955847
150.00000000000006,3.962581632198578,6.036391058720816,-2.0738094265222378
155.00000000000009,3.991981403924683,6.159299381079794,-2.167317977155111
160.00000000000009,4.019750412120828,6.2744897465343845,-2.2547393344135562
165.0000000000001,4.045935280003903,6.381264570442167,-2.3353292904382643
170.0000000000001,4.070583140995467,6.481303441638094,-2.4107203006426268
175.00000000000014,4.093761254179299,6.575000357010838,-2.4812391028315393
180.00000000000014,4.115512515225618,6.662728684577907,-2.5472161693522892
185.00000000000017,4.135888733735442,6.743961523228508,-2.6080727894930664
190.00000000000017,4.154949544903417,6.820003150173259,-2.6650536052698426
195.0000000000002,4.172758453227317,6.891162247250414,-2.7184037940230974
200.0000000000002,4.189366622217079,6.9577300642943785,-2.768363442077299
205.0000000000002,4.204830731303673,7.0193049474145734,-2.8144742161109004
210.00000000000023,4.2191982290469525,7.076891731443574,-2.8576935023966215
215.00000000000023,4.2325269489366235,7.130728978290991,-2.8982020293543673
220.00000000000026,4.2448742662652705,7.181041402820212,-2.9361671365549418
225.00000000000026,4.256286261516607,7.227521628731471,-2.971235367214864
230.00000000000028,4.26680755014084,7.270941477428464,-3.004133927287625
235.00000000000028,4.276467386038178,7.311484365809079,-3.0350169797709015
240.0000000000003,4.285328523314689,7.3493229587488305,-3.0639944354341413
245.0000000000003,4.293433999677092,7.384221643521267,-3.090787643844175
250.00000000000034,4.300833220810915,7.416772642252171,-3.115939421441256
255.00000000000034,4.307559016652732,7.447116713871341,-3.139557697218609
260.00000000000034,4.31364094771962,7.475386339925016,-3.161745392205397
265.0000000000004,4.3191262169487175,7.501400796797991,-3.182274579849274
270.0000000000004,4.324049355227288,7.525614367989344,-3.201565012762056
275.0000000000004,4.32843574475001,7.54813501770856,-3.2196992729585503
280.0000000000004,4.332324121989188,7.569064357568064,-3.2367402355788757
285.0000000000004,4.3357403906733225,7.588263733024275,-3.252523342350952
290.00000000000045,4.338712086209341,7.6060816114594,-3.267369525250059
295.00000000000045,4.34126986200306,7.622600799377041,-3.2813309373739816
300.00000000000045,4.3434262355970645,7.637899232481316,-3.2944729968842514
305.00000000000045,4.34522316307627,7.651870528345786,-3.3066473652695167
310.0000000000005,4.346670200344533,7.664782002289257,-3.318111801944724
315.0000000000005,4.34778507801002,7.676697172936566,-3.3289120949265465
320.0000000000005,4.348603446710996,7.687675824743708,-3.3390723780327116
325.0000000000005,4.349158565623242,7.697636341732909,-3.348477776109667
330.00000000000057,4.349424671301222,7.706783798834835,-3.3573591275336137
335.00000000000057,4.349413717379861,7.71516692707179,-3.3657532096919294
340.00000000000057,4.349171278099504,7.7228315942553545,-3.37366031615585
345.00000000000057,4.3487028036322215,7.729715194311062,-3.3810123906788405
350.00000000000057,4.348025319110093,7.735975058803718,-3.3879497396936253
355.0000000000006,4.347155203849127,7.741648579311955,-3.3944933754628286
360.0000000000006,4.346102172636449,7.7467709515293,-3.400668778892851
365.0000000000006,4.344875426728805,7.751294162040672,-3.406418735311867
370.0000000000006,4.343484361500856,7.7553389133314425,-3.4118545518305865
375.0000000000007,4.341947101440269,7.7589338997172135,-3.4169867982769446
380.0000000000007,4.340268499259935,7.76210613106477,-3.421837631804835
385.0000000000007,4.338461433196613,7.764818796324697,-3.4263573631280835
390.0000000000007,4.336525979210478,7.7671644917059695,-3.4306385124954915
395.00000000000074,4.334478278819603,7.769165239446018,-3.434686960626415
400.00000000000074,4.332319864732881,7.770841769402579,-3.438521904669698
405.00000000000074,4.3300664156487585,7.772165870483704,-3.4420994548349455
410.00000000000074,4.327715256075635,7.773208569742906,-3.4454933136672707
415.00000000000074,4.325280762027489,7.7739867700661165,-3.448706008038627
420.0000000000008,4.322760480730182,7.77451638263102,-3.451755901900839
425.0000000000008,4.320169461717086,7.7747757985647254,-3.4546063368476396
430.0000000000008,4.317499651632346,7.774819490844976,-3.45731983921263
