case,segment,delta_T_0p95P_K,delta_T_1p00P_K,delta_T_1p05P_K,R_differential_K_per_W,R_secant_K_per_W
historical,TES_to_Membrane_SiNx,0.004755660968286696,0.005005958530787835,0.00525625609325972,15628922.28241494,15628945.014374869
historical,Membrane_SiNx_to_bath_side_SiO2_2_including_stack,0.011444426461913931,0.012046763961570256,0.012649101461223361,37610777.65347778,37610821.26401538
historical,bath_side_SiO2_2_to_bath,3.5181864449507216e-08,3.703354042872142e-08,3.8885215991601996e-08,115.62116878181698,115.62124685779715
historical,total_TES_to_bath,0.016200122612065077,0.01705275952589852,0.017905396439699073,53239815.55706151,53239881.8996371
refined_mortar,TES_to_Membrane_SiNx,0.004202076741127603,0.004423238049809292,0.004644399358491785,13809614.727893507,13809651.806100842
refined_mortar,Membrane_SiNx_to_bath_side_SiO2_2_including_stack,0.010788105087652822,0.01135589848744692,0.011923691887240906,35453796.79167843,35453891.98843379
refined_mortar,bath_side_SiO2_2_to_bath,3.5184619079364765e-08,3.703643586261407e-08,3.888825242381877e-08,115.62996684426629,115.6302866005003
refined_mortar,total_TES_to_bath,0.014990217013399504,0.015779173573692074,0.016568130133985115,49263527.14953878,49263659.424821235
