segment,historical_R_K_per_W,refined_mortar_R_K_per_W,refined_minus_historical_R_K_per_W,share_of_total_delta
TES_to_Membrane_SiNx,15628922.28241494,13809614.727893507,-1819307.5545214321,0.4575391340023245
Membrane_SiNx_to_bath_side_SiO2_2_including_stack,37610777.65347778,35453796.79167843,-2156980.861799352,0.5424608682103051
bath_side_SiO2_2_to_bath,115.62116878181698,115.62996684426629,0.00879806244931558,-2.212631868621639e-09
total_TES_to_bath,53239815.55706151,49263527.14953878,-3976288.4075227305,1.0
