case,G0_W_per_K,membrane_scale,initial_temperature_mK,steady_tolerance,TES_nodal_average_mK,TES_volume_average_mK,delta_from_180mK_mK,I_TES_uA,R_TES_mOhm,P_TES_nW,outer_iterations,outer_relative_change
base,7.854e-6,1.0,180,1e-9,189.022614708266,189.023834972510,9.023834972510,73.3317462648293,147.10404073305,0.791058600231526,70,6.4707758e-10
k11p847,9.30491982915854e-5,11.847364182784,180,1e-9,181.045453877893,181.052570859955,1.052570859955,441.37465897442,21.1884136070027,4.12774853556009,71,7.7828503e-10
k15p402_init180,1.20965674443295e-4,15.4017920095868,180,1e-9,180.049955655627,180.058588268371,0.058588268371,562.445055719471,15.7879497604172,4.99443013681064,70,9.2515256e-10
k15p402_init170,1.20965674443295e-4,15.4017920095868,170,1e-7,180.049952899829,180.058585530952,0.058585530952,562.445407757061,15.7879374376241,4.99443249064564,49,8.3049828e-8
