route,temperature_K,F_steady_current_A,F_steady_current_uA,resistance_ohm,power_W,equation
historical,0.162,0.0004056998111013828,405.6998111013828,0.002973308598369473,4.893838100181872e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.162,0.0004056998111013828,405.6998111013828,0.002973308598369473,4.893838100181872e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.1625,0.0003846826428677953,384.6826428677953,0.0033488323861244063,4.955626803142167e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.1625,0.0003846826428677953,384.6826428677953,0.0033488323861244063,4.955626803142167e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.163,0.00036374227108966804,363.742271089668,0.003766142270587497,4.982924078014082e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.163,0.00036374227108966804,363.742271089668,0.003766142270587497,4.982924078014082e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.1635,0.0003428916846477793,342.8916846477793,0.004232305695497901,4.976121037780253e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.1635,0.0003428916846477793,342.8916846477793,0.004232305695497901,4.976121037780253e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.164,0.00032214681501492907,322.1468150149291,0.004755991212797739,4.935699690145058e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.164,0.00032214681501492907,322.1468150149291,0.004755991212797739,4.935699690145058e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.1645,0.0003015273605408703,301.52736054087035,0.005347916988355822,4.86225923164717e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.1645,0.0003015273605408703,301.52736054087035,0.005347916988355822,4.86225923164717e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.165,0.0002810578767575987,281.0578767575987,0.0060214440533362945,4.756551219973555e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.165,0.0002810578767575987,281.0578767575987,0.0060214440533362945,4.756551219973555e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.1655,0.00026076922251870685,260.76922251870684,0.0067933631701876385,4.6195268608267304e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.1655,0.00026076922251870685,260.76922251870684,0.0067933631701876385,4.6195268608267304e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.166,0.00024070047644687275,240.70047644687276,0.007684937600302061,4.452400730612729e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.166,0.00024070047644687275,240.70047644687276,0.007684937600302061,4.452400730612729e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.1665,0.00022090145935585204,220.90145935585204,0.008723275591439095,4.256736459061678e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.1665,0.00022090145935585204,220.90145935585204,0.008723275591439095,4.256736459061678e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.167,0.00020143599865318085,201.43599865318086,0.00994310658791954,4.0345608218611793e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.167,0.00020143599865318085,201.43599865318086,0.00994310658791954,4.0345608218611793e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.1675,0.00018238600917903206,182.38600917903204,0.011389001675905855,3.7885122685314076e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.1675,0.00018238600917903206,182.38600917903204,0.011389001675905855,3.7885122685314076e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.168,0.00016385625558113396,163.85625558113395,0.013117964862618667,3.522025659650197e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.168,0.00016385625558113396,163.85625558113395,0.013117964862618667,3.522025659650197e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.1685,0.00014597914915376415,145.97914915376415,0.015202043107970117,3.2395420066340965e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.1685,0.00014597914915376415,145.97914915376415,0.015202043107970117,3.2395420066340965e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.169,0.00012891790520472873,128.91790520472873,0.017730044295024096,2.946702561621219e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.169,0.00012891790520472873,128.91790520472873,0.017730044295024096,2.946702561621219e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.1695,0.00011286475117802946,112.86475117802945,0.020806562242816663,2.6504339563186897e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.1695,0.00011286475117802946,112.86475117802945,0.020806562242816663,2.6504339563186897e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
historical,0.17,9.80292119191261e-05,98.02921191912611,0.024545602544479364,2.3587652451749195e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
current_phase24,0.17,9.80292119191261e-05,98.02921191912611,0.024545602544479364,2.3587652451749195e-10,"I*(Rsh+R(T,I))=Ibias*Rsh"
