time_ms,COMSOL_current_A,Elmer_current_A
0.0,3.760478714574215e-13,-3.37550271744966e-07
0.0014763402469664699,3.5296750707178085e-13,-3.37550271744966e-07
0.0014776947518752909,3.529463314200827e-13,-3.3704963313151823e-07
0.0025526804939329396,3.3459585300797266e-13,6.027588992494237e-08
0.002555389503750582,3.345496090214416e-13,6.031481903134103e-08
0.004705360987865879,3.037934540468788e-13,9.121041347109394e-08
0.004710779007501165,3.037159472274678e-13,9.120965975322719e-08
0.009010721975731759,2.6622930584790295e-13,9.061148107183947e-08
0.00902155801500233,2.6613483791632526e-13,9.062614537677793e-08
0.017621443951463523,2.1783534399005095e-13,1.0226428609030652e-07
0.017643116030004655,2.177136272098982e-13,1.0227830633123283e-07
0.03484288790292702,1.624420264517314e-13,1.1340529376246272e-07
0.03488623206000931,1.6230273966565355e-13,1.1339475301737714e-07
0.06928577580585402,1.0621127245061826e-13,1.0502922358749832e-07
0.06937246412001861,1.0606991956617839e-13,1.0503274534562776e-07
0.103728663708781,7.323409426290051e-14,1.0642848393351717e-07
0.10385869618002792,7.310981615412465e-14,1.0634552331001621e-07
0.1726144395146351,4.163299382596343e-14,6.247940831878899e-08
0.17283116030004653,4.1533777653955564e-14,6.244639513411041e-08
0.31038599112634313,1.918708385546275e-14,4.149259956310442e-08
0.3107760885400838,1.912370994555292e-14,4.1325029757162494e-08
0.5,8.989606858975294e-15,-3.9957780653850304e-08
0.5000000000000001,8.989606858975293e-15,-3.9957780653850344e-08
0.75,3.8587131983722835e-15,-2.5553108360016914e-08
1.0,6.837554088004336e-16,-2.4864290017157734e-08
1.5,-4.453094216910755e-15,-2.748226288668042e-08
2.0,-9.254859699800731e-15,-2.53211334611187e-08
2.5,-1.3844457908372947e-14,-1.9716401879551907e-08
3.0,-1.824494547649836e-14,-1.593836638583428e-08
3.5,-2.2524039723694633e-14,-1.3137448045310576e-08
4.0,-2.664601685012286e-14,-1.1136528495794785e-08
4.5,-3.060363739753176e-14,-9.805177696468536e-09
4.500000000000001,-3.0603637397531766e-14,-9.805177696468534e-09
5.0,-3.439905031497829e-14,-8.743293280675213e-09
5.000000000000001,-3.43990503149783e-14,-8.743293280675211e-09
5.5,-3.803741302725961e-14,-8.042688261824261e-09
5.500000000000002,-3.8037413027259625e-14,-8.042688261824258e-09
6.0,-4.152472265999118e-14,-7.49212268833237e-09
6.000000000000002,-4.152472265999119e-14,-7.492122688332369e-09
6.5,-4.486707851213771e-14,-7.083313752410299e-09
6.500000000000003,-4.486707851213773e-14,-7.083313752410296e-09
7.0,-4.807044779846372e-14,-7.136345375990645e-09
7.000000000000003,-4.807044779846374e-14,-7.136345375990645e-09
7.5,-5.114059343997475e-14,-6.86872901129376e-09
7.5000000000000036,-5.1140593439974767e-14,-6.868729011293758e-09
8.0,-5.408304756766799e-14,-7.034170677275861e-09
8.000000000000004,-5.408304756766801e-14,-7.0341706772758614e-09
8.5,-5.690311933111727e-14,-6.938931156497565e-09
8.500000000000004,-5.69031193311173e-14,-6.938931156497564e-09
9.0,-5.960589788955817e-14,-6.845033830276803e-09
9.000000000000005,-5.960589788955819e-14,-6.8450338302768025e-09
9.5,-6.219626114691522e-14,-6.804048525500037e-09
9.500000000000005,-6.219626114691525e-14,-6.804048525500036e-09
10.0,-6.467888528092266e-14,-6.966651635729926e-09
10.000000000000005,-6.467888528092268e-14,-6.966651635729928e-09
10.5,-6.705825096352255e-14,-7.0639294980903356e-09
10.500000000000005,-6.705825096352258e-14,-7.063929498090336e-09
11.0,-6.933865323409264e-14,-7.019358335628567e-09
11.000000000000007,-6.933865323409266e-14,-7.0193583356285665e-09
11.5,-7.152420756102582e-14,-7.268164141420666e-09
11.500000000000007,-7.152420756102585e-14,-7.268164141420669e-09
12.0,-7.361886019141403e-14,-7.221133715697116e-09
12.000000000000007,-7.361886019141405e-14,-7.2211337156971155e-09
12.5,-7.562639016275143e-14,-7.361488413287893e-09
