series,baseline_A,min_A,max_A,min_max_diff_A,window_end_ms,baseline_window
COMSOL single-pixel,1.6858424689880057e-07,-9.747650723314405e-14,2.2651241062489283e-10,2.2660988713212597e-10,20.60999999999995,t < 20 ms
Elmer 4rank all-tet (completed series),0.00014816022293541225,-7.841158383429034e-06,1.1340529376246272e-07,7.954563677191497e-06,20.60999999999995,t < 20 ms
