time_ms,COMSOL_current_uA,Elmer_current_uA,COMSOL_drop_uA,Elmer_drop_uA,COMSOL_normalized,Elmer_normalized
19.5,143.04573268522205,148.15227703921477,3.72681965312132e-05,-7.843899789135127e-05,4.791424880099953e-06,-1.0013743848675627e-05
19.500000000000014,143.04573268522205,148.15227703921477,3.72681965312132e-05,-7.843899789135127e-05,4.791424880099953e-06,-1.0013743848675627e-05
20.0,143.0457695395628,148.15226577028253,4.13855771484381e-07,-6.717006565217822e-05,5.3207802491930027e-08,-8.575120154789757e-06
20.000000000000014,143.0457695395628,148.15226577028253,4.13855771484381e-07,-6.717006565217822e-05,5.3207802491930027e-08,-8.575120154789757e-06
20.004,143.04576982794273,148.15234117663076,1.2547585583402854e-07,-0.00014257641389129466,1.6131935361870002e-08,-1.8201707389834e-05
20.004000000000016,143.04576982794273,148.15234117663076,1.2547585583402854e-07,-0.00014257641389129466,1.6131935361870002e-08,-1.8201707389834e-05
20.008,143.04577011622865,148.15218178620245,-1.6281008659302376e-07,1.6814014427730256e-05,-2.0931850001909586e-08,2.1465245359259212e-06
20.008000000000013,143.04577011622865,148.15218178620245,-1.6281008659302376e-07,1.6814014427730256e-05,-2.0931850001909586e-08,2.1465245359259212e-06
20.012,143.0457704044185,148.1521814313498,-4.509999144974852e-07,1.7168867076731292e-05,-5.798327830101353e-08,2.191826026595681e-06
20.01200000000001,143.0457704044185,148.1521814313498,-4.509999144974852e-07,1.7168867076731292e-05,-5.798327830101353e-08,2.191826026595681e-06
20.016,143.0457706924627,148.1521900173865,-7.390441069451276e-07,8.5828303828233e-06,-9.501598282445413e-08,1.0957083499367293e-06
20.01600000000001,143.0457706924627,148.1521900173865,-7.390441069451276e-07,8.5828303828233e-06,-9.501598282445413e-08,1.0957083499367293e-06
20.017,143.04577076446725,148.15219483334167,-8.110486837253211e-07,3.7668751852546617e-06,-1.0427332696174651e-07,4.808899173765683e-07
20.01700000000001,143.04577076446725,148.15219483334167,-8.110486837253211e-07,3.7668751852546617e-06,-1.0427332696174651e-07,4.808899173765683e-07
20.0185,143.04577087246196,148.15220059392027,-9.190433787262253e-07,-1.993703406576522e-06,-1.1815777849705922e-07,-2.545218036995164e-07
20.018500000000014,143.04577087246196,148.15220059392027,-9.190433787262253e-07,-1.993703406576522e-06,-1.1815777849705922e-07,-2.545218036995164e-07
20.018875,143.0457708994598,148.15219395641336,-9.460412054435041e-07,4.643803516637263e-06,-1.2162878248120573e-07,5.928410631099095e-07
20.018875000000012,143.0457708994598,148.15219395641336,-9.460412054435041e-07,4.643803516637263e-06,-1.2162878248120573e-07,5.928410631099095e-07
20.0194375,143.04577093995357,148.15218860641227,-9.865349910685023e-07,9.993804611987955e-06,-1.2683490861533595e-07,1.2758373022151378e-06
20.019437500000013,143.04577093995357,148.15218860641227,-9.865349910685023e-07,9.993804611987955e-06,-1.2683490861533595e-07,1.2758373022151378e-06
20.019578125,143.04577095007693,148.1521872477586,-9.966583493833253e-07,1.1352458252969488e-05,-1.2813642882330162e-07,1.4492868605420386e-06
20.01957812500001,143.04577095007693,148.1521872477586,-9.966583493833253e-07,1.1352458252969488e-05,-1.2813642882330162e-07,1.4492868605420386e-06
20.0197890625,143.04577096526185,148.15218347645995,-1.0118432784353426e-06,1.5123756901772728e-05,-1.3008869519609085e-07,1.9307414897595303e-06
20.019789062500013,143.04577096526185,148.15218347645995,-1.0118432784353426e-06,1.5123756901772728e-05,-1.3008869519609085e-07,1.9307414897595303e-06
20.019841796875,143.04577096905803,148.15218278810588,-1.0156394497119747e-06,1.581211097928699e-05,-1.305767539485111e-07,2.0186187140321677e-06
20.01984179687501,143.04577096905803,148.15218278810588,-1.0156394497119747e-06,1.581211097928699e-05,-1.305767539485111e-07,2.0186187140321677e-06
20.0199208984375,143.04577097475223,148.15218112650493,-1.0213336524168143e-06,1.74737119305185e-05,-1.3130883510756181e-07,2.2307433809917734e-06
20.019920898437512,143.04577097475223,148.15218112650493,-1.0213336524168143e-06,1.74737119305185e-05,-1.3130883510756181e-07,2.2307433809917734e-06
20.019940673828124,143.04577097617576,148.15218065823694,-1.0227571827642334e-06,1.794197993301716e-05,-1.3149185278373213e-07,2.2905237957804434e-06
20.019940673828135,143.04577097617576,148.15218065823694,-1.0227571827642334e-06,1.794197993301716e-05,-1.3149185278373213e-07,2.2905237957804434e-06
20.019970336914064,143.04577097831108,148.15218004355518,-1.0248925189429436e-06,1.8556661686864456e-05,-1.3176638452517235e-07,2.3689958032888435e-06
20.019970336914074,143.04577097831108,148.15218004355518,-1.0248925189429436e-06,1.8556661686864456e-05,-1.3176638452517235e-07,2.3689958032888435e-06
