candidate_id,membrane_cp,pb_cp,pb_k,stycast_k,tes_cp,rmse_5_20_ms,rmse_20_40_ms,rmse_40_70_ms
mv_000_de53353f,0.8263140993221053,1.2173941908718147,0.7918503021565536,0.6747593610396916,1.2700479694399123,0.13919281585636206,0.13639115567741478,0.1866222354072129
mv_001_ac76bb56,1.4306769993804258,0.8759573316110303,0.7284973946142227,0.846489119721043,1.382157437567472,0.14511383174816564,0.18067042908306208,0.26321555550521125
mv_002_477196c2,1.4975023616361196,1.4802386376190462,1.357833913339258,1.7299884634836575,1.2126755396585627,0.14512727218277854,0.18002885578950634,0.2608627640916952
mv_003_a02a4d2c,1.1857372248121019,1.2337350540260008,0.7456619878015359,0.5990578803202536,1.5914815269931482,0.1392230734457926,0.12960760117996498,0.17339929232110812
mv_004_9b9a4eef,1.2269469691198742,1.4442005252361527,1.428263771372339,0.8669973629717046,1.031818105900631,0.12552676150188216,0.12905752848573027,0.18258718223775058
mv_005_ed377c2b,1.4172860034801082,0.6829222738703125,0.7659123746647923,1.792770728462967,1.289348488177146,0.1913993585651435,0.30279174174867657,0.4326708133512486
mv_006_7878d06b,1.0503967671583236,1.0149981864283044,0.8471749421087738,1.1269170519973923,1.3347878710696386,0.14901987012850604,0.1897063350791156,0.27625812001196337
mv_007_cf88e5a2,1.5412281763966174,1.181094940311371,0.8672001778124894,1.0354536684813513,1.0850609585330384,0.1459524257217927,0.167868185773649,0.23972618560230724
mv_008_fc8884f3,1.4617602141102664,0.7710595122457562,1.1182962653762696,1.6684537271653763,0.916780625516442,0.1673144347511455,0.26529900231877945,0.3894119341038342
mv_009_0eefba7b,1.1493809255213676,0.9319632206030154,1.435239129037499,1.514546770788591,0.8932619244550684,0.1426943753513775,0.2169897450704612,0.32708602419393795
mv_010_098508cc,0.8012497029767802,1.375816379972359,0.8791943337095905,0.5542181956864208,1.1014743735311243,0.13593615368737488,0.11688704104906633,0.1522022102214773
mv_017_b785a133,0.9278550964948036,0.7273506635751237,1.0209639327509192,0.5082993283823665,0.7434677724534345,0.1093348183930922,0.13497335148256318,0.20621081688882786
