case,source_case,T_0p95P_K,T_1p00P_K,T_1p05P_K,G_eff_W_per_K,G_secant_W_per_K,historical_ratio_G_eff
historical,historical,0.1662001143989125,0.16705275088046678,0.1679053873619883,1.8782944616314677e-08,1.8782921210583367e-08,1.0
phase24_refined_mortar_baseline,phase24_historical_density,0.1649899176176975,0.1657788584203432,0.1665677992229891,2.0299398582083185e-08,2.0299344076663998e-08,1.0807356885060146
phase24_tes_stycast_conforming_bypass,phase24_tes_stycast_conforming_bypass_v3,0.1622559386442348,0.16285481028590867,0.16345003186198775,2.682374135029879e-08,2.491677971806586e-08,1.4280903180111577
