power_fraction,power_W,TES_T_mK,membrane_T_mK,Stycast_T_mK,substrate_T_mK,bath_T_mK,bath_flux_W,G_secant_W_per_K
0.95,3.042854524009381e-10,160.96706798139937,157.8953870530995,160.96784297316927,150.00003518476584,150.0,3.042854524009381e-10,2.7744468892470174e-08
1.0,3.203004762115138e-10,161.5442811803141,158.3109330883113,161.5450969670429,150.00003703659084,150.0,3.203004762115138e-10,2.774447106830099e-08
1.05,3.3631550002208954e-10,162.12149437922866,158.7264791235228,162.1223509609152,150.00003888842025,150.0,3.3631550002208954e-10,2.7744473036910055e-08
