time_ms,COMSOL_L_A,COMSOL_R_A,Elmer_L_A,Elmer_R_A
0.056,-6.183338236238542e-08,-3.22978293070225e-08,nan,nan
0.057,-6.183282059850673e-08,-3.22972879124295e-08,nan,nan
0.05800000000000001,-6.183226095567986e-08,-3.22967519476294e-08,nan,nan
0.059000000000000004,-6.18317034335931e-08,-3.229622141286614e-08,nan,nan
0.060000000000000005,-6.183114803235486e-08,-3.2295696307841574e-08,nan,nan
0.061,-6.183058490692153e-08,-3.229517521004179e-08,nan,nan
0.062,-6.183001682104642e-08,-3.2294658518277e-08,nan,nan
0.063,-6.18294462121922e-08,-3.229414658559055e-08,nan,nan
0.064,-6.182887308098229e-08,-3.229363941183335e-08,nan,nan
0.065,-6.18282967760009e-08,-3.2293136963639077e-08,nan,nan
0.066,-6.182765891149739e-08,-3.229263629707358e-08,nan,nan
0.067,-6.182699787514044e-08,-3.229213934785786e-08,nan,nan
0.06800000000000002,-6.182631366674033e-08,-3.229164611608679e-08,nan,nan
0.069,-6.18256062863377e-08,-3.22911566017197e-08,nan,nan
0.07,-6.182487573372928e-08,-3.229067080481082e-08,nan,nan
0.07100000000000001,-6.182412200930808e-08,-3.229018872527882e-08,nan,nan
0.07200000000000001,-6.182334511297923e-08,-3.228971036305594e-08,nan,nan
0.073,-6.182254504439038e-08,-3.2289235718453886e-08,nan,nan
0.074,-6.182172180382612e-08,-3.2288764790944116e-08,nan,nan
0.075,-6.182079427141543e-08,-3.2288294978617595e-08,nan,nan
0.076,-6.181973955624877e-08,-3.228782554675117e-08,nan,nan
0.077,-6.181862952022192e-08,-3.228735880069747e-08,nan,nan
0.078,-6.181746416356526e-08,-3.2286894740605576e-08,nan,nan
0.079,-6.181624348645498e-08,-3.228643336670588e-08,nan,nan
0.08,-6.18149674887962e-08,-3.2285974678388516e-08,nan,nan
0.081,-6.181363617043987e-08,-3.228551867657506e-08,nan,nan
0.082,-6.181224953168412e-08,-3.228506536049301e-08,nan,nan
0.08300000000000002,-6.181080757255606e-08,-3.228461473041343e-08,nan,nan
0.084,-6.180931029252715e-08,-3.228416678629565e-08,nan,nan
0.085,-6.180741084823443e-08,-3.228371024282834e-08,nan,nan
0.08600000000000001,-6.180538804120947e-08,-3.228325417128713e-08,nan,nan
0.08700000000000001,-6.180324352532136e-08,-3.228279862536713e-08,nan,nan
0.088,-6.180097730052944e-08,-3.228234360544782e-08,nan,nan
0.089,-6.17985893664949e-08,-3.228188911152919e-08,nan,nan
0.09,-6.179607972384117e-08,-3.2281435143231775e-08,nan,nan
0.091,-6.179344837199902e-08,-3.2280981700989254e-08,nan,nan
0.092,-6.179069531145635e-08,-3.2280528784584786e-08,nan,nan
0.093,-6.17878205421183e-08,-3.228007639369311e-08,nan,nan
0.09400000000000001,-6.178457897440526e-08,-3.2279614895869106e-08,nan,nan
0.095,-6.178088096775555e-08,-3.227914076771321e-08,nan,nan
0.096,-6.177696024115139e-08,-3.227866319550779e-08,nan,nan
0.097,-6.177281679432172e-08,-3.2278182178521026e-08,nan,nan
0.098,-6.17684506273343e-08,-3.227769771743053e-08,nan,nan
0.099,-6.176386174036532e-08,-3.227720981211434e-08,nan,nan
0.1,-6.175905013313017e-08,-3.2276718462071006e-08,nan,nan
0.101,-6.175401580608964e-08,-3.227622366823565e-08,nan,nan
0.10200000000000001,-6.174875875897268e-08,-3.227572542978158e-08,nan,nan
0.10300000000000001,-6.174327899180639e-08,-3.2275223747210225e-08,nan,nan
0.10400000000000001,-6.173688658350231e-08,-3.2274682757471866e-08,nan,nan
0.10500000000000001,-6.173012150964964e-08,-3.2274130529354574e-08,nan,nan
0.106,-6.172299892574134e-08,-3.2273567850205965e-08,nan,nan
0.107,-6.171551883158767e-08,-3.22729947203513e-08,nan,nan
0.108,-6.170768122739192e-08,-3.227241113969571e-08,nan,nan
0.10900000000000001,-6.169948611319475e-08,-3.2271817108103676e-08,nan,nan
0.11,-6.169093348925366e-08,-3.227121262556164e-08,nan,nan
0.111,-6.168202335547377e-08,-3.227059769240841e-08,nan,nan
0.112,-6.167275571197707e-08,-3.226997230853558e-08,nan,nan
0.113,-6.166275394125739e-08,-3.226930982440281e-08,nan,nan
0.114,-6.165184634335306e-08,-3.2268598090711624e-08,nan,nan
0.115,-6.1640419581703e-08,-3.2267864467683304e-08,nan,nan
0.11600000000000002,-6.162847365626654e-08,-3.22671089553043e-08,nan,nan
0.117,-6.161600856768065e-08,-3.226633155335777e-08,nan,nan
0.11800000000000001,-6.160302431541679e-08,-3.226553226222319e-08,nan,nan
0.11900000000000001,-6.158952090026099e-08,-3.22647110813178e-08,nan,nan
0.12000000000000001,-6.157549832247076e-08,-3.226386801125146e-08,nan,nan
0.121,-6.156095658174795e-08,-3.2263003051576935e-08,nan,nan
0.122,-6.154589567881083e-08,-3.2262116202687254e-08,nan,nan
0.12300000000000001,-6.152883123860435e-08,-3.226101797373048e-08,nan,nan
0.124,-6.151089241004048e-08,-3.2259852508097946e-08,nan,nan
0.125,-6.149213830525821e-08,-3.225862735229757e-08,nan,nan
0.126,-6.147256892402716e-08,-3.225734250594987e-08,nan,nan
0.127,-6.145218426713338e-08,-3.225599796871604e-08,nan,nan
0.128,-6.14309843350512e-08,-3.225459374117884e-08,nan,nan
0.12900000000000003,-6.14089691281872e-08,-3.225312982304011e-08,nan,nan
0.13,-6.138613864708348e-08,-3.225160621421854e-08,nan,nan
0.131,-6.13624928923228e-08,-3.2250022914768334e-08,nan,nan
0.132,-6.13380318644608e-08,-3.224837992494699e-08,nan,nan
0.133,-6.131275556425645e-08,-3.2246677244754515e-08,nan,nan
0.134,-6.128666399187236e-08,-3.224491487391985e-08,nan,nan
0.135,-6.125975714805392e-08,-3.224309281232103e-08,nan,nan
0.13600000000000004,-6.123203503357363e-08,-3.224121106026976e-08,nan,nan
0.137,-6.120349764886517e-08,-3.2239269617657614e-08,nan,nan
0.138,-6.1174144994823e-08,-3.2237268484349075e-08,nan,nan
0.139,-6.114397707197568e-08,-3.2235207660899793e-08,nan,nan
0.14,-6.111299388102793e-08,-3.223308714690319e-08,nan,nan
0.14100000000000001,-6.10811954230233e-08,-3.223090694222375e-08,nan,nan
0.14200000000000002,-6.104670970973384e-08,-3.2228253766232126e-08,nan,nan
