series,baseline_A,min_A,max_A,min_max_diff_A,peak_corrected_A,rise_time_10_90_ms,fall_time_90_10_ms,window_end_ms,baseline_window
COMSOL_L,-0.0001061214001581528,-7.490922109632057e-08,7.654228344502708e-08,1.5145150454134765e-07,7.654228344502708e-08,0.5329296008413906,2.7077428608312015,195.0,t < 20 ms
COMSOL_R,-0.00010614908179070469,-4.5373682842797416e-08,8.487492068984682e-08,1.3024860353264423e-07,8.487492068984682e-08,0.6376113500579049,7.271156187026986,195.0,t < 20 ms
Elmer_L,0.0001907201433637788,-1.588544286664715e-06,1.7982736358486927e-09,1.5903425603005638e-06,-1.588544286664715e-06,19.037502063289974,0.2573239577461699,100.0,t < 20 ms
Elmer_R,0.0001907975035985984,-4.4278897844089574e-07,2.041842519796269e-09,4.44830820960692e-07,-4.4278897844089574e-07,19.53499733499988,17.060175925430833,100.0,t < 20 ms
