% Model:              1D_PoST5400um_12.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 4 2026, 23:40
% Table:              プローブテーブル 2 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              ec.Jx*nx (A)             ec.Jx*nx (A)
0                        0.16154780891750078      0.16152440562629475      -1.0619630958367209E-4   -1.0619445559903576E-4
0.001                    0.16154859361546553      0.1615244932844053       -1.0619286191492514E-4   -1.0619100797576797E-4
0.002                    0.16154861818634644      0.16152457564740247      -1.0618962262786595E-4   -1.0618776869839116E-4
0.003                    0.16154862239155138      0.16152462486301866      -1.0618768705787606E-4   -1.06185833123419E-4
0.004                    0.16154862393235797      0.16152465700042665      -1.0618642316746598E-4   -1.0618456922410988E-4
0.005                    0.1615486248027153       0.16152467914159915      -1.0618555241671652E-4   -1.0618369846397213E-4
0.006                    0.1615486254060102       0.1615246948189815       -1.0618493587467409E-4   -1.0618308191324149E-4
0.007                    0.16154862587213398      0.16152470620584425      -1.0618448806927282E-4   -1.0618263410024836E-4
0.008                    0.16154862624704128      0.16152471448199512      -1.061841625989522E-4    -1.0618230862348128E-4
0.009000000000000001     0.1615486265587902       0.16152472052810066      -1.0618392482884195E-4   -1.0618207084800957E-4
0.01                     0.16154862682451848      0.16152472496964823      -1.0618375016061941E-4   -1.061818961753869E-4
0.011                    0.16154862705636733      0.16152472829358974      -1.0618361944542034E-4   -1.0618176545658793E-4
0.012                    0.1615486272605381       0.16152473075710638      -1.0618352256664027E-4   -1.0618166857489684E-4
0.013000000000000001     0.16154862744165543      0.16152473255264493      -1.0618345195565776E-4   -1.0618159796159222E-4
0.014                    0.16154862760416094      0.16152473386347757      -1.0618340040686037E-4   -1.0618154641095235E-4
0.015000000000000001     0.16154862775139783      0.16152473482379787      -1.0618336264137046E-4   -1.0618150864401091E-4
0.016                    0.16154862788587726      0.16152473552994792      -1.0618333487142944E-4   -1.0618148087292802E-4
0.017000000000000005     0.16154862800958328      0.16152473605244635      -1.0618331432375985E-4   -1.0618146032436561E-4
0.018000000000000002     0.1615486281240831       0.1615247364419075       -1.0618329900793485E-4   -1.0618144500784101E-4
0.019                    0.1615486282304884       0.1615247367306087       -1.0618328765459155E-4   -1.0618143365395453E-4
0.02                     0.16154862833020003      0.16152473695353725      -1.061832788880101E-4    -1.0618142488694131E-4
0.021                    0.16154862842404755      0.161524737129553        -1.0618327196661947E-4   -1.0618141796520446E-4
0.022                    0.16154862851220292      0.16152473726049163      -1.0618326681796476E-4   -1.0618141281628538E-4
0.023                    0.1615486285957674       0.1615247373663736       -1.0618326265398585E-4   -1.0618140865209317E-4
0.024                    0.1615486286742003       0.16152473743740253      -1.0618325986037681E-4   -1.0618140585833725E-4
0.025                    0.1615486287493271       0.1615247375015016       -1.061832573396129E-4    -1.0618140333744578E-4
0.026000000000000002     0.16154862882042165      0.1615247375475389       -1.0618325552915652E-4   -1.0618140152689987E-4
