case,G_eff_W_per_K,G_secant_W_per_K,historical_ratio
historical,1.8782944616314677e-08,1.8782921210583367e-08,1.0000000000000022
tes_side_only_baseline,2.0299398582083218e-08,2.0299344076663998e-08,1.0807356885060186
tes_plus_substrate,2.0205581784520805e-08,2.0205578959748882e-08,1.075740902039954
