case,interface,constraint_count,mean_support_node_count,mean_support_x_span_m,mean_support_y_span_m,mean_l1,mean_l2
historical,TES_to_Stycast,1671,19.34949132256134,3.54751357658169e-05,3.5300600981068226e-05,2.3300796051905373e-10,8.625648212321808e-11
historical,Stycast_to_substrate,1671,19.421903052064632,3.543116404313377e-05,3.5246667915144824e-05,2.3292431240663554e-10,8.602593684234383e-11
tes_side_only_baseline,TES_to_Stycast,2369,11.383706205149853,6.33995544140992e-05,5.781285020935035e-05,1.643937497930938e-10,7.194028021560439e-11
tes_side_only_baseline,Stycast_to_substrate,45,16.08888888888889,0.00021856930416679115,0.00023688040499206665,8.482199514828635e-09,3.287795558797483e-09
tes_plus_substrate,TES_to_Stycast,2370,11.456962025316455,6.44308914305036e-05,5.889745844508355e-05,1.643229398189847e-10,7.190786729594509e-11
tes_plus_substrate,Stycast_to_substrate,2370,10.670042194092828,0.00017781890053479517,0.00014140818446371772,1.6430881913636113e-10,7.243155301780465e-11
