case,run,power_W,TES_temperature_K,Stycast_first_layer_temperature_K,Stycast_last_layer_temperature_K,Stycast_total_temperature_K,substrate_temperature_K,bath_temperature_K,source_integral_W,bath_flux_W,full_residual_l2,constraint_residual_l2,solver_status,solver,constraint_rows
historical,historical_0p95p,3.042854524009381e-10,0.1662001143989125,0.16620042242503172,0.16620043504901716,0.16620042865203877,0.15000003495325656,0.15,3.042854524009381e-10,3.042858120244e-10,9.186670472377805e-17,1.0920559330416457e-20,ALL DONE / exit 0,CPU native HeatSolve MUMPS,5560
historical,historical_1p00p,3.203004762115138e-10,0.16705275088046678,0.16705307512531545,0.16705308841271188,0.16705308167965044,0.15000003679289975,0.15,3.203004762115138e-10,3.203008381178e-10,9.263463031061797e-17,9.731756428838512e-21,ALL DONE / exit 0,CPU native HeatSolve MUMPS,5560
historical,historical_1p05p,3.3631550002208954e-10,0.1679053873619883,0.1679057278253641,0.16790574177635625,0.16790573470715747,0.1500000386325429,0.15,3.3631550002208954e-10,3.363158641628e-10,8.821491012900983e-17,3.158218727135073e-20,ALL DONE / exit 0,CPU native HeatSolve MUMPS,5560
tes_side_only_baseline,phase24_historical_density_0p95p,3.042854524009381e-10,0.16498991761769755,0.16499046983041146,0.16499055170029647,0.16499046325702316,0.1500000352685777,0.15,3.042854524009381e-10,3.043594688349e-10,6.401279774815231e-16,5.086984298309659e-20,ALL DONE / exit 0,CPU native HeatSolve MUMPS,2414
tes_side_only_baseline,phase24_historical_density_1p00p,3.203004762115138e-10,0.1657788584203432,0.16577943969776718,0.16577952587860303,0.16577943277911245,0.15000003712481277,0.15,3.203004762115138e-10,3.203783375817e-10,6.551804077128291e-16,5.1883110479181103e-20,ALL DONE / exit 0,CPU native HeatSolve MUMPS,2414
tes_side_only_baseline,phase24_historical_density_1p05p,3.3631550002208954e-10,0.16656779922298914,0.16656840956498065,0.16656850005762033,0.1665684023016327,0.15000003898104786,0.15,3.3631550002208954e-10,3.363972062849e-10,6.138886658565614e-16,4.6185356470201424e-20,ALL DONE / exit 0,CPU native HeatSolve MUMPS,2414
tes_plus_substrate,phase24_tes_plus_substrate_side_refined_0p95p,3.042854524009381e-10,0.16505947714965372,0.16506002495151173,0.16506010760317638,0.16506004954739167,0.1500000352543125,0.15,3.042854524009381e-10,3.043230578101e-10,6.223794786804137e-16,5.396758859439205e-20,ALL DONE / exit 0,CPU native HeatSolve MUMPS,4740
tes_plus_substrate,phase24_tes_plus_substrate_side_refined_1p00p,3.203004762115138e-10,0.16585208109352262,0.1658526577284692,0.16585274473034112,0.1658526836189356,0.1500000371098016,0.15,3.203004762115138e-10,3.203400515115e-10,6.170207728655989e-16,6.845551134960685e-20,ALL DONE / exit 0,CPU native HeatSolve MUMPS,4740
tes_plus_substrate,phase24_tes_plus_substrate_side_refined_1p05p,3.3631550002208954e-10,0.1666446850373914,0.16664529050535362,0.16664538185717012,0.1666453176903673,0.15000003896529063,0.15,3.3631550002208954e-10,3.363570451949e-10,6.543336369326845e-16,8.563847662941091e-21,ALL DONE / exit 0,CPU native HeatSolve MUMPS,4740
