case,side,parent_element,element_type,face_area_m2,edge_min_m,edge_max_m,element_depth_m,element_volume_m3,element_aspect_ratio,face_node_count,K_ff_trace_W_K,K_fi_fro_W_K,K_ii_trace_W_K,K_condensed_trace_W_K,K_condensed_fro_W_K,condensation
historical,stycast_side,408255,706,9.05859835406692e-11,1.4022890309703594e-05,1.4757115947754015e-05,3.1249999999998727e-07,5.661623971291849e-17,23.6325522532875,3,3.91964144196861e-10,2.7555604344092764e-10,3.91964144196861e-10,5.772681983574216e-12,4.0897076282008204e-12,solve
historical,stycast_side,364724,706,6.174685595597704e-11,1.0150111416342407e-05,1.3713328018710053e-05,3.1249999999998727e-07,3.8591784972485913e-17,21.964101058153215,3,2.6791108401032227e-10,1.8774395053636473e-10,2.6791108401032227e-10,6.062807851665638e-12,4.5120546336874274e-12,solve
historical,stycast_side,442678,706,9.127183358395346e-11,1.2911337869799876e-05,1.6010904086686613e-05,3.1249999999998727e-07,5.704489598997112e-17,25.63695705740204,3,3.949738377522074e-10,2.776374802595071e-10,3.949738377522074e-10,5.93600946950045e-12,4.318066846679582e-12,solve
historical,stycast_side,441814,706,9.103561388717752e-11,1.2822547999792439e-05,1.5942605232005376e-05,3.1249999999998727e-07,5.689725867948603e-17,25.527762409853384,3,3.939595149057108e-10,2.769180070343385e-10,3.939595149057108e-10,5.943629476966276e-12,4.328705439315979e-12,solve
historical,stycast_side,446558,706,4.301516676357284e-11,9.112436816463365e-06,1.3306555523446526e-05,3.1249999999998727e-07,2.688447922723314e-17,21.31396056438889,3,1.8747818954464623e-10,1.3069219258411622e-10,1.8747818954464623e-10,6.600422583172445e-12,5.242340791697448e-12,solve
historical,stycast_side,416364,706,9.35066310157311e-11,1.4004058556595072e-05,1.6124678671494993e-05,3.1249999999998727e-07,5.84416443848322e-17,25.818858831926484,3,4.0456904064300683e-10,2.8444429681603425e-10,4.0456904064300683e-10,5.860965559104767e-12,4.212684850636988e-12,solve
historical,stycast_side,413686,706,7.057207084741341e-11,1.1870194523391821e-05,1.6124678671494993e-05,3.1249999999998727e-07,4.4107544279633547e-17,25.818858831926484,3,3.060060855805374e-10,2.146003863093185e-10,3.060060855805374e-10,6.35353779638459e-12,4.890969785948635e-12,solve
historical,stycast_side,363471,706,7.25321974274118e-11,1.1754426266420647e-05,1.5651106928869784e-05,3.1249999999998727e-07,4.5332623392132434e-17,25.06172977137095,3,3.1437439300930523e-10,2.2057606522430613e-10,3.1437439300930523e-10,6.156037222694393e-12,4.62829742935507e-12,solve
historical,stycast_side,370740,706,8.713404005132244e-11,1.2753377218669562e-05,1.5200839524511712e-05,3.1249999999998727e-07,5.445877503207676e-17,24.341892633069598,3,3.7714264633419693e-10,2.650420571223804e-10,3.7714264633419693e-10,5.887148643053646e-12,4.2523714156642066e-12,solve
historical,stycast_side,383750,706,8.742715091147512e-11,1.288391419197465e-05,1.5220453940644698e-05,3.1249999999998727e-07,5.464196931967212e-17,24.37324923943812,3,3.783986141722044e-10,2.659351149883771e-10,3.7839861417220437e-10,5.870149389786688e-12,4.2285165785760725e-12,solve
historical,stycast_side,391504,706,1.0967141434209929e-10,1.485104136271213e-05,1.851995969378797e-05,3.1249999999998727e-07,6.854463396381245e-17,29.64880439532756,3,4.742231552999102e-10,3.3365048480253143e-10,4.742231552999102e-10,6.034085383444798e-12,4.445389129868046e-12,solve
historical,stycast_side,454120,706,4.9264535242384477e-11,9.781526079353157e-06,1.3489505504303248e-05,3.1249999999998727e-07,3.0790334526490406e-17,21.60636254443594,3,2.1426944571350608e-10,1.497309225267345e-10,2.1426944571350608e-10,6.312097064008881e-12,4.859535525378824e-12,solve
historical,stycast_side,500570,706,7.611888300029326e-11,1.2774781879237651e-05,1.4110968690975079e-05,3.1249999999998727e-07,4.75743018751835e-17,22.599684947761006,3,3.296876118411326e-10,2.3151046242266942e-10,3.296876118411326e-10,5.793666232753344e-12,4.1279766363882176e-12,solve
historical,stycast_side,489159,706,6.332065581326485e-11,1.1329077388756532e-05,1.2643924383659875e-05,3.1249999999998727e-07,3.957540988329066e-17,20.254979362577792,3,2.7458643136205886e-10,1.9254688617040804e-10,2.7458643136205886e-10,5.7827150848866075e-12,4.123249022626158e-12,solve
historical,stycast_side,441450,706,8.429282290716418e-11,1.2215461497193078e-05,1.5942605232005376e-05,3.1249999999998727e-07,5.2683014316977875e-17,25.527762409853384,3,3.6495749541776525e-10,2.5638660426134126e-10,3.6495749541776525e-10,6.021023236650917e-12,4.4383892270604306e-12,solve
historical,stycast_side,459111,706,8.415027443094788e-11,1.3833323920706479e-05,1.4045199443681807e-05,3.1249999999998727e-07,5.259392151934272e-17,22.49455770129221,3,3.642516611053841e-10,2.5596330818243503e-10,3.642516611053841e-10,5.757760312920139e-12,4.071963845831471e-12,solve
historical,stycast_side,416175,706,9.872216387167582e-11,1.4278384911758162e-05,1.5617117929810377e-05,3.1249999999998727e-07,6.170135241979761e-17,25.007390776129057,3,4.270029203555925e-10,3.003252038551644e-10,4.270029203555925e-10,5.802196463972788e-12,4.1277806696289244e-12,solve
historical,stycast_side,421931,706,8.953552810215397e-11,1.3863869845539772e-05,1.550831992054633e-05,3.124999999999872e-07,5.595970506384639e-17,24.833454171752123,3,3.874598542736075e-10,2.72355849158692e-10,3.874598542736075e-10,5.824841729638656e-12,4.1639360296539425e-12,solve
