time_from_pulse_us,comsol_current_drop_uA,direct_current_drop_uA,mpi_current_drop_uA,direct_minus_comsol_uA,mpi_minus_comsol_uA
-20.0,nan,nan,nan,nan,nan
-19.75,3.7125738652666476e-07,0.0003343777853848171,-7.860799478119991e-05,0.0003340065279982904,-7.897925216772658e-05
-19.5,3.532082125699655e-07,0.0003342317308067031,-8.886219797107258e-05,0.00033387852259413313,-8.921540618364254e-05
-19.25,3.351594114986417e-07,0.0003339853429400112,-9.799418699458327e-05,0.00033365018352851254,-9.83293464060819e-05
-19.0,3.171109833242546e-07,0.0003336361970457874,-0.00010606547362913299,0.00033331908606246314,-0.00010638258461245725
-18.75,2.9906292805836556e-07,0.0003331818683850777,-0.00011313756965212264,0.00033288280545701933,-0.00011343663258018102
-18.5,2.810152457125357e-07,0.00033261993221892833,-0.00011927198684095318,0.0003323389169732158,-0.00011955300208666572
-18.25,2.6296793629832634e-07,0.0003319479638083853,-0.00012453023697302554,0.00033168499587208695,-0.00012479320490932388
-18.0,2.4492099982729864e-07,0.00033116353841449467,-0.00012897383182574067,0.0003309186174146674,-0.00012921875282556795
-17.75,2.2687443631101392e-07,0.0003302642312983026,-0.0001326642831764995,0.0003300373568619916,-0.00013289115761281052
-17.5,2.0882824576103336e-07,0.00032924761772085506,-0.00013566310280270301,0.000329038789475094,-0.00013587193104846405
-17.25,1.907824281889183e-07,0.0003281112729431983,-0.0001380318024817521,0.00032792049051500935,-0.00013822258490994103
-17.0,1.7273698360622986e-07,0.00032685277222637825,-0.00013983189399104773,0.000326680035242772,-0.00014000463097465395
-16.75,1.5469191202452938e-07,0.0003254696908314411,-0.00014112488910799083,0.0003253149989194166,-0.00014127958102001537
-16.5,1.3664721345537804e-07,0.0003239596040194328,-0.00014197229960998236,0.0003238229568059774,-0.00014210894682343774
-16.25,1.1860288791033711e-07,0.00032232008705139963,-0.00014243563727442328,0.0003222014841634893,-0.00014255424016233363
-16.0,1.0055893540096784e-07,0.00032054871518838755,-0.00014257641387871447,0.0003204481562529866,-0.00014267697281411545
-15.75,8.251535172598658e-08,0.0003186430636914427,-0.00014078897789990003,0.00031856054833971674,-0.00014087149325162603
-15.5,6.447213377464951e-08,0.00031660070782161116,-0.0001357372878612356,0.0003165362356878365,-0.00013580175999501027
-15.25,4.6429283194327946e-08,0.00031441922283993897,-0.00012788727061010456,0.0003143727935567446,-0.00012793369989329888
-15.0,2.8386801632393138e-08,0.0003120961840074722,-0.00011770485299389017,0.0003120677972058398,-0.00011773323979552257
-14.75,1.0344690736216338e-08,0.000309629166585257,-0.00010565596185997579,0.00030961882189452076,-0.00010566630655071201
-14.5,-7.697047846831207e-09,0.0003070157458343395,-9.220652405574471e-05,0.00030702344288218635,-9.219882700789789e-05
-14.25,-2.5738412469378246e-08,0.00030425349701576566,-7.782246642858025e-05,0.00030427923542823503,-7.779672801611087e-05
-14.0,-4.377940148405352e-08,0.0003013399953905816,-6.296971582586576e-05,0.0003013837747920657,-6.29259364243817e-05
-13.75,-6.182001324348578e-08,0.0002982728162198335,-4.811419909498456e-05,0.000298334636233077,-4.8052379081741075e-05
-13.5,-7.986024610030378e-08,0.00029504953476456735,-3.3721843083319924e-05,0.00029512939501066766,-3.364198283721962e-05
-13.25,-9.790009840713627e-08,0.00029166772628582923,-2.02585746382552e-05,0.00029176562638423635,-2.0160674539848064e-05
-13.0,-1.1593956851661198e-07,0.00028812496604466533,-8.190320607173718e-06,0.00028824090561318193,-8.074381038657106e-06
-12.75,-1.3397865478135968e-07,0.0002844188293021216,2.016992162541146e-06,0.00028455280795690297,2.150970817322506e-06
-12.5,-1.5201735555400814e-07,0.0002805468913192443,9.89743682350619e-06,0.0002806989086747983,1.0049454179060199e-05
-12.25,-1.7005566918718604e-07,0.0002765067273570793,1.4985086528338009e-05,0.00027667678302626644,1.5155142197525195e-05
-12.0,-1.8809359403352218e-07,0.0002722959126766728,1.681401442965336e-05,0.00027248400627070637,1.7002108023686883e-05
-11.75,-2.0613122336070572e-07,0.0002679120225390709,1.6856898268309137e-05,0.00026811815376243163,1.7063029491669844e-05
-11.5,-2.2416862748589195e-07,0.00026335263220531973,1.6897032144262124e-05,0.0002635768008328056,1.7121200771748017e-05
-11.25,-2.4220577033590887e-07,0.00025861531693646526,1.6934413748164287e-05,0.00025885752270680116,1.7176619518500197e-05
-11.0,-2.6024261583758447e-07,0.0002536976519935536,1.69690407706676e-05,0.0002539578946093912,1.7229283386505184e-05
-10.75,-2.7827912791774663e-07,0.0002485972126376309,1.700091090242403e-05,0.00024887549176554866,1.7279190030341775e-05
-10.5,-2.963152705032234e-07,0.00024331157412974322,1.7030021834085536e-05,0.00024360788940024644,1.732633710458876e-05
-10.25,-3.1435100752084263e-07,0.0002378383117309366,1.7056371256304088e-05,0.00023815266273845742,1.737072226382493e-05
-10.0,-3.323863028974323e-07,0.00023217500070225717,1.7079956859731657e-05,0.0002325073870051546,1.741234316262909e-05
-9.75,-3.5042112055982056e-07,0.00022631921630475105,1.7100776335020194e-05,0.00022666963742531087,1.7451197455580013e-05
-9.5,-3.6845542443483514e-07,0.00022026853379946427,1.7118827372821684e-05,0.0002206369892238991,1.748728279725652e-05
-9.25,-3.864891784493042e-07,0.00021402052844744286,1.713410766378808e-05,0.00021440701762589216,1.7520596842237384e-05
-9.0,-4.045223465300555e-07,0.00020757277550973306,1.7146614898571356e-05,0.00020797729785626312,1.755113724510141e-05
-8.75,-4.2255489260391717e-07,0.00020092285024738083,1.7156346767823464e-05,0.00020134540513998476,1.7578901660427382e-05
-8.5,-4.405867805977171e-07,0.00019406832792143232,1.716330096219639e-05,0.00019450891470203002,1.7603887742794105e-05
-8.25,-4.5861797443828324e-07,0.00018700678379293358,1.7167475172342087e-05,0.00018746540176737186,1.762609314678037e-05
-8.0,-4.766484380524436e-07,0.0001797357931229307,1.7168867088912517e-05,0.00018021244156098316,1.764551552696496e-05
-7.75,-4.946780246072127e-07,0.0001722529311724698,1.711955281082875e-05,0.000172747609197077,1.7614230835435962e-05
-7.5,-5.127066681485744e-07,0.0001645557732025969,1.697581666249647e-05,0.00016506847987074547,1.7488523330645044e-05
-7.25,-5.307344539218096e-07,0.00015664189447435817,1.6743968672808163e-05,0.00015717262892827997,1.7274703126729973e-05
-7.0,-5.487614671721995e-07,0.00014850887024879967,1.6430318870656324e-05,0.00014905763171597187,1.6979080337828524e-05
-6.75,-5.667877931450252e-07,0.0001401542757869674,1.6041177284933432e-05,0.00014072106358011243,1.660796507807846e-05
-6.5,-5.84813517085568e-07,0.00013157568634990756,1.5582853944531983e-05,0.00013216049986699313,1.616766746161755e-05
-6.25,-6.028387242391088e-07,0.0001227706771986662,1.5061658878344464e-05,0.0001233735159229053,1.5664497602583573e-05
-6.0,-6.20863499850929e-07,0.00011373682359428938,1.448390211526336e-05,0.00011435768709414031,1.5104765615114289e-05
-5.75,-6.388879291663097e-07,0.0001044717007978232,1.3855893684181161e-05,0.00010511058872698951,1.449478161334747e-05
-5.5,-6.569120974305321e-07,9.497288407031377e-05,1.3183943613990353e-05,9.56297961677443e-05,1.3840855711420885e-05
-5.25,-6.749360898888772e-07,8.523794867280714e-05,1.247436193358343e-05,8.591288476269601e-05,1.3149298023472307e-05
-5.0,-6.929599917866263e-07,7.52644698663494e-05,1.1733458671852873e-05,7.595742985813603e-05,1.24264186636395e-05
-4.75,-7.109838883690604e-07,6.505002291198666e-05,1.0967543857691177e-05,6.576100680035573e-05,1.1678527746060237e-05
-4.5,-7.290078648814607e-07,5.4592183070765004e-05,1.0182927519990825e-05,5.5321190935646465e-05,1.0911935384872287e-05
-4.25,-7.470320065691085e-07,4.3888525603730485e-05,9.385919687644308e-06,4.463555761029959e-05,1.0132951694213416e-05
-4.0,-7.650563986772849e-07,3.293662577192921e-05,8.58283038954411e-06,3.37016821706065e-05,9.347886788221396e-06
-3.75,-7.830808487946544e-07,2.1734058836407242e-05,7.579894855424489e-06,2.2517139685201897e-05,8.362975704219145e-06
-3.5,-8.011050236741901e-07,1.0278400058210774e-05,6.311032721593817e-06,1.1079505081884964e-05,7.112137745268007e-06
-3.25,-8.191287973076363e-07,-1.4327753016142727e-06,4.974080626857666e-06,-6.136465043066364e-07,5.793209424165302e-06
-3.0,-8.371520436867367e-07,-1.3401891982021654e-05,3.7668752100216056e-06,-1.2564739938334917e-05,4.604027253708342e-06
-2.75,-8.55174691754992e-07,-2.563137472196545e-05,2.5926750369663344e-06,-2.477620003021046e-05,3.4478497287213263e-06
-2.5,-8.731968407370053e-07,-3.812364826039942e-05,1.3166038405332966e-06,-3.725045141966242e-05,2.1898006812703018e-06
-2.25,-8.912186200461749e-07,-5.0881137336277594e-05,7.929601004132521e-08,-4.998991871623142e-05,9.705146300875e-07
-2.0,-9.092401590958988e-07,-6.390626668855375e-05,-9.786140651907462e-07,-6.299702652945785e-05,-6.937390609484739e-08
-1.75,-9.272615872995754e-07,-9.015695079560345e-05,-1.7164919958440834e-06,-8.922968920830387e-05,-7.89230408544508e-07
-1.5,-9.452830340706028e-07,-0.0001379661164031391,-1.9937033925998557e-06,-0.0001370208333690685,-1.0484203585292528e-06
-1.25,-9.633044652464808e-07,-0.00020039870664713557,2.2214846129213244e-06,-0.0001994354021818891,3.1847890781678052e-06
-1.0,-9.813251761906462e-07,-0.00027051966466356756,6.0663478024742345e-06,-0.0002695383394873769,7.0476729786648805e-06
-0.75,-9.993451436720898e-07,-0.0003440919072794209,8.3328134501768e-06,-0.0003430925621357488,9.332158593848889e-06
-0.5,-1.017365004794117e-06,-0.00043403475696244284,1.0555768212461986e-05,-0.00043301739195764874,1.1573133217256104e-05
-0.25,-1.0353846930869474e-06,-0.0005591477653102457,1.4476659783585234e-05,-0.0005581123806171587,1.5512044476672182e-05
0.0,-1.0534041052778775e-06,-0.0007382304839204417,1.9132459679610215e-05,-0.0007371770798151638,2.0185863784888093e-05
0.05,-1.057006566526649e-06,-0.0006916857887312725,0.00013560171772078296,-0.0006906287821647458,0.0001366587242873096
0.1,-1.0606073754714516e-06,-5.762427556492545e-05,0.0008388420822696042,-5.6563668189454e-05,0.0008399026896450756
0.15000000000000002,-1.0642081273392524e-06,0.0005752591537998815,0.002421819590433626,0.0005763233619272207,0.0024228837985609654
0.2,-1.0678092527478823e-06,0.001318173241294037,0.004964631111541106,0.001319241050546785,0.004965698920793854
0.25,-1.0714108253090163e-06,0.0034499164444908837,0.00846601118316932,0.003450987855316193,0.00846708259399463
0.30000000000000004,-1.0750127219045183e-06,0.0067367947186157484,0.012754005179513798,0.006737869731337653,0.012755080192235703
0.35000000000000003,-1.0786149615624653e-06,0.010674795933359906,0.017761764589830458,0.010675874548321468,0.01776284320479202
0.4,-1.0822173450765228e-06,0.015379780170254471,0.023465566124353587,0.015380862387599548,0.023466648341698662
0.45,-1.0858201024088174e-06,0.020631721865337127,0.02950947376121738,0.020632807685439535,0.029510559581319786
0.5,-1.0894229798098397e-06,0.026408907591741783,0.035636086049902795,0.026409997014721593,0.0356371754728826
