case,fixed_power_W,TES_temperature_K,TES_temperature_mK,TES_to_membrane_W,TES_to_Stycast_W,Stycast_to_substrate_W,native_bath_W,constraint_rows,TES_to_membrane_rows,solver
fixed_power_minus5pct,3.042854524009381e-10,0.16096702265566154,160.96702265566154,3.0428627563344705e-10,1.9415757145152026e-20,-1.9831013039672746e-20,3.042862756330318e-10,365,179,CPU MUMPS native full saddle capture
fixed_power_center,3.203004762115138e-10,0.16154423291764256,161.54423291764255,3.2030130185961174e-10,1.9485965056062357e-20,-1.9909973144379026e-20,3.203013018591877e-10,365,179,CPU MUMPS native full saddle capture
fixed_power_plus5pct,3.3631550002208954e-10,0.16212144317962168,162.12144317962168,3.363163302304377e-10,1.955617295795009e-20,-1.9974341484212028e-20,3.363163302300195e-10,365,179,CPU MUMPS native full saddle capture
