case,label,T_minus_mK,T_center_mK,T_plus_mK,dT_symmetric_K,dT_symmetric_mK,G_eff_derivative_W_per_K,G_eff_power_derivative_W_per_K,G_secant_W_per_K,bath_flux_center_W
historical,historical,166.2001143989125,167.05275088046676,167.9053873619883,0.0017052729630757935,1.7052729630757935,1.8782947265303242e-08,1.8782944616314677e-08,1.8782921210583397e-08,3.203008381178e-10
original_phase24,original Phase24,160.9670761844031,161.54428941272602,162.12150264104875,0.0011544264566456242,1.1544264566456242,2.7755284653819928e-08,2.7745420625771192e-08,2.7745360910514374e-08,3.204150712735e-10
phase24_tes_membrane_mortar,Phase24 TES-membrane mortar,160.96707922348747,161.54429246271872,162.12150570194802,0.001154426478460563,1.154426478460563,2.774542614415779e-08,2.774542010147219e-08,2.7745353580212597e-08,3.203013018591877e-10
phase24_membrane_stycast_coupling_only,Phase24 membrane-Stycast coupling-only,160.96709151679897,161.54430471421017,162.12151791164314,0.0011544263948441713,1.1544263948441713,2.775528909092993e-08,2.774542211110392e-08,2.774532413522038e-08,3.204155786541e-10
