series,source,baseline_K,peak_delta_mK,peak_time_us,t10_us,t90_us,rise_10_90_us,final_delta_mK
COMSOL 1 ns,SignglePixel.txt,0.16858454840390397,0.9444786104734482,0.9222080646935638,0.0007180908898416159,0.035123644197542,0.034405553307700384,-9.5458720317243e-05
COMSOL 1 ps,SinglePixel_1ps.txt,0.16858454839980808,0.9454602885301533,1.0000000000012221,0.050017520585880035,0.4501569002228262,0.4001393796369461,-9.545454135451159e-05
COMSOL 100 ns,SinglePixel_dt=1e-7.txt,0.16858454892221872,0.9430523187980988,4.000000000001336,0.39999972082906465,3.5999999689821944,3.20000024815313,-9.597702807506714e-05
COMSOL 1 us,SinglePixel_dt=1e-6.txt,0.1685845489222655,0.9433179050765961,4.000000000001336,0.3999943114602254,3.5999993679412126,3.200005056480987,-9.5977071706832e-05
COMSOL 1 ms,SinglePixel_dt=1e-3.txt,0.1685845489222641,0.8898835155660978,1010.0000000000016,93.5339504762913,893.7324459479057,800.1984954716145,-9.5973226921231e-05
Elmer abs (solver.log),solver.log,0.1684385,0.9278000000000064,7.03073704210605,0.5988541167192829,1.3175390016586643,0.7186848849393814,0.00010000000000287557
