boundary_id,boundary_name,parent_element,layer,allowed_outer_face,classification
1204,Stycast__zmin,251500,1,True,allowed_outer_face
1204,Stycast__zmin,245200,1,True,allowed_outer_face
1204,Stycast__zmin,247859,1,True,allowed_outer_face
1204,Stycast__zmin,248300,1,True,allowed_outer_face
1204,Stycast__zmin,219878,1,True,allowed_outer_face
1204,Stycast__zmin,244017,1,True,allowed_outer_face
1204,Stycast__zmin,273779,1,True,allowed_outer_face
1204,Stycast__zmin,211167,1,True,allowed_outer_face
1204,Stycast__zmin,258528,1,True,allowed_outer_face
1204,Stycast__zmin,222187,1,True,allowed_outer_face
1204,Stycast__zmin,260717,1,True,allowed_outer_face
1204,Stycast__zmin,214837,1,True,allowed_outer_face
1204,Stycast__zmin,267392,1,True,allowed_outer_face
1204,Stycast__zmin,247568,1,True,allowed_outer_face
1204,Stycast__zmin,213941,1,True,allowed_outer_face
1204,Stycast__zmin,220127,1,True,allowed_outer_face
1204,Stycast__zmin,276906,1,True,allowed_outer_face
1204,Stycast__zmin,269299,1,True,allowed_outer_face
1204,Stycast__zmin,274846,1,True,allowed_outer_face
1204,Stycast__zmin,232003,1,True,allowed_outer_face
1204,Stycast__zmin,229403,1,True,allowed_outer_face
1204,Stycast__zmin,257385,1,True,allowed_outer_face
1204,Stycast__zmin,234629,1,True,allowed_outer_face
1204,Stycast__zmin,246310,1,True,allowed_outer_face
1204,Stycast__zmin,239740,1,True,allowed_outer_face
1204,Stycast__zmin,255357,1,True,allowed_outer_face
1204,Stycast__zmin,236758,1,True,allowed_outer_face
1204,Stycast__zmin,245835,1,True,allowed_outer_face
1204,Stycast__zmin,264909,1,True,allowed_outer_face
1204,Stycast__zmin,236265,1,True,allowed_outer_face
1204,Stycast__zmin,223692,1,True,allowed_outer_face
1204,Stycast__zmin,255610,1,True,allowed_outer_face
1204,Stycast__zmin,226620,1,True,allowed_outer_face
1204,Stycast__zmin,240891,1,True,allowed_outer_face
1204,Stycast__zmin,260559,1,True,allowed_outer_face
1204,Stycast__zmin,249065,1,True,allowed_outer_face
1204,Stycast__zmin,252094,1,True,allowed_outer_face
1204,Stycast__zmin,241975,1,True,allowed_outer_face
1204,Stycast__zmin,241910,1,True,allowed_outer_face
1204,Stycast__zmin,221670,1,True,allowed_outer_face
1204,Stycast__zmin,248578,1,True,allowed_outer_face
1204,Stycast__zmin,237121,1,True,allowed_outer_face
1204,Stycast__zmin,248137,1,True,allowed_outer_face
1204,Stycast__zmin,251728,1,True,allowed_outer_face
1204,Stycast__zmin,212551,1,True,allowed_outer_face
1204,Stycast__zmin,264826,1,True,allowed_outer_face
1204,Stycast__zmin,237872,1,True,allowed_outer_face
1204,Stycast__zmin,215120,1,True,allowed_outer_face
1204,Stycast__zmin,264976,1,True,allowed_outer_face
1204,Stycast__zmin,237644,1,True,allowed_outer_face
1204,Stycast__zmin,243512,1,True,allowed_outer_face
1204,Stycast__zmin,265523,1,True,allowed_outer_face
1204,Stycast__zmin,225738,1,True,allowed_outer_face
1204,Stycast__zmin,252722,1,True,allowed_outer_face
1204,Stycast__zmin,262250,1,True,allowed_outer_face
1204,Stycast__zmin,217672,1,True,allowed_outer_face
1204,Stycast__zmin,224542,1,True,allowed_outer_face
1204,Stycast__zmin,240874,1,True,allowed_outer_face
1204,Stycast__zmin,271448,1,True,allowed_outer_face
1204,Stycast__zmin,263254,1,True,allowed_outer_face
1204,Stycast__zmin,276301,1,True,allowed_outer_face
1204,Stycast__zmin,253016,1,True,allowed_outer_face
1204,Stycast__zmin,211695,1,True,allowed_outer_face
1204,Stycast__zmin,226677,1,True,allowed_outer_face
1204,Stycast__zmin,272759,1,True,allowed_outer_face
1204,Stycast__zmin,276584,1,True,allowed_outer_face
1204,Stycast__zmin,265214,1,True,allowed_outer_face
1204,Stycast__zmin,272528,1,True,allowed_outer_face
1204,Stycast__zmin,244192,1,True,allowed_outer_face
1204,Stycast__zmin,225542,1,True,allowed_outer_face
1204,Stycast__zmin,229975,1,True,allowed_outer_face
1204,Stycast__zmin,275555,1,True,allowed_outer_face
1204,Stycast__zmin,212763,1,True,allowed_outer_face
1204,Stycast__zmin,260039,1,True,allowed_outer_face
1204,Stycast__zmin,255397,1,True,allowed_outer_face
1204,Stycast__zmin,264778,1,True,allowed_outer_face
1204,Stycast__zmin,268412,1,True,allowed_outer_face
1204,Stycast__zmin,275373,1,True,allowed_outer_face
1204,Stycast__zmin,271815,1,True,allowed_outer_face
1204,Stycast__zmin,269665,1,True,allowed_outer_face
1204,Stycast__zmin,266218,1,True,allowed_outer_face
1204,Stycast__zmin,223017,1,True,allowed_outer_face
1204,Stycast__zmin,214289,1,True,allowed_outer_face
1204,Stycast__zmin,228043,1,True,allowed_outer_face
1204,Stycast__zmin,249647,1,True,allowed_outer_face
1204,Stycast__zmin,273832,1,True,allowed_outer_face
1204,Stycast__zmin,261975,1,True,allowed_outer_face
1204,Stycast__zmin,274324,1,True,allowed_outer_face
1204,Stycast__zmin,211255,1,True,allowed_outer_face
1204,Stycast__zmin,218130,1,True,allowed_outer_face
1204,Stycast__zmin,240708,1,True,allowed_outer_face
1204,Stycast__zmin,235503,1,True,allowed_outer_face
1204,Stycast__zmin,217468,1,True,allowed_outer_face
1204,Stycast__zmin,220934,1,True,allowed_outer_face
1204,Stycast__zmin,240074,1,True,allowed_outer_face
1204,Stycast__zmin,249716,1,True,allowed_outer_face
1204,Stycast__zmin,237349,1,True,allowed_outer_face
1204,Stycast__zmin,217886,1,True,allowed_outer_face
1204,Stycast__zmin,245558,1,True,allowed_outer_face
1204,Stycast__zmin,232917,1,True,allowed_outer_face
1204,Stycast__zmin,212526,1,True,allowed_outer_face
1204,Stycast__zmin,216127,1,True,allowed_outer_face
1204,Stycast__zmin,218777,1,True,allowed_outer_face
1204,Stycast__zmin,231035,1,True,allowed_outer_face
1204,Stycast__zmin,256473,1,True,allowed_outer_face
1204,Stycast__zmin,271140,1,True,allowed_outer_face
1204,Stycast__zmin,266640,1,True,allowed_outer_face
1204,Stycast__zmin,272267,1,True,allowed_outer_face
1204,Stycast__zmin,245909,1,True,allowed_outer_face
1204,Stycast__zmin,224222,1,True,allowed_outer_face
1204,Stycast__zmin,245722,1,True,allowed_outer_face
1204,Stycast__zmin,234364,1,True,allowed_outer_face
1204,Stycast__zmin,235303,1,True,allowed_outer_face
1204,Stycast__zmin,235363,1,True,allowed_outer_face
1204,Stycast__zmin,229677,1,True,allowed_outer_face
1204,Stycast__zmin,221539,1,True,allowed_outer_face
1204,Stycast__zmin,213329,1,True,allowed_outer_face
1204,Stycast__zmin,216543,1,True,allowed_outer_face
1204,Stycast__zmin,266672,1,True,allowed_outer_face
1204,Stycast__zmin,222073,1,True,allowed_outer_face
1204,Stycast__zmin,263339,1,True,allowed_outer_face
1204,Stycast__zmin,220530,1,True,allowed_outer_face
1204,Stycast__zmin,221785,1,True,allowed_outer_face
1204,Stycast__zmin,215586,1,True,allowed_outer_face
1204,Stycast__zmin,238545,1,True,allowed_outer_face
1204,Stycast__zmin,266892,1,True,allowed_outer_face
1204,Stycast__zmin,224437,1,True,allowed_outer_face
1204,Stycast__zmin,272468,1,True,allowed_outer_face
1205,Stycast__zmax,226247,32,True,allowed_outer_face
1205,Stycast__zmax,239970,32,True,allowed_outer_face
1205,Stycast__zmax,227856,32,True,allowed_outer_face
1205,Stycast__zmax,229786,32,True,allowed_outer_face
1205,Stycast__zmax,250135,32,True,allowed_outer_face
1205,Stycast__zmax,244420,32,True,allowed_outer_face
1205,Stycast__zmax,249395,32,True,allowed_outer_face
1205,Stycast__zmax,239739,32,True,allowed_outer_face
1205,Stycast__zmax,247308,32,True,allowed_outer_face
1205,Stycast__zmax,234571,32,True,allowed_outer_face
1205,Stycast__zmax,246998,32,True,allowed_outer_face
1205,Stycast__zmax,259667,32,True,allowed_outer_face
1205,Stycast__zmax,215266,32,True,allowed_outer_face
1205,Stycast__zmax,238160,32,True,allowed_outer_face
1205,Stycast__zmax,273545,32,True,allowed_outer_face
1205,Stycast__zmax,214651,32,True,allowed_outer_face
1205,Stycast__zmax,272719,32,True,allowed_outer_face
1205,Stycast__zmax,258935,32,True,allowed_outer_face
1205,Stycast__zmax,229177,32,True,allowed_outer_face
1205,Stycast__zmax,252240,32,True,allowed_outer_face
1205,Stycast__zmax,249039,32,True,allowed_outer_face
1205,Stycast__zmax,240674,32,True,allowed_outer_face
1205,Stycast__zmax,257495,32,True,allowed_outer_face
1205,Stycast__zmax,253870,32,True,allowed_outer_face
1205,Stycast__zmax,234461,32,True,allowed_outer_face
1205,Stycast__zmax,234223,32,True,allowed_outer_face
1205,Stycast__zmax,228782,32,True,allowed_outer_face
1205,Stycast__zmax,222742,32,True,allowed_outer_face
1205,Stycast__zmax,262163,32,True,allowed_outer_face
1205,Stycast__zmax,227176,32,True,allowed_outer_face
1205,Stycast__zmax,253667,32,True,allowed_outer_face
1205,Stycast__zmax,222687,32,True,allowed_outer_face
1205,Stycast__zmax,226461,32,True,allowed_outer_face
1205,Stycast__zmax,249229,32,True,allowed_outer_face
1205,Stycast__zmax,257111,32,True,allowed_outer_face
1205,Stycast__zmax,252218,32,True,allowed_outer_face
1205,Stycast__zmax,254032,32,True,allowed_outer_face
1205,Stycast__zmax,219207,32,True,allowed_outer_face
1205,Stycast__zmax,212031,32,True,allowed_outer_face
1205,Stycast__zmax,249420,32,True,allowed_outer_face
1205,Stycast__zmax,220171,32,True,allowed_outer_face
1205,Stycast__zmax,268212,32,True,allowed_outer_face
1205,Stycast__zmax,227343,32,True,allowed_outer_face
1205,Stycast__zmax,275595,32,True,allowed_outer_face
1205,Stycast__zmax,268166,32,True,allowed_outer_face
1205,Stycast__zmax,238315,32,True,allowed_outer_face
1205,Stycast__zmax,219082,32,True,allowed_outer_face
1205,Stycast__zmax,244106,32,True,allowed_outer_face
1205,Stycast__zmax,215304,32,True,allowed_outer_face
1205,Stycast__zmax,269371,32,True,allowed_outer_face
1205,Stycast__zmax,218845,32,True,allowed_outer_face
1205,Stycast__zmax,215494,32,True,allowed_outer_face
1205,Stycast__zmax,233015,32,True,allowed_outer_face
1205,Stycast__zmax,253725,32,True,allowed_outer_face
1205,Stycast__zmax,262378,32,True,allowed_outer_face
1205,Stycast__zmax,272406,32,True,allowed_outer_face
1205,Stycast__zmax,225987,32,True,allowed_outer_face
1205,Stycast__zmax,269280,32,True,allowed_outer_face
1205,Stycast__zmax,261810,32,True,allowed_outer_face
1205,Stycast__zmax,272393,32,True,allowed_outer_face
1205,Stycast__zmax,236076,32,True,allowed_outer_face
1205,Stycast__zmax,241476,32,True,allowed_outer_face
1205,Stycast__zmax,233623,32,True,allowed_outer_face
1205,Stycast__zmax,263663,32,True,allowed_outer_face
1205,Stycast__zmax,262816,32,True,allowed_outer_face
1205,Stycast__zmax,259683,32,True,allowed_outer_face
1205,Stycast__zmax,238022,32,True,allowed_outer_face
1205,Stycast__zmax,264045,32,True,allowed_outer_face
1205,Stycast__zmax,259356,32,True,allowed_outer_face
1205,Stycast__zmax,224255,32,True,allowed_outer_face
1205,Stycast__zmax,243786,32,True,allowed_outer_face
1205,Stycast__zmax,266620,32,True,allowed_outer_face
1205,Stycast__zmax,243301,32,True,allowed_outer_face
1205,Stycast__zmax,267276,32,True,allowed_outer_face
