case,secant_G_eff_W_per_K,local_symmetric_G_eff_W_per_K,delta_T_K,method,interpretation
historical,1.7254647317566454e-08,not_run,not_run,Q_native_bath/(T_TES-T_bath),secant only; symmetric perturbation remains a controlled follow-up
Phase24,2.556939111860228e-08,not_run,not_run,Q_native_bath/(T_TES-T_bath),secant only; symmetric perturbation remains a controlled follow-up
