case,interface,constraint_row_id,master_side,slave_side,master_boundary,slave_boundary,associated_primal_dofs,associated_primal_nodes,multiplier_value,multiplier_units,slave_reaction_W,master_reaction_W,reaction_balance_W,sign_convention
historical,Stycast_to_substrate,613,Pb,Stycast,28,27,14078;14081;14121;14124;14127;14170;139827;139854;142843;142844;142845;142868;142869;143213;143214;143215;143216;143217,69781;67482;66972;67544;65052;64918;68137;66077;70666;70597;68661;69093;67861;65767;65932;63580;63048;62631,8.686968137487488e-08,W/m^2 (Galerkin area-weighted thermal constraint),7.728605595578337e-18,-7.728605595578335e-18,1.5407439555097887e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,614,Pb,Stycast,28,27,13892;13893;13946;13947;13948;14000;14001;139673;139675;139689;139705;143025;143026;143044;143045;143047;143048;143049;143051;146110;146115;146117,70052;69078;68217;67023;65814;65566;63227;69005;66167;69984;70697;67270;66245;68675;68280;66168;66037;63480;64289;64780;61543;60264,4.636870767177788e-09,W/m^2 (Galerkin area-weighted thermal constraint),6.093171993172216e-19,-6.093171993172215e-19,9.62964972193618e-35,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,615,Pb,Stycast,28,27,13770;13823;13824;13825;13874;13875;13876;13877;136320;136321;139065;139751;139753;139756;139760;139761;139762;139994;139995;140007;142557;143118;143121;143372,69891;69856;68324;67057;67357;65365;65302;64229;71381;70896;70357;71032;68059;65328;69271;68854;66185;67495;65637;65466;65761;63537;63315;61663,-4.42098208574529e-08,W/m^2 (Galerkin area-weighted thermal constraint),-6.262458042628111e-18,6.2624580426281105e-18,-7.703719777548943e-34,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,616,Pb,Stycast,28,27,13977;13978;14031;14032;14033;14083;14084;136343;136344;136555;136556;136557;136558;136559;139429;139997;140002;140004;140005,70252;68817;68250;67097;66329;65533;64049;70980;70706;68417;68778;69418;66756;66146;67198;65883;64921;63913;63631,3.618019130024876e-08,W/m^2 (Galerkin area-weighted thermal constraint),4.039245860388621e-18,-4.039245860388622e-18,-7.703719777548943e-34,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,617,Pb,Stycast,28,27,13619;13678;13679;13680;13734;133294;133295;136284;136285;136292;136862;136880;136881;136887,70432;69414;67163;64492;66440;70516;68694;70627;68166;65885;66804;63844;62817;65454,-9.290679014376794e-08,W/m^2 (Galerkin area-weighted thermal constraint),-7.00554606427159e-18,7.005546064271593e-18,3.0814879110195774e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,618,Pb,Stycast,28,27,13715;13716;13771;13772;13773;13827;136562;136563;136564;136565;136584;136588;139753;139754;139755;139758;139759;140008,70393;68570;67804;67241;65599;64882;70874;70800;68818;65938;66860;64262;68059;67945;66179;64700;63387;62815,-8.630735234097368e-08,W/m^2 (Galerkin area-weighted thermal constraint),-7.491412244501588e-18,7.491412244501586e-18,-1.5407439555097887e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,619,Pb,Stycast,28,27,13823;13825;13873;13874;13875;13929;13930;136320;139065;139738;139760;139761;139994;139995;140007;142557;143110;143121;143123,69856;67057;69924;67357;65365;68035;65411;71381;70357;68582;69271;68854;67495;65637;65466;65761;65884;63315;63049,-2.5750238443746183e-08,W/m^2 (Galerkin area-weighted thermal constraint),-2.842848451605385e-18,2.8428484516053855e-18,3.851859888774472e-34,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,620,Pb,Stycast,28,27,13944;13945;13997;13998;13999;14050;14051;139673;139823;139824;139825;139843;143026;143027;143028;143029;146112,69982;69514;68502;67390;66702;66070;65268;69005;70643;70592;68041;67104;66245;65462;63843;62086;63343,4.307126351625862e-08,W/m^2 (Galerkin area-weighted thermal constraint),3.9465156022633424e-18,-3.946515602263343e-18,-7.703719777548943e-34,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,621,Pb,Stycast,28,27,14116;14117;14163;14164;14165;14205;14206;136412;136415;136428;136430;136431;139480;139855;139856;139858;139859;139868;139869;139870;139871;143225,70932;69691;68451;67428;66296;65121;64546;66981;70074;72691;70675;68251;70882;69572;68916;66754;64843;67115;65835;64586;63009;64261,1.1175154487854066e-07,W/m^2 (Galerkin area-weighted thermal constraint),1.8852587390636654e-17,-1.8852587390636663e-17,-9.244463733058732e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,622,Pb,Stycast,28,27,14029;14078;14080;14081;14121;14127;14128;139427;139430;139827;139829;139830;139854;142843;142844;142845;142868;143193;143214;143215,70275;69781;68122;67482;66972;65052;65164;70313;67770;68137;65841;63308;66077;70666;70597;68661;69093;63591;65932;63580,8.059208971258345e-08,W/m^2 (Galerkin area-weighted thermal constraint),1.0293722728655427e-17,-1.0293722719803889e-17,8.851538587292759e-27,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,623,Pb,Stycast,28,27,14077;14078;14121;14122;14124;14170;14171;139461;139462;139853;139854;139878;142843;142845;142868;142869;143213;143214;143215;143216;143217,70346;69781;66972;68851;67544;64918;64959;70694;69730;68134;66077;63341;70666;68661;69093;67861;65767;65932;63580;63048;62631,9.305886199417178e-08,W/m^2 (Galerkin area-weighted thermal constraint),1.130114531783587e-17,-1.1301145317835862e-17,7.703719777548943e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,624,Pb,Stycast,28,27,14076;14079;14122;14123;14125;14126;14171;139462;139481;139853;139860;139863;139864;139877;139878;142869;143213;143214;143216;143226,70310;70109;68851;67596;66486;65670;64959;69730;69548;68134;65939;70708;68467;66242;63341;67861;65767;65932;63048;63945,1.0221163997105262e-07,W/m^2 (Galerkin area-weighted thermal constraint),1.156711834507018e-17,-1.1567118345070187e-17,-6.162975822039155e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,625,Pb,Stycast,28,27,14044;14046;14047;14092;14093;14094;14138;14139;136203;136205;139640;139641;139642;139652;139655;139831;139832;139834;139842;139850;139865;139867,70979;69470;70869;67635;66908;68358;66028;65016;73060;71701;71876;71657;69541;69938;69169;67295;67118;69731;67185;64842;66704;64800,9.127551760060839e-08,W/m^2 (Galerkin area-weighted thermal constraint),1.4350330751782215e-17,-1.4350330751782215e-17,0.0,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,Stycast_to_substrate,626,Pb,Stycast,28,27,13995;13996;13997;14048;14049;14050;14095;14097;136411;139667;139824;139825;139837;139838;139839;139840;139841;139843;139844;139845;143027;143028,70749;70586;68502;67981;67693;66070;65718;65220;64762;71875;70592;68041;69934;71184;70600;68855;67197;67104;66337;64453;65462;63843,6.08272492576407e-08,W/m^2 (Galerkin area-weighted thermal constraint),7.853122528933479e-18,-7.853122528933482e-18,-3.0814879110195774e-33,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
