interface,historical_constraint_count,Phase24_constraint_count,historical_projector_nnz,Phase24_projector_nnz,historical_row_norm_min,historical_row_norm_mean,historical_row_norm_max,Phase24_row_norm_min,Phase24_row_norm_mean,Phase24_row_norm_max,historical_master_nodes,historical_slave_nodes,Phase24_master_nodes,Phase24_slave_nodes,master_slave_assignment,coupling_interpretation
TES_to_membrane,2218,0,42564,0,3.359117237195734e-11,8.375851997359592e-11,1.5807609264381378e-10,0.0,0.0,0.0,3366,2218,179,179,master=Membrane_SiNx; slave=TES,zero constraint rows means this interface is not represented by the captured mortar saddle block
TES_to_Stycast,1671,139,32333,2489,3.240752487162355e-11,8.625648212321808e-11,1.5060847991932193e-10,5.100537695675437e-10,1.0515494839267915e-09,1.6320355026140383e-09,1671,2218,139,179,master=Stycast; slave=TES,zero constraint rows means this interface is not represented by the captured mortar saddle block
Stycast_to_substrate,1671,47,32454,749,3.286273511169506e-11,8.602593684234383e-11,1.482767081893258e-10,1.5801292058500816e-09,3.1586996810906807e-09,5.45299136105779e-09,5743,1671,182,47,master=Pb; slave=Stycast,zero constraint rows means this interface is not represented by the captured mortar saddle block
