case,TES_Joule_input_W,TES_to_membrane_reaction_W,TES_to_Stycast_reaction_W,Stycast_to_substrate_reaction_W,mortar_reaction_contribution_W,other_or_conformal_path_W,total_bath_flux_outgoing_W,global_balance_error_W,global_balance_relative,evidence
historical,3.203004762115138e-10,3.203008493383834e-10,9.110423078127119e-18,-3.8575922154147553e-19,3.2030085806304723e-10,8.975852787195026e-18,3.203008670389e-10,-3.9082738619819823e-16,-1.2201898380572848e-06,native SaveScalars bath/Joule plus native C lambda reaction; other path includes conformal/shared-node transport
Phase24,4.232286181467137e-10,0.0,-1.5717285459408908e-19,-7.570075602770421e-21,-1.647429301968595e-19,4.2338208106824296e-10,4.233820809035e-10,-1.5346275678634283e-13,-0.0003626001414042952,native SaveScalars bath/Joule plus native C lambda reaction; other path includes conformal/shared-node transport
