case,target_TES_temperature_K,operating_TES_temperature_K,operating_total_bath_Q_out_W,secant_G_eff_W_per_K,matched_T_Q_out_estimate_W,method,diagnostic_status
historical,0.168563175809,0.16856316510815095,3.203008670389e-10,1.7254647317566454e-08,3.203010516782762e-10,native bath flux secant projection; no ±delta-T solve was archived,estimated_from_native_operating_point
Phase24,0.168563175809,0.16655816045597896,4.233820809035e-10,2.556939111860228e-08,4.746491026636971e-10,native bath flux secant projection; no ±delta-T solve was archived,estimated_from_native_operating_point
