series,peak_uA,rise_time_10_90_us,fall_time_90_10_us,peak_error_pct,rise_time_error_pct,fall_time_error_pct
COMSOL,7.774843376617146,161.38296555204457,25955.522939853425,,,
"Elmer optimized single-pixel mesh (original time grid, serial MUMPS)",7.5739599310716335,248.67855568858718,26186.719308687334,-2.583761959111227,54.09219606166585,0.8907405540225838
