case,interface,constraint_count,mean_row_support,mean_support_x_span_m,mean_support_y_span_m,mean_l1,mean_l2,source
historical,TES_to_Stycast,1671,19.34949132256134,3.54751357658169e-05,3.5300600981068226e-05,2.3300796051905373e-10,8.625648212321808e-11,archived aggregate native restriction rows
phase24_original,TES_to_Stycast,139,17.906474820143885,0.00012633411125569332,0.00011733681246464748,2.7875764740341634e-09,1.0515494839267915e-09,archived aggregate native restriction rows
phase24_h5um,TES_to_Stycast,5766,9.517169614984391,5.265781403620511e-05,4.830696062155306e-05,3.0841351055416576e-11,1.3707711031091196e-11,archived aggregate native restriction rows
phase24_historical_density,TES_to_Stycast,2369,11.383706205149853,6.33995544140992e-05,5.781285020935035e-05,1.643937497930938e-10,7.194028021560439e-11,native candidate restriction rows
