case,parent_element,element_type,face_area_m2,edge_min_m,edge_max_m,element_depth_m,element_volume_m3,element_aspect_ratio,face_node_count,K_ff_trace_W_K,K_fi_fro_W_K,K_ii_trace_W_K,K_condensed_trace_W_K,K_condensed_fro_W_K,condensation
mesh_phase24_stycast_density_10um,237343,504,4.330127018966916e-11,9.999999999878836e-06,1.0000000000158279e-05,1.5625000000002074e-07,9.021097956181083e-18,2.3223342523439365,3,4.1536213940584585e-10,1.6047482643014123e-10,6.214459733556373e-11,9.71009333358141e-13,6.866072842129765e-13,solve
mesh_phase24_stycast_density_10um,255170,504,4.3301270200689925e-11,9.99999999956433e-06,1.000000000420891e-05,8.825754825000962e-08,5.09555192536467e-18,2.2922928696259124,3,2.3221442582279816e-10,1.5964924854494195e-10,1.1001997595320101e-10,5.484729797764208e-13,3.8782896329749933e-13,solve
mesh_phase24_stycast_density_10um,240983,504,4.330127019002283e-11,9.999999999978298e-06,1.0000000000199492e-05,1.5625000000002074e-07,9.021097956254732e-18,2.382905509589164,3,2.2378047308092092e-10,1.1767074575806394e-10,6.214459733607424e-11,9.71009333358147e-13,6.866072842129884e-13,solve
mesh_phase24_stycast_density_10um,238818,504,4.3301270190022494e-11,9.999999999978285e-06,1.000000000019939e-05,1.5625000000002074e-07,9.021097956254732e-18,2.2642032686928353,3,2.112074741264798e-10,1.143024953792692e-10,6.214459733607218e-11,9.710093333582299e-13,6.866072842130268e-13,solve
mesh_phase24_stycast_density_10um,241475,504,4.3301270190073857e-11,9.999999999978288e-06,1.0000000000158545e-05,1.5624999999999363e-07,9.021097956265436e-18,5.02834075459678,3,6.272939421320323e-11,6.195119014586254e-11,6.214459733614794e-11,9.710093333582109e-13,6.86607284213021e-13,solve
mesh_phase24_stycast_density_10um,237265,504,4.3301270190276684e-11,1.0000000000028029e-05,1.0000000000179067e-05,1.5625000000002074e-07,9.021097956307677e-18,1.9728394692966704,3,2.75859193931148e-10,1.30701245381873e-10,6.214459733643252e-11,9.71009333358191e-13,6.866072842130153e-13,solve
mesh_phase24_stycast_density_10um,234549,504,4.3301270190074173e-11,9.999999999978298e-06,1.0000000000158645e-05,1.5625000000002074e-07,9.0210979562655e-18,2.594977081321821,3,5.287838673008175e-10,1.811096836925908e-10,6.214459733614998e-11,9.710093333581863e-13,6.866072842129719e-13,solve
mesh_phase24_stycast_density_10um,234305,504,4.330127019002278e-11,9.999999999978285e-06,1.0000000000199487e-05,1.5625000000002074e-07,9.021097956254732e-18,4.63181928093635,3,1.0397515879935054e-10,8.000719587955147e-11,6.214459733607439e-11,9.710093333581834e-13,6.866072842130031e-13,solve
mesh_phase24_stycast_density_10um,231906,504,4.330127019047887e-11,1.000000000007775e-05,1.0000000000199387e-05,1.5625000000002074e-07,9.02109795634979e-18,2.075759615804447,3,2.585185661955971e-10,1.2651161692216756e-10,6.214459733672558e-11,9.710093333581774e-13,6.866072842130119e-13,solve
mesh_phase24_stycast_density_10um,235948,504,4.330127018504946e-11,9.99999999928674e-06,9.999999999978298e-06,1.5625000000002074e-07,9.021097955218639e-18,2.550284482608253,3,5.314249496252243e-10,1.8156223869788327e-10,6.214459732893914e-11,9.710093333582056e-13,6.866072842129948e-13,solve
mesh_phase24_stycast_density_10um,237388,504,4.3301270190074173e-11,9.999999999978298e-06,1.0000000000158648e-05,1.5625000000002074e-07,9.0210979562655e-18,2.589570316383213,3,5.957464237180285e-10,1.922552434457255e-10,6.214459733614676e-11,9.710093333582283e-13,6.866072842130176e-13,solve
mesh_phase24_stycast_density_10um,242892,504,4.330127018469541e-11,9.999999999204957e-06,9.999999999878812e-06,8.709238600001494e-08,5.028281249621116e-18,3.0209644686918744,3,2.8375781819122997e-10,1.776973493015042e-10,1.1149187407229045e-10,5.412321258908248e-13,3.8270890641341115e-13,solve
mesh_phase24_stycast_density_10um,231632,504,4.330127018966926e-11,9.999999999878799e-06,1.0000000000158359e-05,1.5625000000002074e-07,9.021097956181146e-18,1.9930730879277305,3,2.8406828199043015e-10,1.3263847864051672e-10,6.214459733556647e-11,9.710093333582476e-13,6.866072842130603e-13,solve
mesh_phase24_stycast_density_10um,217596,504,4.330127019002283e-11,9.999999999978298e-06,1.0000000000199489e-05,9.577742500000482e-08,5.5297122107060715e-18,2.2236410557496895,3,1.9500881074915696e-10,1.4039235250855282e-10,1.0138185834253309e-10,5.952049510400917e-13,4.2087345707624825e-13,solve
mesh_phase24_stycast_density_10um,242441,504,4.330127019002282e-11,9.999999999978296e-06,1.0000000000199489e-05,1.5625000000002074e-07,9.021097956254795e-18,2.7222604263579773,3,1.8030325157159096e-10,1.0556765595233855e-10,6.214459733607994e-11,9.710093333582016e-13,6.866072842130146e-13,solve
mesh_phase24_stycast_density_10um,236044,504,4.330127019002305e-11,9.999999999978288e-06,1.0000000000199492e-05,1.5625000000002074e-07,9.02109795625486e-18,2.1592515319116248,3,3.466367029366501e-10,1.4656485029457295e-10,6.214459733607189e-11,9.710093333581346e-13,6.866072842129781e-13,solve
mesh_phase24_stycast_density_10um,230027,504,4.330127019007386e-11,9.999999999978288e-06,1.0000000000158543e-05,1.5625000000002074e-07,9.021097956265373e-18,3.441970142240898,3,4.2145468732039034e-11,5.058428807312181e-11,6.21445973361475e-11,9.710093333582184e-13,6.866072842130199e-13,solve
mesh_phase24_stycast_density_10um,258210,504,4.3301270179862816e-11,9.999999996107649e-06,1.0000000000491714e-05,1.5625000000002074e-07,9.021097954138063e-18,2.4981531051944925,3,5.990839080697541e-10,1.9279389317290167e-10,6.214459732149298e-11,9.71009333358238e-13,6.866072842130541e-13,solve
mesh_phase24_stycast_density_10um,224336,504,4.330127019007415e-11,9.999999999978291e-06,1.0000000000158645e-05,1.5625000000002074e-07,9.0210979562655e-18,2.945379909596564,3,7.197843807704944e-10,2.1135365510867367e-10,6.214459733614295e-11,9.71009333358238e-13,6.866072842130268e-13,solve
mesh_phase24_stycast_density_10um,244776,504,4.3301270190479434e-11,1.0000000000077757e-05,1.0000000000199489e-05,1.5625000000002074e-07,9.021097956349918e-18,2.090208512682975,3,1.4299205577450998e-10,9.394594586477054e-11,6.214459733672993e-11,9.710093333582186e-13,6.866072842130268e-13,solve
