case,parent_element,element_type,face_area_m2,edge_min_m,edge_max_m,element_depth_m,element_volume_m3,element_aspect_ratio,face_node_count,K_ff_trace_W_K,K_fi_fro_W_K,K_ii_trace_W_K,K_condensed_trace_W_K,K_condensed_fro_W_K,condensation
historical,322929,706,9.24345783481938e-11,1.2415484485708478e-05,1.637965601890358e-05,3.1249999999998727e-07,5.777161146762145e-17,26.226521235609255,3,4.000256279661106e-10,2.811720939836056e-10,4.000256279661106e-10,6.067611977707123e-12,4.497660483699848e-12,solve
historical,403145,706,9.275547524554663e-11,1.241548448527799e-05,1.6419230704234996e-05,3.1249999999998727e-07,5.797217202846702e-17,26.289794797836727,3,4.01409353862079e-10,2.821488014553948e-10,4.01409353862079e-10,6.0739012155440175e-12,4.5060390210271374e-12,solve
historical,266393,706,9.243457834488281e-11,1.2415484485380978e-05,1.6379656019356724e-05,3.1249999999998727e-07,5.777161146555188e-17,26.226521236333756,3,4.0002562795187546e-10,2.811720939735213e-10,4.0002562795187546e-10,6.067611977769188e-12,4.497660483785595e-12,solve
historical,369950,706,5.2398278203951955e-11,9.692109852080037e-06,1.207601791920172e-05,3.1249999999998727e-07,3.274892387747013e-17,19.347489100379242,3,2.2760864173662366e-10,1.592888986110547e-10,2.2760864173662366e-10,5.898308538139207e-12,4.298072429664754e-12,solve
historical,443984,706,9.043966209627118e-11,1.3013344884894234e-05,1.5442816835873872e-05,3.124999999999873e-07,5.65247888101698e-17,24.728734603198998,3,3.913735171946968e-10,2.7510600392767907e-10,3.913735171946968e-10,5.885475335908531e-12,4.2483563848310434e-12,solve
historical,446013,706,8.308794454001983e-11,1.2755446101463653e-05,1.5442816835873872e-05,3.1249999999998727e-07,5.192996533751259e-17,24.728734603198998,3,3.5972870567150975e-10,2.527232010807529e-10,3.5972870567150975e-10,5.902334223074834e-12,4.2757248569487754e-12,solve
historical,367133,706,5.651134039371051e-11,1.0522594203281927e-05,1.207601791920172e-05,3.1249999999998727e-07,3.531958774606919e-17,19.347489100379242,3,2.452787774580798e-10,1.7181525695032812e-10,2.452787774580798e-10,5.799199958061541e-12,4.154159901638382e-12,solve
historical,360899,706,8.27390838323334e-11,1.1021480342822875e-05,1.681381622597317e-05,3.1249999999998727e-07,5.171192739520859e-17,26.920685451281525,3,3.5840684104355906e-10,2.516402362061814e-10,3.584068410435591e-10,6.4151712443888574e-12,4.963510468496071e-12,solve
historical,471428,706,9.944513900080378e-11,1.4615036883934405e-05,1.636030448356833e-05,3.1249999999998727e-07,6.215321187550266e-17,26.195581321195473,3,4.3012629936605323e-10,3.025250272648263e-10,4.3012629936605323e-10,5.833179757502718e-12,4.17113997477697e-12,solve
historical,470046,706,7.229794083007057e-11,1.0785735575558469e-05,1.4615036883934405e-05,3.1249999999998727e-07,4.5186213018794404e-17,23.40543133514165,3,3.1335067017343475e-10,2.1986463587699893e-10,3.1335067017343475e-10,6.112922738659219e-12,4.570590647226937e-12,solve
historical,444591,706,7.7775539003718e-11,1.2828551805783053e-05,1.4177933592630437e-05,3.1249999999998727e-07,4.860971187732378e-17,22.706724344343815,3,3.3681862712540957e-10,2.3655425040251346e-10,3.368186271254096e-10,5.790403099069839e-12,4.122228642923335e-12,solve
