case,G_eff_W_per_K,G_secant_W_per_K,ratio_to_historical
historical,1.8782944616314638e-08,1.8782921210583397e-08,1.0
original_phase24,2.7745420625771133e-08,2.7745360910514374e-08,1.4771603277620164
phase24_stycast_only_refined,2.0328561515006625e-08,2.032850138747081e-08,1.0822883168887951
phase24_historical_density,2.0299398582083175e-08,2.0299344076663998e-08,1.0807356885060164
