time_after_pulse_ms,reference_normalized,simulation_normalized,residual,region
0.0343453469558,0.0533574578098,-2.79053533058e-05,-0.0533853631631,rise
0.0348290842369,0.0559939587568,5.93794447776e-05,-0.055934579312,rise
0.0353128215179,0.0587617418928,9.73906977512e-05,-0.058664351195,rise
0.035796558799,0.0615295250288,0.000108480447305,-0.0614210445815,rise
0.0362802960801,0.0644053262307,0.00103949955641,-0.0633658266743,rise
0.0367640333611,0.0673595278336,0.00909675291422,-0.0582627749194,rise
0.0372477706422,0.0703137294365,0.015004273745,-0.0553094556915,rise
0.0377315079233,0.0732679310394,0.0169876979066,-0.0562802331328,rise
0.0382152452043,0.0763160634411,0.0213565639412,-0.0549594994999,rise
0.0386989824854,0.0794813630306,0.0287259997496,-0.0507553632811,rise
0.0391827197665,0.0826466626201,0.036039083651,-0.0466075789691,rise
0.0396664570475,0.0858119622096,0.0432585109119,-0.0425534512978,rise
0.0401501943286,0.0890557795962,0.050352264383,-0.0387035152132,rise
0.0406339316097,0.0924739648042,0.057164215717,-0.0353097490872,rise
0.0411176688907,0.0958921500122,0.063912646444,-0.0319795035682,rise
0.0416014061718,0.0993103352202,0.0704612260641,-0.0288491091561,rise
0.0420851434529,0.102728520428,0.0769800325049,-0.0257484879234,rise
0.0425688807339,0.106146705636,0.0833574473303,-0.0227892583059,rise
0.043052618015,0.109564890844,0.0897214396508,-0.0198434511935,rise
0.0435363552961,0.112983076052,0.0959730657162,-0.017010010336,rise
0.0440200925771,0.116412703658,0.102220548887,-0.0141921547716,rise
0.0445038298582,0.12010636943,0.108367208881,-0.011739160549,rise
0.0449875671393,0.123800035201,0.114513868875,-0.00928616632631,rise
0.0454713044204,0.127493700972,0.12056682282,-0.00692687815226,rise
0.0459550417014,0.131187366744,0.126617100328,-0.00457026641553,rise
0.0464387789825,0.134881032515,0.128377363048,-0.00650366946719,rise
0.0469225162636,0.138574698286,0.129687257457,-0.00888744082901,rise
0.0474062535446,0.142268364058,0.130997151867,-0.0112712121908,rise
0.0478899908257,0.145962029829,0.132307046276,-0.0136549835527,rise
0.0483737281068,0.149804635484,0.133616940686,-0.0161876947981,rise
0.0488574653878,0.153691082513,0.134926835095,-0.0187642474173,rise
0.0493412026689,0.157577529541,0.136236729505,-0.0213408000366,rise
0.04982493995,0.16146397657,0.137546623914,-0.0239173526558,rise
0.050308677231,0.165350423599,0.138856518324,-0.0264939052751,rise
0.0507924145121,0.169236870627,0.140166412733,-0.0290704578943,rise
0.0512761517932,0.173123317656,0.143954106513,-0.0291692111433,rise
0.0517598890742,0.177009764685,0.14962015618,-0.027389608505,rise
