time_from_pulse_us,comsol_current_drop_uA,direct_current_drop_uA,mpi_current_drop_uA,direct_minus_comsol_uA,mpi_minus_comsol_uA
-20.0,nan,nan,nan,nan,nan
-19.75,3.7125738652666476e-07,0.0003343777853848171,-0.0013010297685246638,0.0003340065279982904,-0.0013014010259111905
-19.5,3.532082125699655e-07,0.0003342317308067031,-0.001300681901194711,0.00033387852259413313,-0.001301035109407281
-19.25,3.351594114986417e-07,0.0003339853429400112,-0.0013000872936013083,0.00033365018352851254,-0.001300422453012807
-19.0,3.171109833242546e-07,0.0003336361970457874,-0.0012992338131634297,0.00033331908606246314,-0.001299550924146754
-18.75,2.9906292805836556e-07,0.0003331818683850777,-0.0012981093273000503,0.00033288280545701933,-0.0012984083902281088
-18.5,2.810152457125357e-07,0.00033261993221892833,-0.0012967017034301452,0.0003323389169732158,-0.0012969827186758577
-18.25,2.6296793629832634e-07,0.0003319479638083853,-0.0012949988089726889,0.00033168499587208695,-0.0012952617769089873
-18.0,2.4492099982729864e-07,0.00033116353841449467,-0.001292988511346656,0.0003309186174146674,-0.0012932334323464832
-17.75,2.2687443631101392e-07,0.0003302642312983026,-0.0012906586779710216,0.0003300373568619916,-0.0012908855524073326
-17.5,2.0882824576103336e-07,0.00032924761772085506,-0.0012879971762647603,0.000329038789475094,-0.0012882060045105214
-17.25,1.907824281889183e-07,0.0003281112729431983,-0.001284991873646847,0.00032792049051500935,-0.0012851826560750358
-17.0,1.7273698360622986e-07,0.00032685277222637825,-0.0012816306375362564,0.000326680035242772,-0.0012818033745198626
-16.75,1.5469191202452938e-07,0.0003254696908314411,-0.0012779013353519633,0.0003253149989194166,-0.0012780560272639878
-16.5,1.3664721345537804e-07,0.0003239596040194328,-0.0012737918345129425,0.0003238229568059774,-0.0012739284817263978
-16.25,1.1860288791033711e-07,0.00032232008705139963,-0.0012692900024381688,0.0003222014841634893,-0.001269408605326079
-16.0,1.0055893540096784e-07,0.00032054871518838755,-0.0012643837065466168,0.0003204481562529866,-0.0012644842654820178
-15.75,8.251535172598658e-08,0.0003186430636914427,-0.0012590608142572614,0.00031856054833971674,-0.0012591433296089874
-15.5,6.447213377464951e-08,0.00031660070782161116,-0.0012533091929890776,0.0003165362356878365,-0.0012533736651228523
-15.25,4.6429283194327946e-08,0.00031441922283993897,-0.0012471167101610397,0.0003143727935567446,-0.001247163139444234
-15.0,2.8386801632393138e-08,0.0003120961840074722,-0.0012404712331921229,0.0003120677972058398,-0.0012404996199937553
-14.75,1.0344690736216338e-08,0.000309629166585257,-0.001233360629501302,0.00030961882189452076,-0.0012333709741920381
-14.5,-7.697047846831207e-09,0.0003070157458343395,-0.0012257727665075512,0.00030702344288218635,-0.0012257650694597045
-14.25,-2.5738412469378246e-08,0.00030425349701576566,-0.001217695511629846,0.00030427923542823503,-0.0012176697732173766
-14.0,-4.377940148405352e-08,0.0003013399953905816,-0.001209116732287161,0.0003013837747920657,-0.0012090729528856769
-13.75,-6.182001324348578e-08,0.0002982728162198335,-0.0012000242958984705,0.000298334636233077,-0.001199962475885227
-13.5,-7.986024610030378e-08,0.00029504953476456735,-0.00119040606988275,0.00029512939501066766,-0.0011903262096366496
-13.25,-9.790009840713627e-08,0.00029166772628582923,-0.0011802499216589737,0.00029176562638423635,-0.0011801520215605666
-13.0,-1.1593956851661198e-07,0.00028812496604466533,-0.0011695437186461165,0.00028824090561318193,-0.0011694277790775998
-12.75,-1.3397865478135968e-07,0.0002844188293021216,-0.0011582753282631535,0.00028455280795690297,-0.001158141349608372
-12.5,-1.5201735555400814e-07,0.0002805468913192443,-0.001146432617929059,0.0002806989086747983,-0.001146280600573505
-12.25,-1.7005566918718604e-07,0.0002765067273570793,-0.0011340034550628084,0.00027667678302626644,-0.0011338333993936211
-12.0,-1.8809359403352218e-07,0.0002722959126766728,-0.0011209757070833755,0.00027248400627070637,-0.001120787613489342
-11.75,-2.0613122336070572e-07,0.0002679120225390709,-0.0011073372414097363,0.00026811815376243163,-0.0011071311101863756
-11.5,-2.2416862748589195e-07,0.00026335263220531973,-0.0010930759254608648,0.0002635768008328056,-0.0010928517568333789
-11.25,-2.4220577033590887e-07,0.00025861531693646526,-0.001078179626655736,0.00025885752270680116,-0.0010779374208854
-11.0,-2.6024261583758447e-07,0.0002536976519935536,-0.0010626362124133244,0.0002539578946093912,-0.0010623759697974868
-10.75,-2.7827912791774663e-07,0.0002485972126376309,-0.0010464335501526052,0.00024887549176554866,-0.0010461552710246875
-10.5,-2.963152705032234e-07,0.00024331157412974322,-0.001029559507292553,0.00024360788940024644,-0.0010292631920220498
-10.25,-3.1435100752084263e-07,0.0002378383117309366,-0.0010120019512521424,0.00023815266273845742,-0.0010116876002446216
-10.0,-3.323863028974323e-07,0.00023217500070225717,-0.0009937487494503484,0.0002325073870051546,-0.000993416363147451
-9.75,-3.5042112055982056e-07,0.00022631921630475105,-0.0009747877693061458,0.00022666963742531087,-0.0009744373481855859
-9.5,-3.6845542443483514e-07,0.00022026853379946427,-0.0009551068782385094,0.0002206369892238991,-0.0009547384228140746
-9.25,-3.864891784493042e-07,0.00021402052844744286,-0.0009346939436664138,0.00021440701762589216,-0.0009343074544879645
-9.0,-4.045223465300555e-07,0.00020757277550973306,-0.0009135368330088336,0.00020797729785626312,-0.0009131323106623036
-8.75,-4.2255489260391717e-07,0.00020092285024738083,-0.0008916234136847443,0.00020134540513998476,-0.0008912008587921404
-8.5,-4.405867805977171e-07,0.00019406832792143232,-0.0008689415531131199,0.00019450891470203002,-0.0008685009663325222
-8.25,-4.5861797443828324e-07,0.00018700678379293358,-0.0008454791187129357,0.00018746540176737186,-0.0008450205007384975
-8.0,-4.766484380524436e-07,0.0001797357931229307,-0.0008212239779031663,0.00018021244156098316,-0.0008207473294651139
-7.75,-4.946780246072127e-07,0.0001722529311724698,-0.0007961639981027862,0.000172747609197077,-0.000795669320078179
-7.5,-5.127066681485744e-07,0.0001645557732025969,-0.0007702870467307707,0.00016506847987074547,-0.000769774340062622
-7.25,-5.307344539218096e-07,0.00015664189447435817,-0.0007435809912060942,0.00015717262892827997,-0.0007430502567521723
-7.0,-5.487614671721995e-07,0.00014850887024879967,-0.0007160336989477318,0.00014905763171597187,-0.0007154849374805596
-6.75,-5.667877931450252e-07,0.0001401542757869674,-0.0006876330373746578,0.00014072106358011243,-0.0006870662495815129
-6.5,-5.84813517085568e-07,0.00013157568634990756,-0.0006583668739058475,0.00013216049986699313,-0.0006577820603887619
-6.25,-6.028387242391088e-07,0.0001227706771986662,-0.0006282230759602753,0.0001233735159229053,-0.0006276202372360362
