series,peak_uA,rise_time_10_90_us,fall_time_90_10_us,peak_error_pct,rise_time_error_pct,fall_time_error_pct
COMSOL,7.774843642397229,161.3827356665658,25955.52493027155,,,
Elmer MPI (4 ranks),7.833279900756452,147.66735879854494,23998.04313033034,0.7516068624269421,-8.498664253875525,-7.541676792127697
