candidate_id,comparison_mode,objective,waveform_objective,peak_share_objective,peak_ratio_objective,best_shift_ms,g0_factor,factors
mv_017_b785a133,ch0_extrema,0.2240612602067273,0.17611232384600234,0.0,0.013549855523360115,0.06000000000000094,0.9005873934634145,"{""membrane_cp"": 0.9278550964948036, ""pb_cp"": 0.7273506635751237, ""pb_k"": 1.0209639327509192, ""stycast_k"": 0.5082993283823665, ""tes_cp"": 0.7434677724534345}"
mv_003_ce78face,ch0_extrema,0.2504087426208123,0.21647198260377268,0.0,0.0003401632193644879,0.07000000000000095,0.9006062753339382,"{""membrane_cp"": 1.469525176573407, ""pb_cp"": 0.6610018075523542, ""pb_k"": 1.269409493513702, ""stycast_k"": 0.7726133062299223, ""tes_cp"": 1.0081985310518433}"
mv_009_0eefba7b,ch0_extrema,0.2820471172949439,0.2370220259759418,0.0,0.02419057004121922,0.08000000000000096,0.9005454155213974,"{""membrane_cp"": 1.1493809255213676, ""pb_cp"": 0.9319632206030154, ""pb_k"": 1.435239129037499, ""stycast_k"": 1.514546770788591, ""tes_cp"": 0.8932619244550684}"
mv_004_9b9a4eef,ch0_extrema,0.28691788295927484,0.1662669280335631,0.0,0.09484037072963358,0.05000000000000093,0.9005745997036733,"{""membrane_cp"": 1.2269469691198742, ""pb_cp"": 1.4442005252361527, ""pb_k"": 1.428263771372339, ""stycast_k"": 0.8669973629717046, ""tes_cp"": 1.031818105900631}"
mv_008_fc8884f3,ch0_extrema,0.3369580195519909,0.2673398496649162,0.0,0.03996043565567015,0.08000000000000096,0.9005668840133251,"{""membrane_cp"": 1.4617602141102664, ""pb_cp"": 0.7710595122457562, ""pb_k"": 1.1182962653762696, ""stycast_k"": 1.6684537271653763, ""tes_cp"": 0.916780625516442}"
mv_001_ac76bb56,ch0_extrema,0.39762651330308374,0.19412514906006717,0.0,0.17368146143614205,0.040000000000000924,0.9006056609965339,"{""membrane_cp"": 1.4306769993804258, ""pb_cp"": 0.8759573316110303, ""pb_k"": 0.7284973946142227, ""stycast_k"": 0.846489119721043, ""tes_cp"": 1.382157437567472}"
mv_002_477196c2,ch0_extrema,0.4002264001552633,0.19980468010894065,0.0,0.1517193888640935,0.06000000000000094,0.9005571014388041,"{""membrane_cp"": 1.4975023616361196, ""pb_cp"": 1.4802386376190462, ""pb_k"": 1.357833913339258, ""stycast_k"": 1.7299884634836575, ""tes_cp"": 1.2126755396585627}"
mv_006_7878d06b,ch0_extrema,0.4009835808067565,0.20175778204489975,0.0,0.18928663024434372,0.05000000000000093,0.9005699751341093,"{""membrane_cp"": 1.0503967671583236, ""pb_cp"": 1.0149981864283044, ""pb_k"": 0.8471749421087738, ""stycast_k"": 1.1269170519973923, ""tes_cp"": 1.3347878710696386}"
mv_010_098508cc,ch0_extrema,0.40814308007141936,0.14493900087936382,0.0,0.23482151659166592,0.020000000000000906,0.9006034309171899,"{""membrane_cp"": 0.8012497029767802, ""pb_cp"": 1.375816379972359, ""pb_k"": 0.8791943337095905, ""stycast_k"": 0.5542181956864208, ""tes_cp"": 1.1014743735311243}"
mv_007_cf88e5a2,ch0_extrema,0.4296850555092725,0.184185739707242,0.0,0.22564842875689006,0.040000000000000924,0.9005608925120934,"{""membrane_cp"": 1.5412281763966174, ""pb_cp"": 1.181094940311371, ""pb_k"": 0.8672001778124894, ""stycast_k"": 1.0354536684813513, ""tes_cp"": 1.0850609585330384}"
mv_000_de53353f,ch0_extrema,0.4310466343150467,0.15934539672203527,0.0,0.2502332751212688,0.030000000000000915,0.9006334459347913,"{""membrane_cp"": 0.8263140993221053, ""pb_cp"": 1.2173941908718147, ""pb_k"": 0.7918503021565536, ""stycast_k"": 0.6747593610396916, ""tes_cp"": 1.2700479694399123}"
mv_003_a02a4d2c,ch0_extrema,0.45486608201387585,0.15191109885170384,0.0,0.26180922778898386,0.020000000000000906,0.9006114107930863,"{""membrane_cp"": 1.1857372248121019, ""pb_cp"": 1.2337350540260008, ""pb_k"": 0.7456619878015359, ""stycast_k"": 0.5990578803202536, ""tes_cp"": 1.5914815269931482}"
mv_005_ed377c2b,ch0_extrema,0.46056434053310336,0.2850309616690265,0.0,0.12882653609014585,0.07000000000000095,0.900600662608042,"{""membrane_cp"": 1.4172860034801082, ""pb_cp"": 0.6829222738703125, ""pb_k"": 0.7659123746647923, ""stycast_k"": 1.792770728462967, ""tes_cp"": 1.289348488177146}"
