candidate_id,objective,waveform_objective,peak_share_objective,best_shift_ms,g0_factor,factors
mv_017_b785a133,0.23078769369065955,0.17132713933631233,0.012552736758491181,0.05000000000000093,0.9005873934634145,"{""membrane_cp"": 0.9278550964948036, ""pb_cp"": 0.7273506635751237, ""pb_k"": 1.0209639327509192, ""stycast_k"": 0.5082993283823665, ""tes_cp"": 0.7434677724534345}"
mv_009_0eefba7b,0.2428196229834288,0.19446470167108115,0.013816200017282367,0.06000000000000094,0.9005454155213974,"{""membrane_cp"": 1.1493809255213676, ""pb_cp"": 0.9319632206030154, ""pb_k"": 1.435239129037499, ""stycast_k"": 1.514546770788591, ""tes_cp"": 0.8932619244550684}"
mv_004_9b9a4eef,0.2486903131247417,0.1846180832596487,0.019130822834507427,0.05000000000000093,0.9005745997036733,"{""membrane_cp"": 1.2269469691198742, ""pb_cp"": 1.4442005252361527, ""pb_k"": 1.428263771372339, ""stycast_k"": 0.8669973629717046, ""tes_cp"": 1.031818105900631}"
mv_006_7878d06b,0.26456396215061256,0.2066950869458599,0.023964853343619807,0.05000000000000093,0.9005699751341093,"{""membrane_cp"": 1.0503967671583236, ""pb_cp"": 1.0149981864283044, ""pb_k"": 0.8471749421087738, ""stycast_k"": 1.1269170519973923, ""tes_cp"": 1.3347878710696386}"
mv_008_fc8884f3,0.2700387359112987,0.20983827083114628,0.015301365424373891,0.07000000000000095,0.9005668840133251,"{""membrane_cp"": 1.4617602141102664, ""pb_cp"": 0.7710595122457562, ""pb_k"": 1.1182962653762696, ""stycast_k"": 1.6684537271653763, ""tes_cp"": 0.916780625516442}"
mv_000_de53353f,0.2730975019789893,0.19848802927327383,0.026556755116986422,0.040000000000000924,0.9006334459347913,"{""membrane_cp"": 0.8263140993221053, ""pb_cp"": 1.2173941908718147, ""pb_k"": 0.7918503021565536, ""stycast_k"": 0.6747593610396916, ""tes_cp"": 1.2700479694399123}"
mv_010_098508cc,0.2736050367461067,0.19331824893401778,0.025928112605849662,0.040000000000000924,0.9006034309171899,"{""membrane_cp"": 0.8012497029767802, ""pb_cp"": 1.375816379972359, ""pb_k"": 0.8791943337095905, ""stycast_k"": 0.5542181956864208, ""tes_cp"": 1.1014743735311243}"
mv_007_cf88e5a2,0.2761972190559254,0.2052183815287949,0.02554597524099507,0.05000000000000093,0.9005608925120934,"{""membrane_cp"": 1.5412281763966174, ""pb_cp"": 1.181094940311371, ""pb_k"": 0.8672001778124894, ""stycast_k"": 1.0354536684813513, ""tes_cp"": 1.0850609585330384}"
mv_001_ac76bb56,0.2797622584801082,0.20340836596074674,0.023248994856243488,0.05000000000000093,0.9006056609965339,"{""membrane_cp"": 1.4306769993804258, ""pb_cp"": 0.8759573316110303, ""pb_k"": 0.7284973946142227, ""stycast_k"": 0.846489119721043, ""tes_cp"": 1.382157437567472}"
mv_003_a02a4d2c,0.2936224716045635,0.19839147954527567,0.027018618343049847,0.040000000000000924,0.9006114107930863,"{""membrane_cp"": 1.1857372248121019, ""pb_cp"": 1.2337350540260008, ""pb_k"": 0.7456619878015359, ""stycast_k"": 0.5990578803202536, ""tes_cp"": 1.5914815269931482}"
mv_002_477196c2,0.2957144481505746,0.20266437647267044,0.022195870247837486,0.05000000000000093,0.9005571014388041,"{""membrane_cp"": 1.4975023616361196, ""pb_cp"": 1.4802386376190462, ""pb_k"": 1.357833913339258, ""stycast_k"": 1.7299884634836575, ""tes_cp"": 1.2126755396585627}"
mv_005_ed377c2b,0.3168408938461038,0.22812560186910497,0.02103022460153396,0.06000000000000094,0.900600662608042,"{""membrane_cp"": 1.4172860034801082, ""pb_cp"": 0.6829222738703125, ""pb_k"": 0.7659123746647923, ""stycast_k"": 1.792770728462967, ""tes_cp"": 1.289348488177146}"
