time_after_pulse_ms,reference_left_normalized,simulation_left_normalized,reference_right_normalized,simulation_right_normalized,left_residual,right_residual,region
0,0.248838156359,0.182297955768,0.017679334599,0.00132952300044,-0.0665402005917,-0.0163498115986,rise
0.01,0.269123318052,0.203428622619,0.0176209771202,0.00138782408069,-0.0656946954333,-0.0162331530395,rise
0.02,0.289699060633,0.226080234997,0.01753011242,0.00145074657115,-0.0636188256361,-0.0160793658488,rise
0.03,0.310385077518,0.250222376394,0.0174082202008,0.00151828948015,-0.0601627011248,-0.0158899307207,rise
0.04,0.331000389152,0.275790853594,0.0172585122966,0.0015903714286,-0.0552095355577,-0.015668140868,rise
0.05,0.351371322693,0.302680598458,0.0170855403422,0.00166682142376,-0.0486907242347,-0.0154187189184,rise
0.06,0.37133790266,0.330737897222,0.0168943101812,0.00174738233999,-0.0406000054376,-0.0151469278412,rise
0.07,0.390758279136,0.359754237559,0.0166891265665,0.00183173035527,-0.0310040415764,-0.0148573962112,rise
0.08,0.40951118535,0.389466952775,0.0164724828031,0.00191950951367,-0.0200442325753,-0.0145529732894,rise
0.09,0.427496680089,0.419570199687,0.0162443696217,0.00201037549376,-0.00792648040152,-0.014233994128,rise
0.1,0.444635729648,0.44973342037,0.0160022708082,0.00210403743596,0.00509769072229,-0.0138982333722,rise
0.11,0.460869165764,0.479621126013,0.0157417831037,0.00220029035967,0.0187519602483,-0.013541492744,rise
0.12,0.476156282838,0.508909907933,0.015457540325,0.00229903798712,0.0327536250943,-0.0131585023379,rise
0.13,0.490473194423,0.537301014036,0.0151440902105,0.00240030737593,0.0468278196126,-0.0127437828346,rise
0.14,0.503810999631,0.564527822327,0.0147964711303,0.00250425566171,0.0607168226966,-0.0122922154686,rise
0.15,0.516173698909,0.590359265567,0.0144104550668,0.00261117066599,0.0741855666578,-0.0117992844008,rise
0.16,0.527575866176,0.614601673411,0.013982707954,0.00272146936108,0.0870258072346,-0.011261238593,rise
0.17,0.538040374737,0.637100122964,0.0135111830696,0.00283569624364,0.0990597482268,-0.0106754868259,rise
0.18,0.54759656211,0.657738667914,0.0129957985809,0.00295452036949,0.110142105804,-0.0100412782114,rise
0.19,0.556278928117,0.676439073579,0.0124391350666,0.00307873003884,0.120160145462,-0.00936040502775,rise
0.2,0.564126246911,0.693158350174,0.0118468372428,0.00320922603268,0.129032103263,-0.00863761121007,rise
0.21,0.571180962742,0.707885485868,0.0112276007423,0.00334701509975,0.136704523127,-0.00788058564256,rise
0.22,0.577488613667,0.720637716297,0.0105927827066,0.00349320453235,0.14314910263,-0.00709957817423,rise
0.23,0.583096980222,0.731456593435,0.00995572332566,0.00364899698907,0.148359613213,-0.00630672633658,rise
0.24,0.588054937847,0.740404050073,0.00933091531279,0.00381568394029,0.152349112227,-0.0055152313725,rise
0.25,0.592411219412,0.747558599892,0.00873316274387,0.00399463683438,0.15514738048,-0.00473852590949,rise
0.26,0.596213254963,0.753011768936,0.00817679680007,0.00418729616909,0.156798513972,-0.00398950063098,rise
0.27,0.599506246316,0.756864820266,0.00767494700735,0.00439515908074,0.15735857395,-0.00327978792661,rise
0.28,0.602332655965,0.759225806875,0.0072388345149,0.00461976616581,0.15689315091,-0.0026190683491,rise
0.29,0.604732089178,0.760206967842,0.00687705827571,0.00486268829504,0.155474878664,-0.00201436998067,rise
0.3,0.60674132728,0.759922468096,0.00659491145355,0.00512551389058,0.153181140817,-0.00146939756297,rise
0.31,0.608394395194,0.758486471088,0.00639387666934,0.00540983624339,0.150092075894,-0.000984040425945,rise
0.32,0.609722753613,0.756011525368,0.00627151110107,0.00571723982214,0.146288771755,-0.000554271278928,rise
0.33,0.610755556496,0.752607240945,0.00622184776385,0.0060492857902,0.141851684449,-0.000172561973649,rise
0.34,0.611519789054,0.748379229482,0.00623630155408,0.00640749833165,0.136859440428,0.000171196777572,rise
0.35,0.612040350925,0.7434282816,0.00630499303859,0.00679335237858,0.131387930675,0.000488359339998,rise
0.36,0.612340238596,0.737849754369,0.00641827436024,0.00720826188548,0.125509515773,0.000789987525235,rise
0.37,0.612440777028,0.731733143754,0.00656810928981,0.00765356805033,0.119292366726,0.00108545876052,rise
0.38,0.612361850022,0.725161818184,0.00674900850002,0.00813052789279,0.112799968161,0.00138151939277,rise
0.39,0.612122163373,0.718212888689,0.00695836058869,0.00864030402456,0.106090725316,0.00168194343587,rise
0.4,0.611739436089,0.71095719212,0.00719613975023,0.00918395608928,0.0992177560312,0.00198781633905,rise
0.41,0.611230379954,0.703459367331,0.00746413668533,0.00976243382416,0.0922289873775,0.00229829713883,rise
0.42,0.610610571971,0.695778006536,0.00776499069606,0.0103765714495,0.0851674345657,0.00261158075345,rise
0.43,0.609894394462,0.687965865749,0.0081013340398,0.0110270832274,0.0780714712878,0.00292574918764,rise
0.44,0.60909498422,0.680070120923,0.00847526937648,0.0117145603067,0.0709751367031,0.00323929093026,rise
0.45,0.608224096647,0.672132658461,0.00888821913978,0.0124394688038,0.0639085618138,0.00355124966399,rise
0.46,0.607291992374,0.664190389456,0.00934098604157,0.0132021491392,0.0568983970818,0.00386116309762,rise
0.47,0.606307393556,0.656275578673,0.0098337572663,0.0140028168927,0.0499681851175,0.00416905962645,rise
0.48,0.605277402624,0.648416181338,0.0103659310521,0.0148415647037,0.0431387787137,0.00447563365152,rise
0.49,0.604207440989,0.640636181275,0.0109359281056,0.0157183643752,0.0364287402864,0.00478243626964,rise
0.5,0.603101376921,0.632955925052,0.0115411943182,0.0166330694488,0.0298545481312,0.00509187513062,rise
0.51,0.601961821793,0.625392448542,0.0121784135843,0.0175854195351,0.0234306267492,0.00540700595077,rise
0.52,0.60079051057,0.617959792077,0.0128438465964,0.0185750467692,0.0171692815068,0.00573120017277,rise
0.53,0.599588791554,0.610669300507,0.0135336879708,0.0196014828765,0.011080508953,0.00606779490571,rise
0.54,0.598358148554,0.603529906553,0.0142442500008,0.0206641657814,0.00517175799921,0.00641991578057,rise
0.55,0.597100549988,0.596548396718,0.014971767603,0.0217624466064,-0.000552153270671,0.00679067900337,rise
0.56,0.595818606898,0.58972965929,0.0157118076207,0.0228955974926,-0.00608894760816,0.0071837898719,rise
0.57,0.5945156672,0.583076914852,0.0164584980955,0.0240628190135,-0.0114387523483,0.007604320918,rise
0.58,0.593195811212,0.576591929871,0.0172038895832,0.0252632461724,-0.0166038813407,0.00805935658919,rise
0.59,0.591863643613,0.570275213626,0.0179377446772,0.0264959530668,-0.0215884299868,0.00855820838957,rise
0.6,0.590523958146,0.564126198501,0.0186479269932,0.0277599567229,-0.0263977596443,0.00911202972973,rise
0.61,0.589181399444,0.558143403547,0.0193213248911,0.0290542208537,-0.0310379958968,0.00973289596256,rise
0.62,0.587840122595,0.552324581737,0.0199450595163,0.0303776599378,-0.0355155408572,0.0104326004215,rise
0.63,0.586503535328,0.546666851914,0.0205076727241,0.0317291434751,-0.0398366834142,0.0112214707511,rise
0.64,0.585174311221,0.54116681613,0.0209999827307,0.0331075010755,-0.0440074950912,0.0121075183448,rise
0.65,0.58385462128,0.535820663264,0.0214153595017,0.0345115296157,-0.0480339580162,0.013096170114,rise
0.66,0.582546359378,0.53062426058,0.0217493934845,0.0359400018176,-0.0519220987976,0.0141906083331,rise
