% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 2 2026, 14:15
% Table:              プローブテーブル 1 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              アンペアメーターを通る電流 # (µA)
0                        0.1685849676641707       0.1685846229464517       143.0288119117133
0.5                      0.1685849512209401       0.16858425588834836      143.04207468795485
1                        0.16858493080677214      0.16858424758250268      143.0423632359541
1.5                      0.16858491134601225      0.16858424244565479      143.04254159155656
2                        0.16858489267398477      0.16858423764389202      143.04270830579912
2.5                      0.1685848747619023       0.16858423305429587      143.04286765286517
3                        0.16858485757925387      0.16858422865381         143.04302043412233
3.5                      0.16858484086954664      0.16858422437471815      143.0431690007419
4                        0.16858482477308104      0.16858422025274286      143.04331211240236
4.500000000000001        0.16858480931845654      0.16858421629512402      143.04344951784583
5                        0.16858479449727623      0.1685842124997123       143.04358129160593
5.5                      0.16858478028938154      0.16858420886135095      143.04370761277
6                        0.16858476667136107      0.16858420537404337      143.0438286894791
6.500000000000001        0.1685847536193859       0.16858420203168908      143.04394473356479
7                        0.16858474111015384      0.16858419882831993      143.04405595222067
7.5                      0.1685847291211703       0.16858419575817632      143.04416254542227
8                        0.1685847176308235       0.16858419281572365      143.0442647053193
8.5                      0.168584706618385        0.16858418999565294      143.04436261620336
9.000000000000002        0.16858469606398113      0.16858418729287572      143.04445645478015
9.5                      0.16858468594855924      0.16858418470251318      143.04454639040918
10                       0.16858467625386292      0.1685841822198904       143.0446325854326
10.5                     0.16858466696239535      0.16858417984052596      143.04471519539155
11                       0.16858465805738249      0.16858417756012542      143.04479436943112
11.5                     0.16858464952275007      0.1685841753745715       143.0448702504591
12                       0.16858464134309617      0.1685841732799199       143.04494297541444
12.5                     0.168584633503653        0.16858417127239075      143.04501267558047
13.000000000000002       0.16858462599027313      0.1685841693483588       143.0450794767777
13.5                     0.1685846187893923       0.16858416750435304      143.045143499526
14                       0.16858461188801507      0.16858416573704255      143.04520485946244
