time_ms,left_signal,right_signal
-20,-0.00293699573405,-0.010031124003
-19.99,-0.00288025563564,-0.00969602574176
-19.98,-0.00282145494564,-0.00937286341677
-19.97,-0.00275949610045,-0.00906380081978
-19.96,-0.00269330034043,-0.00876818797701
-19.95,-0.00262199939492,-0.00848278219253
-19.94,-0.00254503572713,-0.00820254540253
-19.93,-0.0024622869678,-0.00792179025637
-19.92,-0.00237421170384,-0.0076352890726
-19.91,-0.00228186679198,-0.00733905459544
-19.9,-0.00218676092874,-0.00703074132531
-19.89,-0.00209066066728,-0.00670978185543
-19.88,-0.00199540206669,-0.00637736388955
-19.87,-0.00190270572019,-0.00603627152103
-19.86,-0.00181407163798,-0.00569056238639
-19.85,-0.00173077715713,-0.00534505705127
-19.84,-0.00165388599801,-0.00500473806004
-19.83,-0.00158426770807,-0.00467429666788
-19.82,-0.00152270128861,-0.00435800389781
-19.81,-0.00147000605348,-0.00405984975374
-19.8,-0.00142708775774,-0.00378373394081
-19.79,-0.00139490400217,-0.00353350839221
-19.78,-0.00137438588941,-0.0033127671669
-19.77,-0.00136629499975,-0.00312440026039
-19.76,-0.0013710422349,-0.00297008783719
-19.75,-0.00138856595315,-0.00284995466064
-19.74,-0.0014182932146,-0.00276245798259
-19.73,-0.00145914056439,-0.00270448269876
-19.72,-0.00150957716009,-0.0026716355435
-19.71,-0.00156777067669,-0.00265869971777
-19.7,-0.00163172981872,-0.00266016243061
-19.69,-0.00169939271807,-0.00267073752158
-19.68,-0.00176872990027,-0.00268577974377
-19.67,-0.0018378921292,-0.00270145636637
-19.66,-0.00190536618997,-0.00271467342727
-19.65,-0.00197014966298,-0.00272295397648
-19.64,-0.00203191646486,-0.00272445637839
-19.63,-0.00209101776135,-0.00271813060974
-19.62,-0.00214825417438,-0.00270390302709
-19.61,-0.00220460086572,-0.00268280412716
-19.6,-0.00226104938128,-0.00265699254327
-19.59,-0.00231850950581,-0.00262964207743
-19.58,-0.00237771212559,-0.002604676353
-19.57,-0.00243914618411,-0.00258634253486
-19.56,-0.00250299138383,-0.00257860391211
-19.55,-0.00256902367109,-0.00258441269033
-19.54,-0.00263660144212,-0.00260506770224
-19.53,-0.00270477615653,-0.00263990141913
-19.52,-0.00277244040736,-0.00268646414476
-19.51,-0.00283847943355,-0.0027412007295
-19.5,-0.00290194442345,-0.00280041808378
-19.49,-0.00296217599498,-0.00286127106894
-19.48,-0.00301879263372,-0.00292253572336
-19.47,-0.00307161666811,-0.00298497448413
-19.46,-0.00312065983169,-0.00305114060748
-19.45,-0.00316614877414,-0.00312462684175
-19.44,-0.00320855317085,-0.00320899338113
-19.43,-0.00324866531093,-0.0033067071488
-19.42,-0.00328768874349,-0.00341835086504
-19.41,-0.00332721434924,-0.00354226195103
-19.4,-0.00336908228618,-0.00367467396673
-19.39,-0.00341518908278,-0.00381029659205
-19.38,-0.00346725205432,-0.00394310267611
-19.37,-0.00352658463556,-0.00406699278404
-19.36,-0.00359397273824,-0.00417608446389
-19.35,-0.00366963446269,-0.00426462281066
-19.34,-0.00375318015243,-0.00432674861167
-19.33,-0.00384360666259,-0.00435639853934
-19.32,-0.00393941093119,-0.00434745986162
