time_ms,left_signal,right_signal
-20,-0.00380923116254,-0.00245955345053
-19.99,-0.0037553232508,-0.00205596580428
-19.98,-0.00369825523397,-0.00167724467753
-19.97,-0.00363630790959,-0.0013326824579
-19.96,-0.00356815948354,-0.00102965928441
-19.95,-0.00349288844683,-0.000772997682564
-19.94,-0.00340993408951,-0.000564723370032
-19.93,-0.00331907466037,-0.000404301026752
-19.92,-0.00322032917599,-0.000289231023377
-19.91,-0.00311381390917,-0.000215785794034
-19.9,-0.00299970519072,-0.000179669615907
-19.89,-0.00287830529522,-0.000176476288842
-19.88,-0.0027501200642,-0.000201966698529
-19.87,-0.00261594215528,-0.000252282418885
-19.86,-0.00247690945134,-0.000324187253755
-19.85,-0.0023344507851,-0.000415347448116
-19.84,-0.00219017533207,-0.000524574287462
-19.83,-0.00204585369543,-0.000651884154008
-19.82,-0.00190345571426,-0.000798282086285
-19.81,-0.00176511011874,-0.000965379069348
-19.8,-0.00163301509987,-0.00115509023637
-19.79,-0.00150937450801,-0.00136952305637
-19.78,-0.00139629075261,-0.00161093961816
-19.77,-0.00129558050799,-0.00188165206097
-19.76,-0.00120860387326,-0.00218378943338
-19.75,-0.00113613229251,-0.00251893350733
-19.74,-0.0010782374198,-0.00288774519256
-19.73,-0.00103429190441,-0.00328979065143
-19.72,-0.00100315323374,-0.00372365583494
-19.71,-0.000983416377035,-0.00418722402627
-19.7,-0.000973605345416,-0.00467788610002
-19.69,-0.000972333176978,-0.00519251420165
-19.68,-0.000978442533724,-0.00572720206336
-19.67,-0.000991026391333,-0.00627694179296
-19.66,-0.00100933873158,-0.00683544365094
-19.65,-0.00103270527317,-0.00739521266374
-19.64,-0.00106041182306,-0.00794789914441
-19.63,-0.00109154978266,-0.00848490078475
-19.62,-0.00112497597139,-0.00899814640066
-19.61,-0.00115945924855,-0.0094808747459
-19.6,-0.00119386292162,-0.00992812461341
-19.59,-0.00122725607317,-0.0103367225306
-19.58,-0.00125897239977,-0.0107047732682
-19.57,-0.0012885822985,-0.0110308898756
-19.56,-0.00131574830981,-0.0113135115517
-19.55,-0.0013400929972,-0.0115505589562
-19.54,-0.0013612053234,-0.0117394195389
-19.53,-0.00137874332269,-0.0118770537405
-19.52,-0.00139257003704,-0.0119600732664
-19.51,-0.00140289735961,-0.0119848559083
-19.5,-0.00141031987053,-0.0119478275026
-19.49,-0.00141566509841,-0.0118459651709
-19.48,-0.00141982611756,-0.0116774854618
-19.47,-0.00142373595597,-0.0114425505047
-19.46,-0.00142842220548,-0.0111437395819
-19.45,-0.00143507451149,-0.0107861173971
-19.44,-0.00144512952257,-0.0103768869703
-19.43,-0.0014602573169,-0.00992471561197
-19.42,-0.00148211166981,-0.0094389018185
-19.41,-0.00151196205452,-0.00892858910816
-19.4,-0.00155044391488,-0.0084021328449
-19.39,-0.00159746999421,-0.00786660776347
-19.38,-0.00165225876619,-0.00732743978172
-19.37,-0.00171353183572,-0.00678817474317
-19.36,-0.00177983164081,-0.00625041775206
-19.35,-0.00184975077691,-0.00571402633652
-19.34,-0.00192200578353,-0.00517765409153
-19.33,-0.00199544605813,-0.00463961057084
-19.32,-0.00206899429567,-0.00409881154311
-19.31,-0.00214149050817,-0.00355553514395
-19.3,-0.00221155155561,-0.00301177240237
-19.29,-0.00227754009031,-0.00247108239971
-19.28,-0.00233759892573,-0.00193804388054
-19.27,-0.00238973784536,-0.00141757104108
-19.26,-0.00243202637603,-0.000914381431584
-19.25,-0.00246282521345,-0.000432790199265
-19.24,-0.00248093150634,2.31208055205e-05
-19.23,-0.0024856697409,0.000449068148783
-19.22,-0.00247696858225,0.000840162586525
-19.21,-0.00245531412875,0.0011908592299
-19.2,-0.00242158118325,0.00149535358131
-19.19,-0.00237691689045,0.00174827340791
