time_ms,left_signal,right_signal
-20,0.00271035423329,0.00194985307588
-19.99,0.00240588127626,0.00035681987141
-19.98,0.00205656322299,-0.00120129053083
-19.97,0.00167444360293,-0.0026850049514
-19.96,0.00127158855861,-0.00405775071732
-19.95,0.000859978378505,-0.00528844692998
-19.94,0.000451430771316,-0.0063534677076
-19.93,5.74587343122e-05,-0.00723774962583
-19.92,-0.000310853923777,-0.00793512388629
-19.91,-0.000643205863444,-0.00844825352152
-19.9,-0.000930775519802,-0.00878839515797
-19.89,-0.00116682070332,-0.00897484763026
-19.88,-0.00134698309688,-0.00903374271919
-19.87,-0.00146970371308,-0.00899580184779
-19.86,-0.00153673837584,-0.0088930643816
-19.85,-0.00155326603011,-0.00875522316533
-19.84,-0.00152759114576,-0.00860643440155
-19.83,-0.00147072227769,-0.00846320096894
-19.82,-0.00139572977016,-0.00833357531994
-19.81,-0.00131686970566,-0.00821766523433
-19.8,-0.00124874505246,-0.00810921037844
-19.79,-0.00120547325563,-0.00799782610607
-19.78,-0.00119963439485,-0.00787142786259
-19.77,-0.00124124459657,-0.00771847719945
-19.76,-0.00133725106306,-0.00752979274047
-19.75,-0.00149151035768,-0.00729960532385
-19.74,-0.00170491333576,-0.00702570491025
-19.73,-0.00197569488942,-0.00670888294528
-19.72,-0.00229992852079,-0.00635206177755
-19.71,-0.00267181906797,-0.00595956368284
-19.7,-0.00308364586677,-0.00553690707036
-19.69,-0.00352559386179,-0.00509118268942
-19.68,-0.00398561132986,-0.00463164310133
-19.67,-0.00444945240995,-0.00416991316956
-19.66,-0.00490130306242,-0.00371938464013
-19.65,-0.00532509219036,-0.00329390609876
-19.64,-0.00570608049102,-0.00290633451362
-19.63,-0.00603239838814,-0.00256753131454
-19.62,-0.00629636122492,-0.0022861552203
-19.61,-0.00649510225044,-0.00206931245304
-19.6,-0.0066301264585,-0.00192384393517
-19.59,-0.00670618782175,-0.00185782054024
-19.58,-0.00673017804439,-0.00188156377814
-19.57,-0.006710096389,-0.0020073967815
-19.56,-0.00665405472046,-0.00224785250963
-19.55,-0.00656959276826,-0.00261276477063
-19.54,-0.00646324895254,-0.00310593559146
-19.53,-0.0063401458027,-0.00372221878326
-19.52,-0.00620386519796,-0.00444587715099
-19.51,-0.00605689358542,-0.0052506742546
-19.5,-0.00590131342183,-0.00610167756965
-19.49,-0.0057394398279,-0.00695846536681
-19.48,-0.00557450489323,-0.0077791493158
-19.47,-0.00541120935027,-0.0085244201052
-19.46,-0.00525560590914,-0.0091610145011
-19.45,-0.00511434839941,-0.00966432569405
-19.44,-0.00499385088725,-0.010020006551
-19.43,-0.00489950909264,-0.0102246162886
-19.42,-0.00483494698355,-0.0102856194954
-19.41,-0.00480151225962,-0.0102209573134
-19.4,-0.0047980722564,-0.0100581440571
-19.39,-0.00482099985209,-0.00983273723028
-19.38,-0.00486454457587,-0.00958600708698
-19.37,-0.0049217071898,-0.00936169339819
-19.36,-0.00498521018762,-0.00920207349103
-19.35,-0.00504822352668,-0.00914411582321
-19.34,-0.00510509117429,-0.0092167045122
-19.33,-0.00515222496679,-0.00943939582487
-19.32,-0.00518868416724,-0.00982247982864
-19.31,-0.00521609301447,-0.0103679434158
-19.3,-0.00523819255045,-0.0110709760187
-19.29,-0.0052602004481,-0.0119215081426
-19.28,-0.00528788881838,-0.0129052941103
-19.27,-0.00532667078398,-0.0140044443878
-19.26,-0.0053810470044,-0.0151974575515
-19.25,-0.00545429520176,-0.0164587188227
-19.24,-0.00554833161263,-0.0177577482729
-19.23,-0.00566395972339,-0.0190588120885
-19.22,-0.00580133782326,-0.0203213268342
-19.21,-0.00596015218217,-0.0215010625649
-19.2,-0.00613948925238,-0.0225518407724
-19.19,-0.00633777664594,-0.023427422357
-19.18,-0.00655270855731,-0.0240834937386
-19.17,-0.00678092254533,-0.0244799178251
-19.16,-0.00701772050876,-0.0245834964088
-19.15,-0.00725707654487,-0.0243709739739
-19.14,-0.00749178432222,-0.0238314628041
-19.13,-0.00771396617513,-0.0229677146875
-19.12,-0.00791631151201,-0.0217961572953
-19.11,-0.00809354568577,-0.0203458759933
-19.1,-0.0082432018785,-0.0186570159341
-19.09,-0.00836542144168,-0.016779066951
-19.08,-0.00846207751515,-0.0147689655408
-19.07,-0.00853564480266,-0.0126886383512
-19.06,-0.0085883919107,-0.0106017627441
-19.05,-0.0086222778102,-0.00856979200442
-19.04,-0.00863915065207,-0.00664773768266
-19.03,-0.00864059183199,-0.00488066477288
-19.02,-0.00862750924048,-0.0033018206858
-19.01,-0.00859990497389,-0.00193267132942
-19,-0.00855667887745,-0.000784341459805
-18.99,-0.00849535331528,0.000140332584126
-18.98,-0.00841211466907,0.000844803148513
-18.97,-0.00830229828818,0.00133743347178
-18.96,-0.00816107925504,0.00163100483399
-18.95,-0.00798436244853,0.00174274653223
-18.94,-0.00776972918837,0.00169420049995
-18.93,-0.00751688030235,0.0015102762607
-18.92,-0.00722740201418,0.0012171617325
-18.91,-0.00690440392196,0.000839526665947
-18.9,-0.00655242252408,0.00039800570099
-18.89,-0.00617739749825,-9.23803802312e-05
-18.88,-0.00578664952622,-0.000622733454864
-18.87,-0.0053889693262,-0.00118963351951
-18.86,-0.00499447364277,-0.00179327576438
-18.85,-0.00461389848315,-0.00243478914293
-18.84,-0.0042576318437,-0.00311355089959
-18.83,-0.00393480713629,-0.00382519698002
-18.82,-0.00365250080316,-0.00456063030408
-18.81,-0.00341533045721,-0.00530590764084
-18.8,-0.00322569631931,-0.00604259623218
-18.79,-0.00308416681831,-0.00674826657926
-18.78,-0.00298941448283,-0.00739711476187
-18.77,-0.00293791004553,-0.00796086302945
-18.76,-0.00292385811137,-0.00841004503974
