time_ms,left_signal,right_signal
-20,-0.000711168464543,-0.00345329069959
-19.99,-0.000812136691435,-0.00323414327628
-19.98,-0.000921984688863,-0.0030134347265
-19.97,-0.00104073669148,-0.00279555810545
-19.96,-0.00116838987275,-0.00258668629712
-19.95,-0.00130464484904,-0.00239457255013
-19.94,-0.00144857583674,-0.00222793456102
-19.93,-0.00159836136131,-0.00209548600558
-19.92,-0.0017511882381,-0.00200479202087
-19.91,-0.0019033614532,-0.00196123600985
-19.9,-0.00205057940873,-0.00196740265506
-19.89,-0.00218830546585,-0.00202302968107
-19.88,-0.00231218174687,-0.00212543532478
-19.87,-0.00241842346287,-0.00227015640682
-19.86,-0.00250410699859,-0.00245154356213
-19.85,-0.00256731833915,-0.0026631837203
-19.84,-0.00260720208388,-0.00289814720986
-19.83,-0.00262395034179,-0.00314916555191
-19.82,-0.00261874084116,-0.0034088581355
-19.81,-0.0025936081291,-0.0036700179388
-19.8,-0.00255121968949,-0.00392588411976
-19.79,-0.00249457732879,-0.00417035284905
-19.78,-0.00242673775966,-0.00439814807169
-19.77,-0.00235063578659,-0.00460500878617
-19.76,-0.00226901524735,-0.00478788760233
-19.75,-0.00218442145415,-0.00494507255686
-19.74,-0.00209920437933,-0.00507617120972
-19.73,-0.00201548640515,-0.00518194827631
-19.72,-0.00193504097903,-0.0052639887489
-19.71,-0.00185908088806,-0.00532418159727
-19.7,-0.00178806358347,-0.00536411487223
-19.69,-0.00172163910897,-0.00538452630204
-19.68,-0.00165878441535,-0.00538495799235
-19.67,-0.00159808009697,-0.0053637452582
-19.66,-0.00153802963448,-0.0053183627319
-19.65,-0.0014773234501,-0.00524600093961
-19.64,-0.00141499482112,-0.00514420695533
-19.63,-0.00135047334344,-0.00501148332285
-19.62,-0.00128359714058,-0.00484778093339
-19.61,-0.00121463845528,-0.00465482915339
-19.6,-0.00114433377603,-0.00443625249123
-19.59,-0.00107386605544,-0.0041974073777
-19.58,-0.00100474134984,-0.00394485405933
-19.57,-0.000938559088833,-0.00368547653843
-19.56,-0.000876773025529,-0.00342547421932
-19.55,-0.000820545264968,-0.0031695396353
-19.54,-0.000770711900801,-0.00292041657313
-19.53,-0.000727815578371,-0.00267886257569
-19.52,-0.000692141113042,-0.00244393243097
-19.51,-0.000663709870184,-0.00221346197808
-19.5,-0.000642230423594,-0.00198463752814
-19.49,-0.00062705378329,-0.00175455570493
-19.48,-0.000617203122476,-0.00152069280228
-19.47,-0.000611496929789,-0.00128121741593
-19.46,-0.000608730896379,-0.00103511800032
-19.45,-0.000607870886705,-0.000782171622366
-19.44,-0.000608184549782,-0.000522835784031
-19.43,-0.000609243634449,-0.000258170548201
-19.42,-0.000610805940924,1.01241004032e-05
-19.41,-0.000612641942428,0.000279525587038
-19.4,-0.000614373385621,0.000546422578392
-19.39,-0.000615380620196,0.000805915260549
-19.38,-0.000614810104489,0.00105184820718
-19.37,-0.000611691072786,0.00127717873912
-19.36,-0.000605152674937,0.00147464826849
-19.35,-0.000594686019085,0.00163756847268
-19.34,-0.000580356739381,0.00176049852358
-19.33,-0.000562903329354,0.00183970078574
-19.32,-0.00054370709466,0.0018733752093
-19.31,-0.000524632484755,0.00186171156463
-19.3,-0.000507748585764,0.00180678757034
-19.29,-0.000494980053055,0.00171231007042
-19.28,-0.000487776993455,0.00158321191075
-19.27,-0.00048690583814,0.00142518647445
-19.26,-0.000492417361839,0.00124425422879
-19.25,-0.000503768211078,0.00104640894515
-19.24,-0.000520026701685,0.00083738647748
-19.23,-0.000540119516239,0.000622591999594
-19.22,-0.000563115586098,0.000407128370408
-19.21,-0.000588504572969,0.000195761089868
-19.2,-0.000616366844594,-7.33312084578e-06
-19.19,-0.000647355285259,-0.000199046419102
-19.18,-0.000682478761166,-0.000377879933631
-19.17,-0.000722765258635,-0.0005442770708
-19.16,-0.000768954482639,-0.000700563483554
-19.15,-0.000821314119591,-0.000850509899699
-19.14,-0.000879572905762,-0.000998720364358
-19.13,-0.000942953407509,-0.0011500578294
-19.12,-0.00101029145067,-0.00130913376259
