time_from_pulse_us,comsol_current_drop_uA,direct_current_drop_uA,mpi_current_drop_uA,direct_minus_comsol_uA,mpi_minus_comsol_uA
-20.0,nan,nan,nan,nan,nan
-19.75,3.7125738652666476e-07,0.0003343777853848171,-8.63077498283134e-05,0.0003340065279982904,-8.667900721484007e-05
-19.5,3.532082125699655e-07,0.0003342317308067031,-8.525234094092152e-05,0.00033387852259413313,-8.560554915349148e-05
-19.25,3.351594114986417e-07,0.0003339853429400112,-8.399991988171959e-05,0.00033365018352851254,-8.433507929321823e-05
-19.0,3.171109833242546e-07,0.0003336361970457874,-8.256200445035813e-05,0.00033331908606246314,-8.287911543368239e-05
-18.75,2.9906292805836556e-07,0.0003331818683850777,-8.095011244648764e-05,0.00033288280545701933,-8.124917537454602e-05
-18.5,2.810152457125357e-07,0.00033261993221892833,-7.917576166975861e-05,0.0003323389169732158,-7.945677691547114e-05
-18.25,2.6296793629832634e-07,0.0003319479638083853,-7.725046991982153e-05,0.00033168499587208695,-7.751343785611985e-05
-18.0,2.4492099982729864e-07,0.00033116353841449467,-7.518575499632687e-05,0.0003309186174146674,-7.543067599615417e-05
-17.75,2.2687443631101392e-07,0.0003302642312983026,-7.299313469892517e-05,0.0003300373568619916,-7.32200091352362e-05
-17.5,2.0882824576103336e-07,0.00032924761772085506,-7.06841268272669e-05,0.000329038789475094,-7.089295507302793e-05
-17.25,1.907824281889183e-07,0.0003281112729431983,-6.827024918100255e-05,0.00032792049051500935,-6.846103160919147e-05
-17.0,1.7273698360622986e-07,0.00032685277222637825,-6.576301955978261e-05,0.000326680035242772,-6.593575654338885e-05
-16.75,1.5469191202452938e-07,0.0003254696908314411,-6.31739557632576e-05,0.0003253149989194166,-6.332864767528213e-05
-16.5,1.3664721345537804e-07,0.0003239596040194328,-6.0514575591077985e-05,0.0003238229568059774,-6.065122280453336e-05
-16.25,1.1860288791033711e-07,0.00032232008705139963,-5.779639684289426e-05,0.0003222014841634893,-5.79149997308046e-05
-16.0,1.0055893540096784e-07,0.00032054871518838755,-5.503093731835694e-05,0.0003204481562529866,-5.513149625375791e-05
-15.75,8.251535172598658e-08,0.0003186430636914427,-5.177162737615691e-05,0.00031856054833971674,-5.185414272788289e-05
-15.5,6.447213377464951e-08,0.00031660070782161116,-4.766129228457204e-05,0.0003165362356878365,-4.7725764418346684e-05
-15.25,4.6429283194327946e-08,0.00031441922283993897,-4.284554220781746e-05,0.0003143727935567446,-4.289197149101179e-05
-15.0,2.8386801632393138e-08,0.0003120961840074722,-3.7469987310108327e-05,0.0003120677972058398,-3.749837411174072e-05
-14.75,1.0344690736216338e-08,0.000309629166585257,-3.1680237755659746e-05,0.00030961882189452076,-3.169058244639596e-05
