case,run,power_W,TES_temperature_K,solver_status,solver
phase24_abs_conforming_bypass,abs_bypass_0p95P,3.042854524009381e-10,0.16655058374352957,ALL DONE / exit 0,CPU native HeatSolve MUMPS
phase24_abs_conforming_bypass,abs_bypass_1p00P,3.203004762115138e-10,0.16734099417155227,ALL DONE / exit 0,CPU native HeatSolve MUMPS
phase24_abs_conforming_bypass,abs_bypass_1p05P,3.3631550002208954e-10,0.16812456452086116,ALL DONE / exit 0,CPU native HeatSolve MUMPS
