case,source_case,T_0p95P_K,T_1p00P_K,T_1p05P_K,G_eff_W_per_K,G_secant_W_per_K,historical_ratio_G_eff
historical,historical,0.1662001143989125,0.16705275088046678,0.1679053873619883,1.8782944616314677e-08,1.8782921210583367e-08,1.0
phase24_refined_mortar_baseline,phase24_historical_density,0.1649899176176975,0.1657788584203432,0.1665677992229891,2.0299398582083185e-08,2.0299344076663998e-08,1.0807356885060146
phase24_abs_conforming_bypass,phase24_abs_conforming_bypass,0.16655058374352957,0.16734099417155227,0.16812456452086116,2.0349706986544527e-08,1.8470710101325308e-08,1.0834140973225772
