case,run,TES_temperature_K,Stycast_first_layer_temperature_K,Stycast_last_layer_temperature_K,Stycast_total_temperature_K,substrate_temperature_K,bath_temperature_K
historical,historical_0p95p,0.1662001143989125,0.16620042242503172,0.16620043504901716,0.16620042865203877,0.15000003495325656,0.15
historical,historical_1p00p,0.16705275088046678,0.16705307512531545,0.16705308841271188,0.16705308167965044,0.15000003679289975,0.15
historical,historical_1p05p,0.1679053873619883,0.1679057278253641,0.16790574177635625,0.16790573470715747,0.1500000386325429,0.15
tes_side_only_baseline,phase24_historical_density_0p95p,0.16498991761769755,0.16499046983041146,0.16499055170029647,0.16499046325702316,0.1500000352685777,0.15
tes_side_only_baseline,phase24_historical_density_1p00p,0.1657788584203432,0.16577943969776718,0.16577952587860303,0.16577943277911245,0.15000003712481277,0.15
tes_side_only_baseline,phase24_historical_density_1p05p,0.16656779922298914,0.16656840956498065,0.16656850005762033,0.1665684023016327,0.15000003898104786,0.15
phase24_abs_conforming_bypass,abs_bypass_0p95P,0.16655058374352957,0.1665512,0.1665512,0.1665512,not captured,0.15
phase24_abs_conforming_bypass,abs_bypass_1p00P,0.16734099417155227,0.1673418,0.1673418,0.1673418,not captured,0.15
phase24_abs_conforming_bypass,abs_bypass_1p05P,0.16812456452086116,0.1681253,0.1681253,0.1681253,not captured,0.15
